route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
322,35.0,50.0,7,63,1
322,35.0,47.5,6,63,1
322,37.5,50.0,6,63,1
322,35.0,45.0,5,63,1
322,37.5,47.5,5,63,1
322,40.0,50.0,5,63,1
322,42.5,50.0,4,2101,1
322,35.0,42.5,4,63,1
322,37.5,45.0,4,63,1
322,40.0,47.5,4,63,1
322,45.0,50.0,3,9537,1
322,42.5,47.5,3,2101,1
322,27.5,32.5,3,63,1
322,35.0,40.0,3,63,1
322,37.5,42.5,3,63,1
322,40.0,45.0,3,63,1
322,47.5,50.0,2,22905,1
322,45.0,47.5,2,9537,1
322,42.5,45.0,2,2101,1
322,35.0,37.5,2,819,1
322,20.0,22.5,2,525,1
322,27.5,30.0,2,147,1
322,30.0,32.5,2,63,1
322,37.5,40.0,2,63,1
322,40.0,42.5,2,63,1
322,50.0,50.0,1,41991,1
322,47.5,47.5,1,22905,1
322,25.0,25.0,1,16212,1
322,22.5,22.5,1,13525,1
322,35.0,35.0,1,9933,1
