,Time,VID,Type,Pos.x,Pos.y
7264129,14:00:00,31113,I_09_1204235410404,139.939426,35.900197
7264130,14:00:00,31130,I_09_1204235410404,139.939853,35.899656
7264139,14:00:00,30510,I_09_1204235410404,139.941799,35.896133
7264140,14:00:00,30981,I_09_1204235410404,139.941772,35.896188
7264141,14:00:00,30984,I_09_1204235410404,139.941744,35.896243
7264142,14:00:00,30987,I_09_1204235410404,139.941717,35.896298
7264155,14:00:00,30532,I_09_1204235410404,139.949747,35.895549
7264175,14:00:00,30512,I_09_1204235410404,139.946884,35.898177
7264176,14:00:00,30499,I_09_1204235410404,139.946651,35.898169
7264208,14:00:00,30437,I_09_1204235410404_p,139.949676,35.895955
7264209,14:00:00,31210,I_09_1204235410419_p,139.949622,35.896316
7264226,14:00:00,30862,I_09_1204235410404,139.94917,35.897957
7264227,14:00:00,31054,I_09_1204235410404,139.949096,35.897966
7264228,14:00:00,30864,I_09_1204235410404,139.949021,35.897974
7264229,14:00:00,31057,I_09_1204235410404,139.948942,35.897983
7264230,14:00:00,31048,I_09_1204235410404,139.947893,35.898095
7264234,14:00:00,30649,I_09_1204235410404,139.949353,35.89726
7264235,14:00:00,30587,I_09_1204235410404,139.949369,35.896938
7264236,14:00:00,30616,I_09_1204235410404,139.949353,35.897375
7264334,14:00:01,31113,I_09_1204235410404,139.939353,35.900287
7264335,14:00:01,31130,I_09_1204235410404,139.939782,35.899749
7264344,14:00:01,30510,I_09_1204235410404,139.941799,35.896133
7264345,14:00:01,30981,I_09_1204235410404,139.941772,35.896188
7264346,14:00:01,30984,I_09_1204235410404,139.941744,35.896243
7264347,14:00:01,30987,I_09_1204235410404,139.941717,35.896298
7264361,14:00:01,30532,I_09_1204235410404,139.949765,35.895451
7264381,14:00:01,30499,I_09_1204235410404,139.946762,35.898174
7264382,14:00:01,30512,I_09_1204235410404,139.946825,35.898176
7264411,14:00:01,30437,I_09_1204235410404_p,139.949676,35.895955
7264412,14:00:01,31210,I_09_1204235410419_p,139.949622,35.896316
7264429,14:00:01,30862,I_09_1204235410404,139.94917,35.897957
7264430,14:00:01,31054,I_09_1204235410404,139.949096,35.897966
7264431,14:00:01,30864,I_09_1204235410404,139.949021,35.897974
7264432,14:00:01,31057,I_09_1204235410404,139.948945,35.897982
7264433,14:00:01,31048,I_09_1204235410404,139.948038,35.898081
7264437,14:00:01,30649,I_09_1204235410404,139.949353,35.897355
7264438,14:00:01,30587,I_09_1204235410404,139.949362,35.897032
7264439,14:00:01,30616,I_09_1204235410404,139.949353,35.897483
7264536,14:00:02,30972,I_09_1204235410404,139.93909,35.900609
7264537,14:00:02,31113,I_09_1204235410404,139.939286,35.900368
7264538,14:00:02,31130,I_09_1204235410404,139.93971,35.899841
7264547,14:00:02,30510,I_09_1204235410404,139.941799,35.896133
7264548,14:00:02,30981,I_09_1204235410404,139.941772,35.896188
7264549,14:00:02,30984,I_09_1204235410404,139.941744,35.896243
7264550,14:00:02,30987,I_09_1204235410404,139.941717,35.896298
7264563,14:00:02,30532,I_09_1204235410404,139.949783,35.895352
7264585,14:00:02,30499,I_09_1204235410404,139.946873,35.898177
7264614,14:00:02,30437,I_09_1204235410404_p,139.949676,35.895955
7264615,14:00:02,31210,I_09_1204235410419_p,139.949622,35.896316
7264632,14:00:02,30862,I_09_1204235410404,139.94917,35.897957
7264633,14:00:02,31054,I_09_1204235410404,139.949096,35.897966
7264634,14:00:02,30864,I_09_1204235410404,139.949021,35.897974
7264635,14:00:02,31057,I_09_1204235410404,139.948946,35.897982
7264636,14:00:02,31048,I_09_1204235410404,139.948183,35.898066
7264637,14:00:02,30512,I_09_1204235410404,139.947152,35.898168
7264641,14:00:02,30649,I_09_1204235410404,139.949353,35.89745
7264642,14:00:02,30587,I_09_1204235410404,139.949355,35.897127
7264643,14:00:02,30616,I_09_1204235410404,139.949361,35.897595
7264738,14:00:03,30972,I_09_1204235410404,139.939129,35.900562
7264739,14:00:03,31113,I_09_1204235410404,139.939228,35.900439
7264740,14:00:03,31130,I_09_1204235410404,139.939638,35.899933
7264750,14:00:03,30510,I_09_1204235410404,139.941799,35.896133
7264751,14:00:03,30981,I_09_1204235410404,139.941772,35.896188
7264752,14:00:03,30984,I_09_1204235410404,139.941744,35.896243
7264753,14:00:03,30987,I_09_1204235410404,139.941717,35.896298
7264765,14:00:03,30700,I_09_1204235410404,139.949708,35.895768
7264766,14:00:03,30532,I_09_1204235410404,139.949801,35.895253
7264787,14:00:03,30499,I_09_1204235410404,139.946814,35.898175
7264816,14:00:03,30437,I_09_1204235410404_p,139.949676,35.895955
7264817,14:00:03,31210,I_09_1204235410419_p,139.949622,35.896316
7264833,14:00:03,30862,I_09_1204235410404,139.94917,35.897957
7264834,14:00:03,31054,I_09_1204235410404,139.949096,35.897966
7264835,14:00:03,30864,I_09_1204235410404,139.949021,35.897974
7264836,14:00:03,31057,I_09_1204235410404,139.948947,35.897982
7264837,14:00:03,31048,I_09_1204235410404,139.948321,35.898051
7264838,14:00:03,30512,I_09_1204235410404,139.947297,35.898153
7264842,14:00:03,30649,I_09_1204235410404,139.949354,35.897545
7264843,14:00:03,30616,I_09_1204235410404,139.949379,35.897708
7264844,14:00:03,30587,I_09_1204235410404,139.949353,35.897222
7264939,14:00:04,30972,I_09_1204235410404,139.939175,35.900505
7264940,14:00:04,31113,I_09_1204235410404,139.939179,35.9005
7264941,14:00:04,31130,I_09_1204235410404,139.939566,35.900024
7264951,14:00:04,30510,I_09_1204235410404,139.941799,35.896133
7264952,14:00:04,30981,I_09_1204235410404,139.941772,35.896188
7264953,14:00:04,30984,I_09_1204235410404,139.941744,35.896243
7264954,14:00:04,30987,I_09_1204235410404,139.941717,35.896298
7264965,14:00:04,30700,I_09_1204235410404,139.949716,35.89572
7264966,14:00:04,30532,I_09_1204235410404,139.949819,35.895153
7265016,14:00:04,30437,I_09_1204235410404_p,139.949676,35.895955
7265017,14:00:04,31210,I_09_1204235410419_p,139.949622,35.896316
7265032,14:00:04,30862,I_09_1204235410404,139.94917,35.897957
7265033,14:00:04,31054,I_09_1204235410404,139.949096,35.897966
7265034,14:00:04,30864,I_09_1204235410404,139.949021,35.897974
7265035,14:00:04,31057,I_09_1204235410404,139.948947,35.897982
7265036,14:00:04,31048,I_09_1204235410404,139.948448,35.898037
7265037,14:00:04,30512,I_09_1204235410404,139.947443,35.898139
7265038,14:00:04,30499,I_09_1204235410404,139.947138,35.89817
7265042,14:00:04,30649,I_09_1204235410404,139.949368,35.897639
7265043,14:00:04,30587,I_09_1204235410404,139.949353,35.897322
7265044,14:00:04,30616,I_09_1204235410404,139.949353,35.897483
7265137,14:00:05,30972,I_09_1204235410404,139.939228,35.900441
7265138,14:00:05,30515,I_09_1204235410404,139.939099,35.900599
7265139,14:00:05,31113,I_09_1204235410404,139.939139,35.900549
7265140,14:00:05,31130,I_09_1204235410404,139.939493,35.900115
7265151,14:00:05,30510,I_09_1204235410404,139.941799,35.896133
7265152,14:00:05,30981,I_09_1204235410404,139.941772,35.896188
7265153,14:00:05,30984,I_09_1204235410404,139.941744,35.896243
7265154,14:00:05,30987,I_09_1204235410404,139.941717,35.896298
7265165,14:00:05,30700,I_09_1204235410404,139.949727,35.895661
7265166,14:00:05,30532,I_09_1204235410404,139.949837,35.895053
7265216,14:00:05,30437,I_09_1204235410404_p,139.949676,35.895955
7265217,14:00:05,31210,I_09_1204235410419_p,139.949622,35.896316
7265232,14:00:05,30862,I_09_1204235410404,139.94917,35.897957
7265233,14:00:05,31054,I_09_1204235410404,139.949096,35.897966
7265234,14:00:05,30864,I_09_1204235410404,139.949021,35.897974
7265235,14:00:05,31057,I_09_1204235410404,139.948947,35.897982
7265236,14:00:05,31048,I_09_1204235410404,139.948559,35.898025
7265237,14:00:05,30512,I_09_1204235410404,139.947588,35.898124
7265238,14:00:05,30499,I_09_1204235410404,139.947283,35.898154
7265242,14:00:05,30649,I_09_1204235410404,139.949383,35.897733
7265243,14:00:05,30587,I_09_1204235410404,139.949353,35.897429
7265244,14:00:05,30616,I_09_1204235410404,139.949362,35.897599
7265338,14:00:06,30972,I_09_1204235410404,139.939286,35.900369
7265339,14:00:06,30515,I_09_1204235410404,139.939146,35.90054
7265340,14:00:06,31113,I_09_1204235410404,139.939116,35.900577
7265341,14:00:06,31130,I_09_1204235410404,139.93942,35.900205
7265351,14:00:06,30510,I_09_1204235410404,139.941799,35.896133
7265352,14:00:06,30981,I_09_1204235410404,139.941772,35.896188
7265353,14:00:06,30984,I_09_1204235410404,139.941744,35.896243
7265354,14:00:06,30987,I_09_1204235410404,139.941717,35.896298
7265365,14:00:06,30700,I_09_1204235410404,139.949739,35.895593
7265366,14:00:06,30532,I_09_1204235410404,139.949855,35.894953
7265415,14:00:06,30437,I_09_1204235410404_p,139.949676,35.895955
7265416,14:00:06,31210,I_09_1204235410419_p,139.949622,35.896316
7265432,14:00:06,30862,I_09_1204235410404,139.94917,35.897957
7265433,14:00:06,31054,I_09_1204235410404,139.949096,35.897966
7265434,14:00:06,30864,I_09_1204235410404,139.949021,35.897974
7265435,14:00:06,31057,I_09_1204235410404,139.948947,35.897982
7265436,14:00:06,31048,I_09_1204235410404,139.948653,35.898014
7265437,14:00:06,30512,I_09_1204235410404,139.947733,35.89811
7265438,14:00:06,30499,I_09_1204235410404,139.947428,35.89814
7265442,14:00:06,30587,I_09_1204235410404,139.949353,35.897539
7265443,14:00:06,30616,I_09_1204235410404,139.94938,35.897715
7265444,14:00:06,30649,I_09_1204235410404,139.949373,35.897672
7265538,14:00:07,30972,I_09_1204235410404,139.939349,35.900291
7265539,14:00:07,30515,I_09_1204235410404,139.9392,35.900474
7265540,14:00:07,30508,I_09_1204235410404,139.939074,35.900629
7265541,14:00:07,31113,I_09_1204235410404,139.939095,35.900604
7265542,14:00:07,31130,I_09_1204235410404,139.93935,35.90029
7265551,14:00:07,30510,I_09_1204235410404,139.941799,35.896133
7265552,14:00:07,30981,I_09_1204235410404,139.941772,35.896188
7265553,14:00:07,30984,I_09_1204235410404,139.941744,35.896243
7265554,14:00:07,30987,I_09_1204235410404,139.941717,35.896298
7265563,14:00:07,30700,I_09_1204235410404,139.949753,35.895516
7265564,14:00:07,30532,I_09_1204235410404,139.949874,35.894853
7265613,14:00:07,30437,I_09_1204235410404_p,139.949676,35.895955
7265614,14:00:07,31210,I_09_1204235410419_p,139.949622,35.896316
7265631,14:00:07,30862,I_09_1204235410404,139.94917,35.897957
7265632,14:00:07,31054,I_09_1204235410404,139.949096,35.897966
7265633,14:00:07,30864,I_09_1204235410404,139.949021,35.897974
7265634,14:00:07,31057,I_09_1204235410404,139.948947,35.897982
7265635,14:00:07,31048,I_09_1204235410404,139.948727,35.898006
7265636,14:00:07,30512,I_09_1204235410404,139.947879,35.898096
7265637,14:00:07,30499,I_09_1204235410404,139.947573,35.898126
7265642,14:00:07,30587,I_09_1204235410404,139.94937,35.897651
7265643,14:00:07,30649,I_09_1204235410404,139.949388,35.897766
7265735,14:00:08,30972,I_09_1204235410404,139.939416,35.90021
7265736,14:00:08,30515,I_09_1204235410404,139.93926,35.900401
7265737,14:00:08,30508,I_09_1204235410404,139.939123,35.900569
7265738,14:00:08,31113,I_09_1204235410404,139.939077,35.900626
7265739,14:00:08,31130,I_09_1204235410404,139.939284,35.900371
7265748,14:00:08,30510,I_09_1204235410404,139.941799,35.896133
7265749,14:00:08,30981,I_09_1204235410404,139.941772,35.896188
7265750,14:00:08,30984,I_09_1204235410404,139.941744,35.896243
7265751,14:00:08,30987,I_09_1204235410404,139.941717,35.896298
7265760,14:00:08,30700,I_09_1204235410404,139.949769,35.895432
7265761,14:00:08,30532,I_09_1204235410404,139.949892,35.894753
7265808,14:00:08,30437,I_09_1204235410404_p,139.949676,35.895955
7265809,14:00:08,31210,I_09_1204235410419_p,139.949622,35.896316
7265811,14:00:08,30649,I_09_1204235410404,139.949099,35.897965
7265827,14:00:08,30862,I_09_1204235410404,139.94917,35.897957
7265828,14:00:08,31054,I_09_1204235410404,139.949096,35.897966
7265829,14:00:08,30864,I_09_1204235410404,139.949021,35.897974
7265830,14:00:08,31057,I_09_1204235410404,139.948947,35.897982
7265831,14:00:08,31048,I_09_1204235410404,139.948783,35.898
7265832,14:00:08,30512,I_09_1204235410404,139.948024,35.898082
7265833,14:00:08,30499,I_09_1204235410404,139.947719,35.898112
7265838,14:00:08,30587,I_09_1204235410404,139.949388,35.897765
7265930,14:00:09,30972,I_09_1204235410404,139.939485,35.900125
7265931,14:00:09,30515,I_09_1204235410404,139.939324,35.900323
7265932,14:00:09,30508,I_09_1204235410404,139.939177,35.900502
7265933,14:00:09,31113,I_09_1204235410404,139.939067,35.900638
7265934,14:00:09,31130,I_09_1204235410404,139.939227,35.900441
7265942,14:00:09,30981,I_09_1204235410404,139.941772,35.896188
7265943,14:00:09,30984,I_09_1204235410404,139.941744,35.896243
7265944,14:00:09,30987,I_09_1204235410404,139.941717,35.896298
7265945,14:00:09,30510,I_09_1204235410404,139.94177,35.896192
7265953,14:00:09,30700,I_09_1204235410404,139.949785,35.895344
7265954,14:00:09,30532,I_09_1204235410404,139.94991,35.894652
7266002,14:00:09,30437,I_09_1204235410404_p,139.949676,35.895955
7266003,14:00:09,31210,I_09_1204235410419_p,139.949622,35.896316
7266005,14:00:09,30649,I_09_1204235410404,139.948973,35.897979
7266006,14:00:09,30547,I_09_1204235410404,139.949117,35.897963
7266021,14:00:09,30862,I_09_1204235410404,139.94917,35.897957
7266022,14:00:09,31054,I_09_1204235410404,139.949096,35.897966
7266023,14:00:09,30864,I_09_1204235410404,139.949021,35.897974
7266024,14:00:09,31057,I_09_1204235410404,139.948947,35.897982
7266025,14:00:09,31048,I_09_1204235410404,139.948823,35.897996
7266026,14:00:09,30512,I_09_1204235410404,139.948169,35.898068
7266027,14:00:09,30499,I_09_1204235410404,139.947864,35.898098
7266031,14:00:09,30587,I_09_1204235410404,139.949353,35.897541
7266122,14:00:10,30972,I_09_1204235410404,139.939555,35.900038
7266123,14:00:10,30515,I_09_1204235410404,139.939391,35.900241
7266124,14:00:10,30508,I_09_1204235410404,139.939237,35.900429
7266125,14:00:10,30507,I_09_1204235410404,139.9391,35.900597
7266126,14:00:10,31051,I_09_1204235410404,139.939065,35.90064
7266127,14:00:10,31113,I_09_1204235410404,139.939065,35.90064
7266128,14:00:10,31130,I_09_1204235410404,139.939178,35.900501
7266136,14:00:10,30981,I_09_1204235410404,139.941772,35.896187
7266137,14:00:10,30984,I_09_1204235410404,139.941744,35.896243
7266138,14:00:10,30987,I_09_1204235410404,139.941717,35.896298
7266139,14:00:10,30510,I_09_1204235410404,139.941773,35.896185
7266147,14:00:10,30700,I_09_1204235410404,139.949801,35.895251
7266148,14:00:10,30532,I_09_1204235410404,139.949902,35.894699
7266195,14:00:10,30437,I_09_1204235410404_p,139.949676,35.895955
7266196,14:00:10,31210,I_09_1204235410419_p,139.949622,35.896316
7266198,14:00:10,30649,I_09_1204235410404,139.948842,35.897994
7266199,14:00:10,30547,I_09_1204235410404,139.949012,35.897975
7266215,14:00:10,30862,I_09_1204235410404,139.94917,35.897957
7266216,14:00:10,31054,I_09_1204235410404,139.949096,35.897966
7266217,14:00:10,30864,I_09_1204235410404,139.949021,35.897974
7266218,14:00:10,31057,I_09_1204235410404,139.948947,35.897982
7266219,14:00:10,31048,I_09_1204235410404,139.948848,35.897993
7266220,14:00:10,30512,I_09_1204235410404,139.948307,35.898052
7266221,14:00:10,30499,I_09_1204235410404,139.948009,35.898083
7266225,14:00:10,30587,I_09_1204235410404,139.949371,35.897657
7266314,14:00:11,30972,I_09_1204235410404,139.939625,35.899949
7266315,14:00:11,30515,I_09_1204235410404,139.93946,35.900155
7266316,14:00:11,30508,I_09_1204235410404,139.939302,35.90035
7266317,14:00:11,30507,I_09_1204235410404,139.939156,35.900529
7266318,14:00:11,31051,I_09_1204235410404,139.939089,35.900611
7266319,14:00:11,31113,I_09_1204235410404,139.939065,35.90064
7266320,14:00:11,31130,I_09_1204235410404,139.939139,35.90055
7266328,14:00:11,30981,I_09_1204235410404,139.941774,35.896183
7266329,14:00:11,30984,I_09_1204235410404,139.941745,35.896243
7266330,14:00:11,30987,I_09_1204235410404,139.941717,35.896298
7266331,14:00:11,30510,I_09_1204235410404,139.941783,35.896165
7266339,14:00:11,30700,I_09_1204235410404,139.949819,35.895155
7266340,14:00:11,30532,I_09_1204235410404,139.94992,35.894599
7266386,14:00:11,30437,I_09_1204235410404_p,139.949676,35.895955
7266387,14:00:11,31210,I_09_1204235410419_p,139.949622,35.896316
7266389,14:00:11,30649,I_09_1204235410404,139.948705,35.898009
