,Time,VID,Type,Pos.x,Pos.y
7920744,15:00:03,33933,I_09_1204235410404,139.949665,35.895113
7920745,15:00:03,33944,I_09_1204235410404,139.949665,35.895113
7920746,15:00:03,33895,I_09_1204235410404,139.949705,35.894883
7920767,15:00:03,34462,I_09_1204235410404,139.946453,35.898146
7920768,15:00:03,34543,I_09_1204235410404,139.94601,35.898004
7920769,15:00:03,33768,I_09_1204235410404,139.946755,35.898173
7920819,15:00:03,33771,I_09_1204235410404,139.947908,35.898093
7920820,15:00:03,34554,I_09_1204235410419,139.947254,35.898157
7920825,15:00:03,34538,I_09_1204235410404,139.949353,35.897524
7920929,15:00:04,34569,I_09_1204235410404,139.939065,35.90064
7920930,15:00:04,34582,I_09_1204235410404,139.939501,35.900105
7920931,15:00:04,34565,I_09_1204235410404,139.93966,35.899905
7920932,15:00:04,34645,I_09_1204235410404,139.939964,35.899506
7920933,15:00:04,34590,I_09_1204235410404,139.939218,35.900453
7920934,15:00:04,34622,I_09_1204235410404,139.939349,35.900292
7920939,15:00:04,34630,I_09_1204235410419,139.940441,35.898769
7920940,15:00:04,34567,I_09_1204235410404,139.940584,35.898524
7920941,15:00:04,34471,I_09_1204235410404,139.941799,35.896133
7920942,15:00:04,34472,I_09_1204235410404,139.941772,35.896188
7920943,15:00:04,34451,I_09_1204235410404,139.941744,35.896243
7920944,15:00:04,34405,I_09_1204235410419,139.941691,35.896351
7920945,15:00:04,34398,I_09_1204235410419,139.941635,35.896463
7920946,15:00:04,33762,I_09_1204235410404,139.94159,35.896553
7920947,15:00:04,34279,I_09_1204235410499,139.94567,35.897846
7920948,15:00:04,34548,I_09_1204235410404,139.945225,35.897637
7920949,15:00:04,34072,I_09_1204235410404,139.944278,35.897193
7920953,15:00:04,33933,I_09_1204235410404,139.94965,35.895201
7920954,15:00:04,33944,I_09_1204235410404,139.94965,35.895201
7920955,15:00:04,33895,I_09_1204235410404,139.94969,35.89497
7920975,15:00:04,34462,I_09_1204235410404,139.946562,35.898164
7920976,15:00:04,34543,I_09_1204235410404,139.946112,35.898048
7920977,15:00:04,33768,I_09_1204235410404,139.946865,35.898177
7921028,15:00:04,33771,I_09_1204235410404,139.948053,35.898079
7921029,15:00:04,34554,I_09_1204235410419,139.947399,35.898143
7921034,15:00:04,34538,I_09_1204235410404,139.949356,35.897558
7921138,15:00:05,34569,I_09_1204235410404,139.939065,35.90064
7921139,15:00:05,34582,I_09_1204235410404,139.939435,35.900186
7921140,15:00:05,34565,I_09_1204235410404,139.939588,35.899996
7921141,15:00:05,34645,I_09_1204235410404,139.939895,35.8996
7921142,15:00:05,34590,I_09_1204235410404,139.939184,35.900494
7921143,15:00:05,34622,I_09_1204235410404,139.939297,35.900356
7921147,15:00:05,34630,I_09_1204235410419,139.94038,35.898872
7921148,15:00:05,34567,I_09_1204235410404,139.940523,35.898627
7921149,15:00:05,34471,I_09_1204235410404,139.941799,35.896133
7921150,15:00:05,34472,I_09_1204235410404,139.941772,35.896188
7921151,15:00:05,34451,I_09_1204235410404,139.941744,35.896243
7921152,15:00:05,34405,I_09_1204235410419,139.941691,35.896351
7921153,15:00:05,34398,I_09_1204235410419,139.941635,35.896463
7921154,15:00:05,33762,I_09_1204235410404,139.94159,35.896553
7921155,15:00:05,34548,I_09_1204235410404,139.945348,35.897695
7921156,15:00:05,34279,I_09_1204235410499,139.945615,35.89782
7921157,15:00:05,34072,I_09_1204235410404,139.944155,35.897135
7921161,15:00:05,33933,I_09_1204235410404,139.949635,35.89529
7921162,15:00:05,33944,I_09_1204235410404,139.949635,35.89529
7921163,15:00:05,33895,I_09_1204235410404,139.949675,35.895058
7921182,15:00:05,34462,I_09_1204235410404,139.946673,35.89817
7921183,15:00:05,34543,I_09_1204235410404,139.946216,35.898086
7921233,15:00:05,33771,I_09_1204235410404,139.948198,35.898064
7921234,15:00:05,34554,I_09_1204235410419,139.947544,35.898129
7921235,15:00:05,33768,I_09_1204235410404,139.94721,35.898162
7921241,15:00:05,34538,I_09_1204235410404,139.949363,35.897605
7921345,15:00:06,34569,I_09_1204235410404,139.939065,35.90064
7921346,15:00:06,34582,I_09_1204235410404,139.939377,35.900257
7921347,15:00:06,34565,I_09_1204235410404,139.939521,35.900081
7921348,15:00:06,34645,I_09_1204235410404,139.939825,35.899694
7921349,15:00:06,34590,I_09_1204235410404,139.939155,35.90053
7921350,15:00:06,34622,I_09_1204235410404,139.939254,35.900408
7921355,15:00:06,34567,I_09_1204235410404,139.940463,35.898731
7921356,15:00:06,34630,I_09_1204235410419,139.940406,35.898829
7921357,15:00:06,34471,I_09_1204235410404,139.941799,35.896133
7921358,15:00:06,34472,I_09_1204235410404,139.941772,35.896188
7921359,15:00:06,34451,I_09_1204235410404,139.941744,35.896243
7921360,15:00:06,34405,I_09_1204235410419,139.941691,35.896351
7921361,15:00:06,34398,I_09_1204235410419,139.941635,35.896462
7921362,15:00:06,33762,I_09_1204235410404,139.94159,35.896553
7921363,15:00:06,34548,I_09_1204235410404,139.945471,35.897753
7921364,15:00:06,34279,I_09_1204235410499,139.945739,35.897878
7921365,15:00:06,34072,I_09_1204235410404,139.944032,35.897077
7921370,15:00:06,33933,I_09_1204235410404,139.94962,35.895379
7921371,15:00:06,33944,I_09_1204235410404,139.94962,35.895379
7921372,15:00:06,33895,I_09_1204235410404,139.94966,35.895146
7921391,15:00:06,34462,I_09_1204235410404,139.946784,35.898174
7921392,15:00:06,34543,I_09_1204235410404,139.946323,35.898118
7921442,15:00:06,33771,I_09_1204235410404,139.948343,35.898048
7921443,15:00:06,34554,I_09_1204235410419,139.94769,35.898114
7921444,15:00:06,33768,I_09_1204235410404,139.947354,35.898147
7921450,15:00:06,34538,I_09_1204235410404,139.949372,35.897664
7921552,15:00:07,34452,I_09_1204235410404,139.93909,35.900609
7921553,15:00:07,34569,I_09_1204235410404,139.939065,35.90064
7921554,15:00:07,34565,I_09_1204235410404,139.939458,35.900157
7921555,15:00:07,34645,I_09_1204235410404,139.939753,35.899785
7921556,15:00:07,34630,I_09_1204235410419,139.940246,35.899092
7921557,15:00:07,34590,I_09_1204235410404,139.939126,35.900565
7921558,15:00:07,34622,I_09_1204235410404,139.939217,35.900453
7921559,15:00:07,34582,I_09_1204235410404,139.939327,35.900318
7921565,15:00:07,34567,I_09_1204235410404,139.940402,35.898835
7921566,15:00:07,34471,I_09_1204235410404,139.941799,35.896133
7921567,15:00:07,34472,I_09_1204235410404,139.941772,35.896188
7921568,15:00:07,34451,I_09_1204235410404,139.941744,35.896243
7921569,15:00:07,34405,I_09_1204235410419,139.941691,35.896351
7921570,15:00:07,34398,I_09_1204235410419,139.941635,35.896462
7921571,15:00:07,33762,I_09_1204235410404,139.94159,35.896553
7921572,15:00:07,34548,I_09_1204235410404,139.945594,35.897811
7921573,15:00:07,34072,I_09_1204235410404,139.943909,35.897019
7921578,15:00:07,33933,I_09_1204235410404,139.949604,35.895468
7921579,15:00:07,33944,I_09_1204235410404,139.949604,35.895468
7921580,15:00:07,33895,I_09_1204235410404,139.949644,35.895235
7921600,15:00:07,34462,I_09_1204235410404,139.946895,35.898178
7921601,15:00:07,34543,I_09_1204235410404,139.946431,35.898142
7921602,15:00:07,34279,I_09_1204235410499,139.946031,35.898013
7921634,15:00:07,33817,I_09_1204235410404,139.949111,35.897964
7921653,15:00:07,33771,I_09_1204235410404,139.948488,35.898032
7921654,15:00:07,34554,I_09_1204235410419,139.947835,35.8981
7921655,15:00:07,33768,I_09_1204235410404,139.947499,35.898133
7921661,15:00:07,34538,I_09_1204235410404,139.949383,35.897733
7921763,15:00:08,34452,I_09_1204235410404,139.939129,35.900562
7921764,15:00:08,34569,I_09_1204235410404,139.939065,35.90064
7921765,15:00:08,34565,I_09_1204235410404,139.939403,35.900225
7921766,15:00:08,34645,I_09_1204235410404,139.939681,35.899877
7921767,15:00:08,34630,I_09_1204235410419,139.940184,35.89919
7921768,15:00:08,34590,I_09_1204235410404,139.939098,35.900599
7921769,15:00:08,34622,I_09_1204235410404,139.939184,35.900494
7921770,15:00:08,34582,I_09_1204235410404,139.939284,35.900372
7921776,15:00:08,34567,I_09_1204235410404,139.940428,35.898791
7921777,15:00:08,34471,I_09_1204235410404,139.941799,35.896133
7921778,15:00:08,34472,I_09_1204235410404,139.941772,35.896188
7921779,15:00:08,34451,I_09_1204235410404,139.941744,35.896243
7921780,15:00:08,34405,I_09_1204235410419,139.941691,35.896351
7921781,15:00:08,34398,I_09_1204235410419,139.941635,35.896462
7921782,15:00:08,33762,I_09_1204235410404,139.94159,35.896553
7921783,15:00:08,34548,I_09_1204235410404,139.945718,35.897869
