,Time,VID,Type,Pos.x,Pos.y
8895162,16:00:00,38313,I_09_1204235410404,139.939419,35.900206
8895163,16:00:00,38329,I_09_1204235410404,139.939922,35.899562
8895173,16:00:00,37816,I_09_1204235410404,139.940573,35.898542
8895174,16:00:00,37806,I_09_1204235410404,139.940723,35.898268
8895175,16:00:00,37808,I_09_1204235410404,139.941205,35.897326
8895176,16:00:00,38007,I_09_1204235410499,139.941799,35.896133
8895177,16:00:00,38208,I_09_1204235410499,139.941745,35.896243
8895178,16:00:00,37993,I_09_1204235410404,139.9417,35.896332
8895179,16:00:00,37994,I_09_1204235410404,139.941672,35.896388
8895180,16:00:00,38106,I_09_1204235410404,139.941645,35.896443
8895181,16:00:00,38126,I_09_1204235410404,139.941618,35.896498
8895182,16:00:00,38147,I_09_1204235410419,139.941559,35.896616
8895183,16:00:00,38008,I_09_1204235410499,139.941423,35.896889
8895184,16:00:00,38119,I_09_1204235410404,139.941331,35.897073
8895185,16:00:00,38088,I_09_1204235410404,139.941251,35.897234
8895186,16:00:00,37515,I_09_1204235410404,139.941169,35.897399
8895224,16:00:00,38251,I_09_1204235410404,139.949461,35.896301
8895225,16:00:00,37637,I_09_1204235410404,139.949495,35.896102
8895226,16:00:00,37656,I_09_1204235410404,139.949527,35.895918
8895227,16:00:00,38257,I_09_1204235410404,139.949431,35.896477
8895228,16:00:00,37663,I_09_1204235410404,139.949489,35.896141
8895229,16:00:00,37632,I_09_1204235410419,139.949597,35.895508
8895230,16:00:00,37635,I_09_1204235410404,139.949636,35.895286
8895231,16:00:00,38263,I_09_1204235410404,139.949418,35.89655
8895291,16:00:00,37605,I_09_1204235410404,139.949592,35.896514
8895292,16:00:00,37596,I_09_1204235410404,139.949547,35.896827
8895293,16:00:00,37601,I_09_1204235410404,139.949517,35.897117
8895294,16:00:00,37580,I_09_1204235410404,139.949491,35.897349
8895312,16:00:00,38275,I_09_1204235410404,139.94917,35.897957
8895313,16:00:00,37524,I_09_1204235410404,139.949096,35.897966
8895314,16:00:00,38107,I_09_1204235410404,139.948213,35.898063
8895315,16:00:00,37514,I_09_1204235410404,139.947864,35.898098
8895316,16:00:00,37517,I_09_1204235410404,139.94753,35.89813
8895408,16:00:01,38313,I_09_1204235410404,139.939346,35.900295
8895409,16:00:01,38329,I_09_1204235410404,139.939853,35.899656
8895418,16:00:01,37816,I_09_1204235410404,139.940513,35.898646
8895419,16:00:01,37806,I_09_1204235410404,139.940665,35.898374
8895420,16:00:01,37808,I_09_1204235410404,139.941152,35.897433
8895421,16:00:01,38007,I_09_1204235410499,139.941799,35.896133
8895422,16:00:01,38208,I_09_1204235410499,139.941745,35.896243
8895423,16:00:01,37993,I_09_1204235410404,139.9417,35.896332
8895424,16:00:01,37994,I_09_1204235410404,139.941672,35.896388
8895425,16:00:01,38106,I_09_1204235410404,139.941645,35.896443
8895426,16:00:01,38126,I_09_1204235410404,139.941618,35.896498
8895427,16:00:01,38147,I_09_1204235410419,139.941562,35.89661
8895428,16:00:01,38008,I_09_1204235410499,139.941449,35.896837
8895429,16:00:01,38119,I_09_1204235410404,139.941362,35.897011
8895430,16:00:01,38088,I_09_1204235410404,139.941286,35.897165
8895431,16:00:01,37515,I_09_1204235410404,139.941206,35.897326
8895470,16:00:01,38251,I_09_1204235410404,139.949446,35.89639
8895471,16:00:01,37637,I_09_1204235410404,139.94948,35.896191
8895472,16:00:01,37656,I_09_1204235410404,139.949512,35.896007
8895473,16:00:01,37663,I_09_1204235410404,139.949473,35.89623
8895474,16:00:01,37632,I_09_1204235410419,139.949582,35.895597
8895475,16:00:01,37635,I_09_1204235410404,139.94962,35.895375
8895476,16:00:01,38257,I_09_1204235410404,139.949444,35.896401
8895538,16:00:01,37605,I_09_1204235410404,139.94961,35.896394
8895539,16:00:01,37596,I_09_1204235410404,139.949563,35.896706
8895540,16:00:01,37601,I_09_1204235410404,139.949529,35.896997
8895541,16:00:01,37580,I_09_1204235410404,139.949504,35.897233
8895558,16:00:01,38275,I_09_1204235410404,139.94917,35.897957
8895559,16:00:01,37524,I_09_1204235410404,139.949096,35.897966
8895560,16:00:01,38107,I_09_1204235410404,139.948356,35.898047
8895561,16:00:01,37514,I_09_1204235410404,139.948009,35.898083
8895562,16:00:01,37517,I_09_1204235410404,139.947675,35.898116
8895568,16:00:01,38263,I_09_1204235410404,139.949379,35.896814
8895654,16:00:02,38313,I_09_1204235410404,139.93928,35.900376
8895655,16:00:02,38329,I_09_1204235410404,139.939782,35.899749
8895664,16:00:02,37816,I_09_1204235410404,139.940452,35.898749
8895665,16:00:02,37806,I_09_1204235410404,139.940608,35.898479
8895666,16:00:02,37808,I_09_1204235410404,139.941099,35.89754
8895667,16:00:02,38007,I_09_1204235410499,139.941799,35.896133
8895668,16:00:02,38208,I_09_1204235410499,139.941745,35.896243
8895669,16:00:02,37993,I_09_1204235410404,139.9417,35.896332
8895670,16:00:02,37994,I_09_1204235410404,139.941672,35.896388
8895671,16:00:02,38106,I_09_1204235410404,139.941645,35.896443
8895672,16:00:02,38126,I_09_1204235410404,139.941618,35.896498
8895673,16:00:02,38147,I_09_1204235410419,139.941563,35.896608
8895674,16:00:02,38008,I_09_1204235410499,139.941469,35.896796
8895675,16:00:02,38119,I_09_1204235410404,139.94139,35.896956
8895676,16:00:02,38088,I_09_1204235410404,139.941317,35.897101
8895677,16:00:02,37515,I_09_1204235410404,139.94124,35.897256
8895716,16:00:02,38251,I_09_1204235410404,139.949431,35.896479
8895717,16:00:02,37637,I_09_1204235410404,139.949465,35.89628
8895718,16:00:02,37656,I_09_1204235410404,139.949496,35.896096
8895719,16:00:02,37663,I_09_1204235410404,139.949458,35.896319
8895720,16:00:02,37632,I_09_1204235410419,139.949567,35.895687
8895721,16:00:02,37635,I_09_1204235410404,139.949605,35.895464
8895722,16:00:02,38257,I_09_1204235410404,139.949429,35.896491
8895783,16:00:02,37605,I_09_1204235410404,139.949628,35.896273
8895784,16:00:02,37596,I_09_1204235410404,139.949581,35.896586
8895785,16:00:02,37601,I_09_1204235410404,139.949542,35.896877
8895786,16:00:02,37580,I_09_1204235410404,139.949517,35.897115
8895804,16:00:02,38275,I_09_1204235410404,139.94917,35.897957
8895805,16:00:02,37524,I_09_1204235410404,139.949096,35.897966
8895806,16:00:02,38107,I_09_1204235410404,139.948493,35.898032
8895807,16:00:02,37514,I_09_1204235410404,139.948155,35.898069
8895808,16:00:02,37517,I_09_1204235410404,139.94782,35.898102
8895814,16:00:02,38263,I_09_1204235410404,139.949372,35.896909
8895900,16:00:03,38114,I_09_1204235410404,139.93909,35.900609
8895901,16:00:03,38313,I_09_1204235410404,139.939223,35.900446
8895902,16:00:03,38329,I_09_1204235410404,139.93971,35.899841
8895910,16:00:03,37816,I_09_1204235410404,139.940391,35.898853
8895911,16:00:03,37806,I_09_1204235410404,139.940549,35.898583
8895912,16:00:03,37808,I_09_1204235410404,139.941045,35.897648
8895913,16:00:03,38007,I_09_1204235410499,139.941799,35.896133
8895914,16:00:03,38208,I_09_1204235410499,139.941745,35.896243
8895915,16:00:03,37993,I_09_1204235410404,139.9417,35.896332
8895916,16:00:03,37994,I_09_1204235410404,139.941672,35.896388
8895917,16:00:03,38106,I_09_1204235410404,139.941645,35.896443
8895918,16:00:03,38126,I_09_1204235410404,139.941618,35.896498
8895919,16:00:03,38147,I_09_1204235410419,139.941563,35.896607
8895920,16:00:03,38008,I_09_1204235410499,139.941485,35.896765
8895921,16:00:03,38119,I_09_1204235410404,139.941412,35.89691
8895922,16:00:03,38088,I_09_1204235410404,139.941346,35.897044
8895923,16:00:03,37515,I_09_1204235410404,139.941273,35.897191
8895962,16:00:03,37637,I_09_1204235410404,139.949449,35.896369
8895963,16:00:03,37656,I_09_1204235410404,139.949481,35.896185
8895964,16:00:03,37663,I_09_1204235410404,139.949443,35.896408
8895965,16:00:03,37632,I_09_1204235410419,139.949551,35.895776
8895966,16:00:03,37635,I_09_1204235410404,139.94959,35.895553
8895967,16:00:03,38251,I_09_1204235410404,139.949444,35.896403
8896027,16:00:03,37605,I_09_1204235410404,139.949647,35.896153
8896028,16:00:03,37596,I_09_1204235410404,139.949599,35.896466
8896029,16:00:03,37601,I_09_1204235410404,139.949556,35.896757
8896030,16:00:03,37580,I_09_1204235410404,139.949529,35.896996
8896048,16:00:03,38275,I_09_1204235410404,139.94917,35.897957
8896049,16:00:03,37524,I_09_1204235410404,139.949096,35.897966
8896050,16:00:03,38107,I_09_1204235410404,139.948617,35.898018
8896051,16:00:03,37514,I_09_1204235410404,139.948298,35.898053
8896052,16:00:03,37517,I_09_1204235410404,139.947966,35.898088
8896059,16:00:03,38263,I_09_1204235410404,139.949364,35.897004
8896060,16:00:03,38257,I_09_1204235410404,139.949387,35.896758
8896147,16:00:04,38114,I_09_1204235410404,139.939129,35.900562
8896148,16:00:04,38313,I_09_1204235410404,139.939175,35.900505
8896149,16:00:04,38329,I_09_1204235410404,139.939638,35.899933
8896156,16:00:04,37806,I_09_1204235410404,139.940488,35.898687
8896157,16:00:04,37808,I_09_1204235410404,139.940992,35.897755
8896158,16:00:04,37816,I_09_1204235410404,139.940417,35.898809
8896159,16:00:04,38007,I_09_1204235410499,139.941799,35.896133
8896160,16:00:04,38208,I_09_1204235410499,139.941745,35.896243
8896161,16:00:04,37993,I_09_1204235410404,139.9417,35.896332
8896162,16:00:04,37994,I_09_1204235410404,139.941672,35.896388
8896163,16:00:04,38106,I_09_1204235410404,139.941645,35.896443
8896164,16:00:04,38126,I_09_1204235410404,139.941618,35.896498
8896165,16:00:04,38147,I_09_1204235410419,139.941563,35.896607
8896166,16:00:04,38008,I_09_1204235410499,139.941496,35.896743
8896167,16:00:04,38119,I_09_1204235410404,139.941431,35.896874
8896168,16:00:04,38088,I_09_1204235410404,139.94137,35.896995
8896169,16:00:04,37515,I_09_1204235410404,139.941302,35.897132
8896208,16:00:04,37637,I_09_1204235410404,139.949434,35.896458
8896209,16:00:04,37656,I_09_1204235410404,139.949466,35.896274
8896210,16:00:04,37663,I_09_1204235410404,139.949428,35.896497
8896211,16:00:04,37632,I_09_1204235410419,139.949536,35.895865
8896212,16:00:04,37635,I_09_1204235410404,139.949574,35.895642
8896213,16:00:04,38251,I_09_1204235410404,139.949428,35.896492
8896271,16:00:04,37605,I_09_1204235410404,139.949665,35.896033
8896272,16:00:04,37596,I_09_1204235410404,139.949618,35.896345
8896273,16:00:04,37601,I_09_1204235410404,139.949574,35.896637
8896274,16:00:04,37580,I_09_1204235410404,139.949542,35.896877
8896293,16:00:04,38275,I_09_1204235410404,139.94917,35.897957
8896294,16:00:04,37524,I_09_1204235410404,139.949096,35.897966
8896295,16:00:04,38107,I_09_1204235410404,139.948726,35.898006
8896296,16:00:04,37514,I_09_1204235410404,139.948432,35.898039
8896297,16:00:04,37517,I_09_1204235410404,139.948111,35.898073
8896304,16:00:04,38263,I_09_1204235410404,139.949357,35.897099
8896305,16:00:04,38257,I_09_1204235410404,139.949376,35.896852
8896391,16:00:05,38114,I_09_1204235410404,139.939175,35.900505
8896392,16:00:05,38313,I_09_1204235410404,139.939135,35.900554
8896393,16:00:05,38329,I_09_1204235410404,139.939566,35.900024
8896394,16:00:05,37816,I_09_1204235410404,139.940259,35.899072
8896401,16:00:05,37806,I_09_1204235410404,139.940428,35.89879
8896402,16:00:05,37808,I_09_1204235410404,139.940939,35.897862
8896403,16:00:05,38007,I_09_1204235410499,139.941799,35.896133
8896404,16:00:05,38208,I_09_1204235410499,139.941745,35.896243
8896405,16:00:05,37993,I_09_1204235410404,139.9417,35.896332
8896406,16:00:05,37994,I_09_1204235410404,139.941672,35.896388
8896407,16:00:05,38106,I_09_1204235410404,139.941645,35.896443
8896408,16:00:05,38126,I_09_1204235410404,139.941618,35.896498
8896409,16:00:05,38147,I_09_1204235410419,139.941563,35.896607
8896410,16:00:05,38008,I_09_1204235410499,139.941502,35.896729
8896411,16:00:05,38119,I_09_1204235410404,139.941444,35.896846
8896412,16:00:05,38088,I_09_1204235410404,139.941391,35.896954
8896413,16:00:05,37515,I_09_1204235410404,139.941328,35.89708
8896451,16:00:05,37637,I_09_1204235410404,139.949419,35.896548
8896452,16:00:05,37656,I_09_1204235410404,139.949451,35.896363
8896453,16:00:05,37632,I_09_1204235410419,139.949521,35.895954
8896454,16:00:05,37635,I_09_1204235410404,139.949559,35.895731
8896455,16:00:05,37663,I_09_1204235410404,139.94944,35.896422
8896513,16:00:05,37596,I_09_1204235410404,139.949636,35.896225
8896514,16:00:05,37601,I_09_1204235410404,139.949592,35.896516
8896515,16:00:05,37580,I_09_1204235410404,139.949556,35.896756
8896516,16:00:05,37605,I_09_1204235410404,139.949657,35.896084
8896535,16:00:05,38275,I_09_1204235410404,139.94917,35.897957
8896536,16:00:05,37524,I_09_1204235410404,139.949096,35.897966
8896537,16:00:05,38107,I_09_1204235410404,139.948816,35.897996
8896538,16:00:05,37514,I_09_1204235410404,139.948553,35.898025
8896539,16:00:05,37517,I_09_1204235410404,139.948251,35.898059
8896546,16:00:05,38263,I_09_1204235410404,139.949353,35.897194
8896547,16:00:05,38251,I_09_1204235410404,139.949387,35.896758
8896548,16:00:05,38257,I_09_1204235410404,139.949369,35.896947
8896636,16:00:06,38114,I_09_1204235410404,139.939228,35.900441
8896637,16:00:06,37523,I_09_1204235410404,139.939099,35.900599
8896638,16:00:06,38313,I_09_1204235410404,139.939105,35.900591
8896639,16:00:06,38329,I_09_1204235410404,139.939493,35.900115
8896640,16:00:06,37816,I_09_1204235410404,139.940196,35.89917
8896646,16:00:06,37806,I_09_1204235410404,139.940367,35.898894
8896647,16:00:06,37808,I_09_1204235410404,139.940885,35.89797
8896648,16:00:06,38208,I_09_1204235410499,139.941745,35.896243
8896649,16:00:06,37993,I_09_1204235410404,139.9417,35.896332
8896650,16:00:06,37994,I_09_1204235410404,139.941672,35.896388
8896651,16:00:06,38106,I_09_1204235410404,139.941645,35.896443
8896652,16:00:06,38126,I_09_1204235410404,139.941618,35.896498
8896653,16:00:06,38147,I_09_1204235410419,139.941563,35.896607
8896654,16:00:06,38008,I_09_1204235410499,139.941506,35.896721
8896655,16:00:06,38119,I_09_1204235410404,139.941455,35.896825
8896656,16:00:06,38088,I_09_1204235410404,139.941407,35.896921
8896657,16:00:06,37515,I_09_1204235410404,139.94135,35.897036
8896658,16:00:06,38007,I_09_1204235410499,139.94177,35.896192
8896697,16:00:06,37656,I_09_1204235410404,139.949435,35.896452
8896698,16:00:06,37632,I_09_1204235410419,139.949506,35.896043
8896699,16:00:06,37635,I_09_1204235410404,139.949544,35.89582
8896700,16:00:06,37637,I_09_1204235410404,139.949432,35.896472
8896701,16:00:06,37663,I_09_1204235410404,139.949425,35.896511
8896756,16:00:06,37596,I_09_1204235410404,139.949654,35.896105
8896757,16:00:06,37601,I_09_1204235410404,139.94961,35.896396
8896758,16:00:06,37580,I_09_1204235410404,139.949574,35.896636
8896759,16:00:06,37607,I_09_1204235410404,139.949506,35.897719
8896760,16:00:06,37605,I_09_1204235410404,139.949675,35.895963
8896778,16:00:06,38275,I_09_1204235410404,139.94917,35.897957
8896779,16:00:06,37524,I_09_1204235410404,139.949096,35.897966
8896780,16:00:06,38107,I_09_1204235410404,139.948887,35.897989
8896781,16:00:06,37514,I_09_1204235410404,139.948657,35.898014
8896782,16:00:06,37517,I_09_1204235410404,139.948381,35.898044
8896788,16:00:06,38263,I_09_1204235410404,139.949353,35.897289
8896789,16:00:06,38251,I_09_1204235410404,139.949376,35.896852
8896790,16:00:06,38257,I_09_1204235410404,139.949362,35.897042
8896879,16:00:07,38114,I_09_1204235410404,139.939286,35.900369
8896880,16:00:07,37523,I_09_1204235410404,139.939146,35.90054
8896881,16:00:07,38313,I_09_1204235410404,139.939083,35.900618
8896882,16:00:07,38329,I_09_1204235410404,139.939419,35.900205
8896883,16:00:07,37816,I_09_1204235410404,139.940133,35.899269
8896889,16:00:07,37808,I_09_1204235410404,139.940828,35.898075
8896890,16:00:07,37806,I_09_1204235410404,139.940393,35.89885
8896891,16:00:07,38208,I_09_1204235410499,139.941746,35.89624
8896892,16:00:07,37993,I_09_1204235410404,139.9417,35.896332
8896893,16:00:07,37994,I_09_1204235410404,139.941673,35.896388
8896894,16:00:07,38106,I_09_1204235410404,139.941645,35.896443
8896895,16:00:07,38126,I_09_1204235410404,139.941618,35.896498
8896896,16:00:07,38147,I_09_1204235410419,139.941563,35.896607
8896897,16:00:07,38008,I_09_1204235410499,139.941508,35.896717
8896898,16:00:07,38119,I_09_1204235410404,139.941461,35.896812
8896899,16:00:07,38088,I_09_1204235410404,139.941419,35.896896
8896900,16:00:07,37515,I_09_1204235410404,139.941368,35.896999
8896901,16:00:07,38007,I_09_1204235410499,139.941772,35.896189
8896939,16:00:07,37605,I_09_1204235410404,139.949723,35.895685
8896940,16:00:07,37656,I_09_1204235410404,139.94942,35.896541
8896941,16:00:07,37632,I_09_1204235410419,139.94949,35.896132
8896942,16:00:07,37635,I_09_1204235410404,139.949529,35.895909
8896995,16:00:07,37596,I_09_1204235410404,139.949672,35.895984
8896996,16:00:07,37601,I_09_1204235410404,139.949628,35.896276
8896997,16:00:07,37580,I_09_1204235410404,139.949592,35.896516
8896998,16:00:07,37607,I_09_1204235410404,139.949491,35.897598
8897017,16:00:07,38275,I_09_1204235410404,139.94917,35.897957
8897018,16:00:07,37524,I_09_1204235410404,139.949096,35.897966
8897019,16:00:07,38107,I_09_1204235410404,139.94894,35.897983
8897020,16:00:07,37514,I_09_1204235410404,139.948742,35.898004
8897021,16:00:07,37517,I_09_1204235410404,139.948495,35.898032
8897027,16:00:07,38263,I_09_1204235410404,139.949353,35.897384
8897028,16:00:07,38251,I_09_1204235410404,139.949369,35.896947
8897029,16:00:07,37637,I_09_1204235410404,139.94939,35.896739
8897030,16:00:07,38257,I_09_1204235410404,139.949355,35.897137
8897031,16:00:07,37663,I_09_1204235410404,139.949384,35.896777
8897120,16:00:08,38114,I_09_1204235410404,139.939349,35.900291
8897121,16:00:08,37523,I_09_1204235410404,139.9392,35.900474
8897122,16:00:08,37534,I_09_1204235410404,139.939074,35.900629
8897123,16:00:08,38313,I_09_1204235410404,139.93907,35.900634
8897124,16:00:08,37816,I_09_1204235410404,139.940067,35.899365
8897125,16:00:08,37806,I_09_1204235410404,139.940234,35.899111
8897126,16:00:08,38329,I_09_1204235410404,139.939348,35.900292
8897132,16:00:08,37808,I_09_1204235410404,139.940771,35.89818
8897133,16:00:08,38208,I_09_1204235410499,139.94175,35.896232
8897134,16:00:08,37993,I_09_1204235410404,139.941703,35.896326
8897135,16:00:08,37994,I_09_1204235410404,139.941673,35.896387
8897136,16:00:08,38106,I_09_1204235410404,139.941645,35.896443
8897137,16:00:08,38126,I_09_1204235410404,139.941618,35.896498
8897138,16:00:08,38147,I_09_1204235410419,139.941563,35.896607
8897139,16:00:08,38008,I_09_1204235410499,139.941509,35.896717
8897140,16:00:08,38119,I_09_1204235410404,139.941464,35.896807
8897141,16:00:08,38088,I_09_1204235410404,139.941428,35.896879
8897142,16:00:08,37515,I_09_1204235410404,139.941383,35.896969
8897143,16:00:08,38007,I_09_1204235410499,139.941777,35.896179
8897181,16:00:08,37605,I_09_1204235410404,139.949741,35.895585
8897182,16:00:08,37632,I_09_1204235410419,139.949475,35.896221
8897183,16:00:08,37635,I_09_1204235410404,139.949513,35.895998
8897184,16:00:08,37656,I_09_1204235410404,139.949433,35.896466
8897236,16:00:08,37601,I_09_1204235410404,139.949646,35.896155
8897237,16:00:08,37580,I_09_1204235410404,139.94961,35.896396
8897238,16:00:08,37607,I_09_1204235410404,139.949477,35.897477
8897239,16:00:08,37596,I_09_1204235410404,139.949664,35.896035
8897258,16:00:08,38275,I_09_1204235410404,139.94917,35.897957
8897259,16:00:08,37524,I_09_1204235410404,139.949096,35.897966
8897260,16:00:08,38107,I_09_1204235410404,139.948977,35.897979
8897261,16:00:08,37514,I_09_1204235410404,139.94881,35.897997
8897262,16:00:08,37517,I_09_1204235410404,139.948593,35.898021
8897268,16:00:08,38263,I_09_1204235410404,139.949353,35.897479
8897269,16:00:08,38251,I_09_1204235410404,139.949362,35.897042
8897270,16:00:08,37637,I_09_1204235410404,139.949377,35.896833
8897271,16:00:08,38257,I_09_1204235410404,139.949353,35.897232
8897272,16:00:08,37663,I_09_1204235410404,139.949374,35.896871
8897361,16:00:09,38114,I_09_1204235410404,139.939416,35.90021
8897362,16:00:09,37523,I_09_1204235410404,139.93926,35.900401
8897363,16:00:09,37534,I_09_1204235410404,139.939123,35.900569
8897364,16:00:09,38313,I_09_1204235410404,139.939065,35.90064
8897365,16:00:09,37816,I_09_1204235410404,139.939998,35.899459
8897366,16:00:09,37806,I_09_1204235410404,139.940171,35.89921
8897367,16:00:09,38329,I_09_1204235410404,139.939283,35.900373
8897373,16:00:09,37808,I_09_1204235410404,139.940713,35.898286
8897374,16:00:09,38208,I_09_1204235410499,139.941757,35.896219
8897375,16:00:09,37993,I_09_1204235410404,139.941708,35.896315
8897376,16:00:09,37994,I_09_1204235410404,139.941675,35.896383
8897377,16:00:09,38106,I_09_1204235410404,139.941645,35.896442
8897378,16:00:09,38126,I_09_1204235410404,139.941618,35.896498
8897379,16:00:09,38147,I_09_1204235410419,139.941563,35.896607
8897380,16:00:09,38008,I_09_1204235410499,139.941509,35.896717
8897381,16:00:09,38119,I_09_1204235410404,139.941464,35.896807
8897382,16:00:09,38088,I_09_1204235410404,139.941433,35.896869
8897383,16:00:09,37515,I_09_1204235410404,139.941394,35.896948
8897384,16:00:09,38007,I_09_1204235410499,139.941785,35.896162
8897422,16:00:09,37605,I_09_1204235410404,139.949759,35.895485
8897423,16:00:09,37596,I_09_1204235410404,139.949712,35.895746
8897424,16:00:09,37632,I_09_1204235410419,139.94946,35.89631
8897425,16:00:09,37635,I_09_1204235410404,139.949498,35.896087
8897478,16:00:09,37601,I_09_1204235410404,139.949664,35.896035
8897479,16:00:09,37580,I_09_1204235410404,139.949628,35.896276
8897480,16:00:09,37607,I_09_1204235410404,139.94949,35.897356
8897499,16:00:09,38275,I_09_1204235410404,139.94917,35.897957
8897500,16:00:09,37524,I_09_1204235410404,139.949096,35.897966
8897501,16:00:09,38107,I_09_1204235410404,139.949,35.897976
8897502,16:00:09,37514,I_09_1204235410404,139.948861,35.897991
8897503,16:00:09,37517,I_09_1204235410404,139.948673,35.898012
8897509,16:00:09,38263,I_09_1204235410404,139.949358,35.897573
8897510,16:00:09,38251,I_09_1204235410404,139.949355,35.897137
8897511,16:00:09,37637,I_09_1204235410404,139.94937,35.896928
8897512,16:00:09,37656,I_09_1204235410404,139.949391,35.89673
8897513,16:00:09,38257,I_09_1204235410404,139.949353,35.897327
8897514,16:00:09,37663,I_09_1204235410404,139.949367,35.896966
8897600,16:00:10,38114,I_09_1204235410404,139.939485,35.900125
8897601,16:00:10,37523,I_09_1204235410404,139.939324,35.900323
8897602,16:00:10,37534,I_09_1204235410404,139.939177,35.900502
8897603,16:00:10,38131,I_09_1204235410404,139.939075,35.900628
8897604,16:00:10,38313,I_09_1204235410404,139.939065,35.90064
8897605,16:00:10,37816,I_09_1204235410404,139.939929,35.899553
8897606,16:00:10,37806,I_09_1204235410404,139.940108,35.899308
8897607,16:00:10,38329,I_09_1204235410404,139.939226,35.900443
8897613,16:00:10,37808,I_09_1204235410404,139.940656,35.898391
8897614,16:00:10,38208,I_09_1204235410499,139.941765,35.896201
8897615,16:00:10,37993,I_09_1204235410404,139.941715,35.896303
8897616,16:00:10,37994,I_09_1204235410404,139.941678,35.896376
8897617,16:00:10,38106,I_09_1204235410404,139.941647,35.89644
8897618,16:00:10,38126,I_09_1204235410404,139.941618,35.896498
8897619,16:00:10,38147,I_09_1204235410419,139.941563,35.896607
8897620,16:00:10,38008,I_09_1204235410499,139.941509,35.896717
8897621,16:00:10,38119,I_09_1204235410404,139.941464,35.896807
8897622,16:00:10,38088,I_09_1204235410404,139.941435,35.896864
8897623,16:00:10,37515,I_09_1204235410404,139.941401,35.896933
8897624,16:00:10,38007,I_09_1204235410499,139.941796,35.89614
8897663,16:00:10,37605,I_09_1204235410404,139.949777,35.895384
8897664,16:00:10,37596,I_09_1204235410404,139.94973,35.895645
8897665,16:00:10,37632,I_09_1204235410419,139.949444,35.896399
8897666,16:00:10,37635,I_09_1204235410404,139.949483,35.896177
8897718,16:00:10,37580,I_09_1204235410404,139.949646,35.896155
8897719,16:00:10,37607,I_09_1204235410404,139.949504,35.897235
8897720,16:00:10,37601,I_09_1204235410404,139.949657,35.896086
8897739,16:00:10,38275,I_09_1204235410404,139.94917,35.897957
8897740,16:00:10,37524,I_09_1204235410404,139.949096,35.897966
8897741,16:00:10,38107,I_09_1204235410404,139.949013,35.897975
8897742,16:00:10,37514,I_09_1204235410404,139.948897,35.897987
8897743,16:00:10,37517,I_09_1204235410404,139.948737,35.898005
8897750,16:00:10,38263,I_09_1204235410404,139.949373,35.897667
8897751,16:00:10,38251,I_09_1204235410404,139.949353,35.897232
8897752,16:00:10,37637,I_09_1204235410404,139.949363,35.897023
8897753,16:00:10,37656,I_09_1204235410404,139.949378,35.896824
8897754,16:00:10,38257,I_09_1204235410404,139.949353,35.897422
8897755,16:00:10,37663,I_09_1204235410404,139.94936,35.897061
8897842,16:00:11,38114,I_09_1204235410404,139.939555,35.900038
8897843,16:00:11,37523,I_09_1204235410404,139.939391,35.900241
8897844,16:00:11,37534,I_09_1204235410404,139.939237,35.900429
8897845,16:00:11,38131,I_09_1204235410404,139.939111,35.900584
8897846,16:00:11,38313,I_09_1204235410404,139.939065,35.90064
8897847,16:00:11,37816,I_09_1204235410404,139.93986,35.899647
8897848,16:00:11,37806,I_09_1204235410404,139.94004,35.899402
8897849,16:00:11,38329,I_09_1204235410404,139.939178,35.900502
8897854,16:00:11,37808,I_09_1204235410404,139.940598,35.898496
8897855,16:00:11,38208,I_09_1204235410499,139.941776,35.896179
8897856,16:00:11,37993,I_09_1204235410404,139.941723,35.896287
8897857,16:00:11,37994,I_09_1204235410404,139.941684,35.896365
8897858,16:00:11,38106,I_09_1204235410404,139.941649,35.896434
8897859,16:00:11,38126,I_09_1204235410404,139.941619,35.896496
8897860,16:00:11,38147,I_09_1204235410419,139.941563,35.896607
8897861,16:00:11,38008,I_09_1204235410499,139.941509,35.896717
