scenario,link_id,slot_code,HHMM,V_scen,TTT_scen,flow_scen,V_base,TTT_base,flow_base,V_diff,TTT_diff,flow_diff
no04,533967_00280_11490_0,630,06:30,52.21858683319713,1127.9705,139.6,52.234724456509454,1127.621,139.6,-0.016137623312324934,0.3494999999998072,0.0
no04,533967_00280_11490_0,645,06:45,52.52684557985265,940.2125,117.05,52.53664043512322,940.0355,117.05,-0.009794855270570224,0.17700000000002092,0.0
no04,533967_00280_11490_0,700,07:00,52.26658843424053,1012.7685,125.45,52.27631852283254,1012.581,125.45,-0.009730088592007746,0.1875,0.0
no04,533967_00280_11490_0,715,07:15,52.35432449248979,1092.4035,135.55,52.36759490560877,1090.9245,135.4,-0.01327041311898114,1.4789999999998145,0.15000000000000568
no04,533967_00280_11490_0,730,07:30,52.546548886569965,966.7615,120.4,52.510604711046525,969.839,120.7,0.03594417552343998,-3.0775000000001,-0.29999999999999716
no04,533967_00280_11490_0,745,07:45,52.32850616318505,1246.5795,154.6,52.36115628546777,1244.181,154.4,-0.03265012228272468,2.3985000000000127,0.19999999999998863
no04,533967_00280_11490_0,800,08:00,52.26023902512857,975.3055,120.8,52.29283599987849,973.8745,120.7,-0.032596974749921515,1.43100000000004,0.09999999999999432
no04,533967_00280_11490_0,815,08:15,52.41629495215577,1146.6619999999998,142.45,52.393236998914105,1148.3635,142.6,0.023057953241668372,-1.7015000000001237,-0.15000000000000568
no04,533967_00280_11490_0,830,08:30,52.24875245218984,1074.506,133.05,52.32080598261422,1074.2515,133.2,-0.07205353042437679,0.2545000000000073,-0.14999999999997726
no04,533967_00280_11490_0,845,08:45,51.68868856234932,1300.3365,159.25,51.565411374875126,1302.2365,159.05,0.12327718747419425,-1.900000000000091,0.19999999999998863
no04,533967_00280_11490_0,900,09:00,52.33904270804419,819.8725000000001,101.7,52.36190991837883,819.174,101.65,-0.022867210334638344,0.698500000000081,0.04999999999999716
no04,533967_00280_11490_0,915,09:15,52.169974593573045,1068.4285,132.1,52.09553942580931,1066.9435,131.7,0.07443516776373826,1.4849999999999,0.4000000000000057
no04,533967_00280_11490_0,930,09:30,51.64503453168926,1256.766,153.75,51.782901851009,1253.9555,153.9,-0.1378673193197386,2.8105000000000473,-0.15000000000000568
no04,533967_00280_11490_0,945,09:45,52.23934670631125,894.5780000000001,110.75,52.33500825933256,898.9055000000001,111.5,-0.09566155302130852,-4.327499999999986,-0.75
no04,533967_00280_11490_0,1000,10:00,52.234461385388975,760.5,94.15,52.364238814357485,754.9905,93.7,-0.1297774289685094,5.509500000000003,0.45000000000000284
no04,533967_00280_11490_0,1015,10:15,52.234227688847454,734.341,90.9,52.290159819421135,735.5135,91.15,-0.05593213057368018,-1.1725000000000136,-0.25
no04,533967_00280_11490_0,1030,10:30,52.37390569060821,731.8795,90.85,52.42943089455429,731.9285,90.95,-0.05552520394607541,-0.04899999999997817,-0.10000000000000853
no04,533967_00280_11490_0,1045,10:45,52.28309616147142,786.8399999999999,97.5,52.33608880552534,783.6195,97.2,-0.05299264405392279,3.2204999999999018,0.29999999999999716
no04,533967_00280_11490_0,1100,11:00,52.315788305452486,857.3074999999999,106.3,52.3221230033648,853.9675,105.9,-0.006334697912315335,3.339999999999918,0.3999999999999915
no04,533967_00280_11490_0,1115,11:15,52.3940257683637,846.3605,105.1,52.45204585102825,849.458,105.6,-0.05802008266455516,-3.097499999999968,-0.5
