scenario,link_id,slot_code,HHMM,flow_base,flow_scen,flow_diff
no08,533967_00280_11490_0,630,06:30,139.6,139.57894736842104,-0.02105263157895365
no08,533967_00280_11490_0,645,06:45,117.05,117.05263157894736,0.0026315789473585482
no08,533967_00280_11490_0,700,07:00,125.45,125.42105263157896,-0.028947368421043507
no08,533967_00280_11490_0,715,07:15,135.4,135.6315789473684,0.2315789473684049
no08,533967_00280_11490_0,730,07:30,120.7,120.47368421052632,-0.2263157894736878
no08,533967_00280_11490_0,745,07:45,154.4,154.42105263157896,0.02105263157895365
no08,533967_00280_11490_0,800,08:00,120.7,120.84210526315788,0.1421052631578732
no08,533967_00280_11490_0,815,08:15,142.6,142.3684210526316,-0.2315789473684049
no08,533967_00280_11490_0,830,08:30,133.2,133.3684210526316,0.1684210526316008
no08,533967_00280_11490_0,845,08:45,159.05,159.10526315789474,0.055263157894728465
no08,533967_00280_11490_0,900,09:00,101.65,101.57894736842104,-0.07105263157896502
no08,533967_00280_11490_0,915,09:15,131.7,132.21052631578948,0.510526315789491
no08,533967_00280_11490_0,930,09:30,153.9,153.73684210526315,-0.16315789473685527
no08,533967_00280_11490_0,945,09:45,111.5,110.63157894736842,-0.8684210526315752
no08,533967_00280_11490_0,1000,10:00,93.7,94.21052631578948,0.5105263157894768
no08,533967_00280_11490_0,1015,10:15,91.15,90.94736842105264,-0.2026315789473614
no08,533967_00280_11490_0,1030,10:30,90.95,90.78947368421052,-0.1605263157894825
no08,533967_00280_11490_0,1045,10:45,97.2,97.52631578947368,0.3263157894736821
no08,533967_00280_11490_0,1100,11:00,105.9,106.3157894736842,0.4157894736841996
no08,533967_00280_11490_0,1115,11:15,105.6,105.05263157894736,-0.5473684210526386
no08,533967_00280_11490_0,1130,11:30,111.05,111.36842105263158,0.31842105263157805
no08,533967_00280_11490_0,1145,11:45,101.15,100.73684210526316,-0.41315789473684106
no08,533967_00280_11490_0,1200,12:00,91.25,91.84210526315788,0.592105263157876
no08,533967_00280_11490_0,1215,12:15,99.2,98.89473684210526,-0.3052631578947427
no08,533967_00280_11490_0,1230,12:30,110.45,110.47368421052632,0.0236842105263122
no08,533967_00280_11490_0,1245,12:45,107.55,107.84210526315788,0.2921052631578789
no08,533967_00280_11490_0,1300,13:00,117.85,117.57894736842104,-0.27105263157895365
no08,533967_00280_11490_0,1315,13:15,108.25,107.89473684210526,-0.35526315789473983
no08,533967_00280_11490_0,1330,13:30,119.3,119.6842105263158,0.38421052631579755
no08,533967_00280_11490_0,1345,13:45,108.1,108.15789473684212,0.057894736842129646
no08,533967_00280_11490_0,1400,14:00,128.75,128.1578947368421,-0.5921052631578902
no08,533967_00280_11490_0,1415,14:15,150.5,151.10526315789474,0.6052631578947398
no08,533967_00280_11490_0,1430,14:30,96.75,96.63157894736842,-0.11842105263157521
no08,533967_00280_11490_0,1445,14:45,114.85,114.78947368421052,-0.06052631578947398
no08,533967_00280_11490_0,1500,15:00,84.35,84.89473684210526,0.5447368421052659
no08,533967_00280_11490_0,1515,15:15,115.2,114.6842105263158,-0.5157894736842081
no08,533967_00280_11490_0,1530,15:30,112.2,112.57894736842104,0.3789473684210378
no08,533967_00280_11490_0,1545,15:45,98.7,98.0,-0.7000000000000028
no08,533967_00280_11490_0,1600,16:00,101.35,101.63157894736842,0.2815789473684305
no08,533967_00280_11490_0,1615,16:15,106.2,105.15789473684212,-1.0421052631578789
no08,533967_00280_11490_0,1630,16:30,71.3,72.21052631578948,0.9105263157894825
no08,533967_00280_11490_0,1645,16:45,111.85,111.73684210526316,-0.11315789473682969
no08,533967_00280_11490_0,1700,17:00,87.85,87.57894736842105,-0.27105263157893944
no08,533967_00280_11490_0,1715,17:15,117.45,118.36842105263158,0.9184210526315724
no08,533967_00280_11490_0,1730,17:30,103.8,104.26315789473684,0.4631578947368382
no08,533967_00280_11490_0,1745,17:45,112.6,111.63157894736842,-0.9684210526315695
no08,533967_00280_11490_0,1800,18:00,73.4,73.6842105263158,0.284210526315789
no08,533967_00280_11490_0,1815,18:15,93.4,93.3157894736842,-0.0842105263158004
no08,533967_00280_11490_0,1830,18:30,64.75,64.47368421052632,-0.27631578947368496
no08,533967_00280_11490_0,1845,18:45,84.0,84.6842105263158,0.6842105263157947
no08,533967_00280_11490_1,630,06:30,72.55,72.36842105263158,-0.18157894736842195
no08,533967_00280_11490_1,645,06:45,65.3,65.10526315789474,-0.19473684210525732
no08,533967_00280_11490_1,700,07:00,79.25,78.42105263157895,-0.8289473684210549
no08,533967_00280_11490_1,715,07:15,114.15,115.10526315789474,0.9552631578947341
no08,533967_00280_11490_1,730,07:30,120.0,119.10526315789474,-0.8947368421052602
no08,533967_00280_11490_1,745,07:45,143.8,139.89473684210526,-3.905263157894751
no08,533967_00280_11490_1,800,08:00,132.75,135.10526315789474,2.35526315789474
no08,533967_00280_11490_1,815,08:15,127.85,128.89473684210526,1.0447368421052659
no08,533967_00280_11490_1,830,08:30,133.9,132.26315789473685,-1.636842105263156
no08,533967_00280_11490_1,845,08:45,116.9,119.26315789473684,2.3631578947368297
no08,533967_00280_11490_1,900,09:00,130.8,131.26315789473685,0.4631578947368382
no08,533967_00280_11490_1,915,09:15,115.75,114.63157894736842,-1.1184210526315752
no08,533967_00280_11490_1,930,09:30,125.15,126.10526315789474,0.9552631578947341
no08,533967_00280_11490_1,945,09:45,114.2,114.6842105263158,0.48421052631579187
no08,533967_00280_11490_1,1000,10:00,114.4,113.36842105263158,-1.0315789473684305
no08,533967_00280_11490_1,1015,10:15,105.5,106.3157894736842,0.8157894736842053
no08,533967_00280_11490_1,1030,10:30,109.45,109.21052631578948,-0.23947368421052317
no08,533967_00280_11490_1,1045,10:45,111.45,111.89473684210526,0.4447368421052573
no08,533967_00280_11490_1,1100,11:00,112.55,113.10526315789474,0.5552631578947427
no08,533967_00280_11490_1,1115,11:15,104.4,101.42105263157896,-2.9789473684210463
no08,533967_00280_11490_1,1130,11:30,122.5,124.84210526315788,2.342105263157876
no08,533967_00280_11490_1,1145,11:45,108.0,108.47368421052632,0.47368421052631504
