scenario,link_id,slot_code,HHMM,flow_base,flow_scen,flow_diff
no03,533967_00280_11490_0,630,06:30,139.6,139.6,0.0
no03,533967_00280_11490_0,645,06:45,117.05,117.05,0.0
no03,533967_00280_11490_0,700,07:00,125.45,125.45,0.0
no03,533967_00280_11490_0,715,07:15,135.4,135.4,0.0
no03,533967_00280_11490_0,730,07:30,120.7,120.7,0.0
no03,533967_00280_11490_0,745,07:45,154.4,154.4,0.0
no03,533967_00280_11490_0,800,08:00,120.7,120.7,0.0
no03,533967_00280_11490_0,815,08:15,142.6,142.6,0.0
no03,533967_00280_11490_0,830,08:30,133.2,133.2,0.0
no03,533967_00280_11490_0,845,08:45,159.05,159.1,0.04999999999998295
no03,533967_00280_11490_0,900,09:00,101.65,101.6,-0.05000000000001137
no03,533967_00280_11490_0,915,09:15,131.7,131.7,0.0
no03,533967_00280_11490_0,930,09:30,153.9,153.9,0.0
no03,533967_00280_11490_0,945,09:45,111.5,111.5,0.0
no03,533967_00280_11490_0,1000,10:00,93.7,93.7,0.0
no03,533967_00280_11490_0,1015,10:15,91.15,91.15,0.0
no03,533967_00280_11490_0,1030,10:30,90.95,90.95,0.0
no03,533967_00280_11490_0,1045,10:45,97.2,97.2,0.0
no03,533967_00280_11490_0,1100,11:00,105.9,105.9,0.0
no03,533967_00280_11490_0,1115,11:15,105.6,105.6,0.0
no03,533967_00280_11490_0,1130,11:30,111.05,111.05,0.0
no03,533967_00280_11490_0,1145,11:45,101.15,101.15,0.0
no03,533967_00280_11490_0,1200,12:00,91.25,91.25,0.0
no03,533967_00280_11490_0,1215,12:15,99.2,99.2,0.0
no03,533967_00280_11490_0,1230,12:30,110.45,110.45,0.0
no03,533967_00280_11490_0,1245,12:45,107.55,107.55,0.0
no03,533967_00280_11490_0,1300,13:00,117.85,117.85,0.0
no03,533967_00280_11490_0,1315,13:15,108.25,108.25,0.0
no03,533967_00280_11490_0,1330,13:30,119.3,119.3,0.0
no03,533967_00280_11490_0,1345,13:45,108.1,108.1,0.0
no03,533967_00280_11490_0,1400,14:00,128.75,128.75,0.0
no03,533967_00280_11490_0,1415,14:15,150.5,150.5,0.0
no03,533967_00280_11490_0,1430,14:30,96.75,96.75,0.0
no03,533967_00280_11490_0,1445,14:45,114.85,114.85,0.0
no03,533967_00280_11490_0,1500,15:00,84.35,84.35,0.0
no03,533967_00280_11490_0,1515,15:15,115.2,115.2,0.0
no03,533967_00280_11490_0,1530,15:30,112.2,112.2,0.0
no03,533967_00280_11490_0,1545,15:45,98.7,98.7,0.0
no03,533967_00280_11490_0,1600,16:00,101.35,101.35,0.0
no03,533967_00280_11490_0,1615,16:15,106.2,106.2,0.0
no03,533967_00280_11490_0,1630,16:30,71.3,71.3,0.0
no03,533967_00280_11490_0,1645,16:45,111.85,111.85,0.0
no03,533967_00280_11490_0,1700,17:00,87.85,87.85,0.0
no03,533967_00280_11490_0,1715,17:15,117.45,117.45,0.0
no03,533967_00280_11490_0,1730,17:30,103.8,103.8,0.0
no03,533967_00280_11490_0,1745,17:45,112.6,112.6,0.0
no03,533967_00280_11490_0,1800,18:00,73.4,73.4,0.0
no03,533967_00280_11490_0,1815,18:15,93.4,93.4,0.0
no03,533967_00280_11490_0,1830,18:30,64.75,64.75,0.0
no03,533967_00280_11490_0,1845,18:45,84.0,84.0,0.0
no03,533967_00280_11490_1,630,06:30,72.55,72.55,0.0
no03,533967_00280_11490_1,645,06:45,65.3,65.25,-0.04999999999999716
no03,533967_00280_11490_1,700,07:00,79.25,78.95,-0.29999999999999716
no03,533967_00280_11490_1,715,07:15,114.15,114.4,0.25
no03,533967_00280_11490_1,730,07:30,120.0,119.85,-0.15000000000000568
no03,533967_00280_11490_1,745,07:45,143.8,143.55,-0.25
no03,533967_00280_11490_1,800,08:00,132.75,131.65,-1.0999999999999943
no03,533967_00280_11490_1,815,08:15,127.85,129.1,1.25
no03,533967_00280_11490_1,830,08:30,133.9,131.8,-2.0999999999999943
