scenario,link_id,slot_code,HHMM,flow_base,flow_scen,flow_diff
no02,533967_00280_11490_0,630,06:30,139.6,139.6,0.0
no02,533967_00280_11490_0,645,06:45,117.05,117.05,0.0
no02,533967_00280_11490_0,700,07:00,125.45,125.45,0.0
no02,533967_00280_11490_0,715,07:15,135.4,135.55,0.15000000000000568
no02,533967_00280_11490_0,730,07:30,120.7,120.4,-0.29999999999999716
no02,533967_00280_11490_0,745,07:45,154.4,154.6,0.19999999999998863
no02,533967_00280_11490_0,800,08:00,120.7,120.8,0.09999999999999432
no02,533967_00280_11490_0,815,08:15,142.6,142.45,-0.15000000000000568
no02,533967_00280_11490_0,830,08:30,133.2,133.05,-0.14999999999997726
no02,533967_00280_11490_0,845,08:45,159.05,159.25,0.19999999999998863
no02,533967_00280_11490_0,900,09:00,101.65,101.7,0.04999999999999716
no02,533967_00280_11490_0,915,09:15,131.7,132.1,0.4000000000000057
no02,533967_00280_11490_0,930,09:30,153.9,153.75,-0.15000000000000568
no02,533967_00280_11490_0,945,09:45,111.5,110.75,-0.75
no02,533967_00280_11490_0,1000,10:00,93.7,94.15,0.45000000000000284
no02,533967_00280_11490_0,1015,10:15,91.15,90.9,-0.25
no02,533967_00280_11490_0,1030,10:30,90.95,90.85,-0.10000000000000853
no02,533967_00280_11490_0,1045,10:45,97.2,97.5,0.29999999999999716
no02,533967_00280_11490_0,1100,11:00,105.9,106.3,0.3999999999999915
no02,533967_00280_11490_0,1115,11:15,105.6,105.1,-0.5
no02,533967_00280_11490_0,1130,11:30,111.05,111.3,0.25
no02,533967_00280_11490_0,1145,11:45,101.15,100.7,-0.45000000000000284
no02,533967_00280_11490_0,1200,12:00,91.25,91.75,0.5
no02,533967_00280_11490_0,1215,12:15,99.2,99.05,-0.15000000000000568
no02,533967_00280_11490_0,1230,12:30,110.45,110.5,0.04999999999999716
no02,533967_00280_11490_0,1245,12:45,107.55,107.65,0.10000000000000853
no02,533967_00280_11490_0,1300,13:00,117.85,117.7,-0.14999999999999147
no02,533967_00280_11490_0,1315,13:15,108.25,107.95,-0.29999999999999716
no02,533967_00280_11490_0,1330,13:30,119.3,119.7,0.4000000000000057
no02,533967_00280_11490_0,1345,13:45,108.1,107.9,-0.19999999999998863
no02,533967_00280_11490_0,1400,14:00,128.75,128.35,-0.4000000000000057
no02,533967_00280_11490_0,1415,14:15,150.5,151.15,0.6500000000000057
no02,533967_00280_11490_0,1430,14:30,96.75,96.75,0.0
no02,533967_00280_11490_0,1445,14:45,114.85,114.6,-0.25
no02,533967_00280_11490_0,1500,15:00,84.35,85.0,0.6500000000000057
no02,533967_00280_11490_0,1515,15:15,115.2,114.5,-0.7000000000000028
no02,533967_00280_11490_0,1530,15:30,112.2,112.6,0.3999999999999915
no02,533967_00280_11490_0,1545,15:45,98.7,98.15,-0.5499999999999972
no02,533967_00280_11490_0,1600,16:00,101.35,101.6,0.25
no02,533967_00280_11490_0,1615,16:15,106.2,105.2,-1.0
no02,533967_00280_11490_0,1630,16:30,71.3,72.15,0.8500000000000085
no02,533967_00280_11490_0,1645,16:45,111.85,111.85,0.0
no02,533967_00280_11490_0,1700,17:00,87.85,87.5,-0.3499999999999943
no02,533967_00280_11490_0,1715,17:15,117.45,118.45,1.0
no02,533967_00280_11490_0,1730,17:30,103.8,103.95,0.15000000000000568
no02,533967_00280_11490_0,1745,17:45,112.6,111.85,-0.75
no02,533967_00280_11490_0,1800,18:00,73.4,73.75,0.3499999999999943
no02,533967_00280_11490_0,1815,18:15,93.4,93.35,-0.05000000000001137
no02,533967_00280_11490_0,1830,18:30,64.75,64.4,-0.3499999999999943
no02,533967_00280_11490_0,1845,18:45,84.0,84.7,0.7000000000000028
no02,533967_00280_11490_1,630,06:30,72.55,72.55,0.0
no02,533967_00280_11490_1,645,06:45,65.3,65.3,0.0
no02,533967_00280_11490_1,700,07:00,79.25,79.25,0.0
no02,533967_00280_11490_1,715,07:15,114.15,114.55,0.3999999999999915
no02,533967_00280_11490_1,730,07:30,120.0,119.0,-1.0
no02,533967_00280_11490_1,745,07:45,143.8,142.4,-1.4000000000000057
no02,533967_00280_11490_1,800,08:00,132.75,135.05,2.3000000000000114
no02,533967_00280_11490_1,815,08:15,127.85,126.4,-1.4499999999999886
no02,533967_00280_11490_1,830,08:30,133.9,134.55,0.6500000000000057
no02,533967_00280_11490_1,845,08:45,116.9,117.7,0.7999999999999972
no02,533967_00280_11490_1,900,09:00,130.8,131.4,0.5999999999999943
no02,533967_00280_11490_1,915,09:15,115.75,114.0,-1.75
no02,533967_00280_11490_1,930,09:30,125.15,126.55,1.3999999999999915
no02,533967_00280_11490_1,945,09:45,114.2,114.1,-0.10000000000000853
no02,533967_00280_11490_1,1000,10:00,114.4,113.6,-0.8000000000000114
no02,533967_00280_11490_1,1015,10:15,105.5,106.2,0.7000000000000028
no02,533967_00280_11490_1,1030,10:30,109.45,109.15,-0.29999999999999716
no02,533967_00280_11490_1,1045,10:45,111.45,111.3,-0.15000000000000568
no02,533967_00280_11490_1,1100,11:00,112.55,113.35,0.7999999999999972
no02,533967_00280_11490_1,1115,11:15,104.4,103.7,-0.7000000000000028
no02,533967_00280_11490_1,1130,11:30,122.5,122.4,-0.09999999999999432
no02,533967_00280_11490_1,1145,11:45,108.0,108.35,0.3499999999999943
no02,533967_00280_11490_1,1200,12:00,132.0,130.6,-1.4000000000000057
no02,533967_00280_11490_1,1215,12:15,142.7,144.2,1.5
no02,533967_00280_11490_1,1230,12:30,112.55,111.3,-1.25
no02,533967_00280_11490_1,1245,12:45,107.05,108.5,1.4500000000000028
no02,533967_00280_11490_1,1300,13:00,122.35,123.25,0.9000000000000057
no02,533967_00280_11490_1,1315,13:15,106.15,106.4,0.25
no02,533967_00280_11490_1,1330,13:30,107.4,106.05,-1.3500000000000085
no02,533967_00280_11490_1,1345,13:45,72.25,70.25,-2.0
no02,533967_00280_11490_1,1400,14:00,95.0,95.65,0.6500000000000057
no02,533967_00280_11490_1,1415,14:15,119.15,120.8,1.6499999999999915
no02,533967_00280_11490_1,1430,14:30,118.3,118.3,0.0
no02,533967_00280_11490_1,1445,14:45,104.05,103.2,-0.8499999999999943
no02,533967_00280_11490_1,1500,15:00,102.2,99.2,-3.0
no02,533967_00280_11490_1,1515,15:15,101.25,104.3,3.049999999999997
no02,533967_00280_11490_1,1530,15:30,103.05,104.0,0.9500000000000028
no02,533967_00280_11490_1,1545,15:45,110.25,108.85,-1.4000000000000057
