scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no06,533967_00280_11490_0,630,06:30,52.234724456509454,52.21858683319713,-0.016137623312324934
no06,533967_00280_11490_0,645,06:45,52.53664043512322,52.52684557985265,-0.009794855270570224
no06,533967_00280_11490_0,700,07:00,52.27631852283254,52.26658843424053,-0.009730088592007746
no06,533967_00280_11490_0,715,07:15,52.36759490560877,52.35432449248979,-0.01327041311898114
no06,533967_00280_11490_0,730,07:30,52.510604711046525,52.54979221956508,0.039187508518551795
no06,533967_00280_11490_0,745,07:45,52.36115628546777,52.32220263434717,-0.03895365112060034
no06,533967_00280_11490_0,800,08:00,52.29283599987849,52.236205805148735,-0.056630194729756056
no06,533967_00280_11490_0,815,08:15,52.393236998914105,52.41629495215577,0.023057953241668372
no06,533967_00280_11490_0,830,08:30,52.32080598261422,52.199948234398434,-0.12085774821578354
no06,533967_00280_11490_0,845,08:45,51.565411374875126,51.75229788453648,0.18688650966135611
no06,533967_00280_11490_0,900,09:00,52.36190991837883,52.22014758132402,-0.14176233705480712
no06,533967_00280_11490_0,915,09:15,52.09553942580931,52.10229518174092,0.00675575593161426
no06,533967_00280_11490_0,930,09:30,51.782901851009,51.64180745853422,-0.14109439247478406
no06,533967_00280_11490_0,945,09:45,52.33500825933256,52.23934670631125,-0.09566155302130852
no06,533967_00280_11490_0,1000,10:00,52.364238814357485,52.234461385388975,-0.1297774289685094
no06,533967_00280_11490_0,1015,10:15,52.290159819421135,52.21092314649985,-0.079236672921283
no06,533967_00280_11490_0,1030,10:30,52.42943089455429,52.37390569060821,-0.05552520394607541
no06,533967_00280_11490_0,1045,10:45,52.33608880552534,52.28309616147142,-0.05299264405392279
no06,533967_00280_11490_0,1100,11:00,52.3221230033648,52.315788305452486,-0.006334697912315335
no06,533967_00280_11490_0,1115,11:15,52.45204585102825,52.3940257683637,-0.05802008266455516
no06,533967_00280_11490_0,1130,11:30,52.43244850213912,52.3999005905798,-0.03254791155931969
no06,533967_00280_11490_0,1145,11:45,52.45525712777421,52.40335295918969,-0.05190416858452096
no06,533967_00280_11490_0,1200,12:00,52.51731920893462,52.51063727471789,-0.006681934216736352
no06,533967_00280_11490_0,1215,12:15,52.49099061732468,52.47814648704285,-0.012844130281827404
no06,533967_00280_11490_0,1230,12:30,52.38361149008063,52.35450792118081,-0.029103568899820687
no06,533967_00280_11490_0,1245,12:45,52.45832245723436,52.46814139695948,0.009818939725121822
no06,533967_00280_11490_0,1300,13:00,52.43567412957125,52.429261425191655,-0.006412704379592071
no06,533967_00280_11490_0,1315,13:15,52.28672261077579,52.25071932120724,-0.036003289568547814
no06,533967_00280_11490_0,1330,13:30,52.25828603750987,52.29013661346562,0.031850575955751026
no06,533967_00280_11490_0,1345,13:45,52.419552465721736,52.35137607230125,-0.06817639342048665
no06,533967_00280_11490_0,1400,14:00,52.36114017245494,52.3098779694176,-0.051262203037339305
no06,533967_00280_11490_0,1415,14:15,52.34205734542593,52.412987422308255,0.07093007688232689
no06,533967_00280_11490_0,1430,14:30,52.44204812629094,52.37738090496241,-0.0646672213285342
no06,533967_00280_11490_0,1445,14:45,52.32632384369613,52.35115257687957,0.024828733183440477
no06,533967_00280_11490_0,1500,15:00,52.5367380377372,52.55646582279866,0.01972778506145545
no06,533967_00280_11490_0,1515,15:15,52.33165992890842,52.28326430664934,-0.04839562225907912
no06,533967_00280_11490_0,1530,15:30,52.40647715506111,52.37048472011484,-0.03599243494627302
no06,533967_00280_11490_0,1545,15:45,52.4263080112111,52.47483117400592,0.04852316279482238
no06,533967_00280_11490_0,1600,16:00,52.40622635618346,52.39993330043967,-0.006293055743789466
no06,533967_00280_11490_0,1615,16:15,52.54660523387747,52.57280408118919,0.02619884731171851
no06,533967_00280_11490_0,1630,16:30,52.62846828929905,52.57590919114383,-0.05255909815522131
no06,533967_00280_11490_0,1645,16:45,52.51393716654015,52.47450664874433,-0.03943051779582163
no06,533967_00280_11490_0,1700,17:00,52.54333790662712,52.536851786661884,-0.006486119965238402
no06,533967_00280_11490_0,1715,17:15,52.487909500887646,52.54342708985789,0.055517588970246834
no06,533967_00280_11490_0,1730,17:30,52.66113632612095,52.657893174880805,-0.003243151240148734
no06,533967_00280_11490_0,1745,17:45,52.65456841489216,52.64800874399511,-0.006559670897047454
no06,533967_00280_11490_0,1800,18:00,52.579250370150966,52.61209755653967,0.03284718638870743
no06,533967_00280_11490_0,1815,18:15,52.71045273143604,52.71697147580487,0.006518744368825935
no06,533967_00280_11490_0,1830,18:30,52.70714426884221,52.72357213442111,0.016427865578904743
no06,533967_00280_11490_0,1845,18:45,52.58600373430876,52.58272693302979,-0.003276801278971675
no06,533967_00280_11490_1,630,06:30,49.56750570900859,49.59377307375818,0.02626736474958591
no06,533967_00280_11490_1,645,06:45,49.46541173578225,49.48374150990666,0.018329774124410392
no06,533967_00280_11490_1,700,07:00,49.6203689731409,49.582917613110446,-0.03745136003045246
no06,533967_00280_11490_1,715,07:15,49.58152895247697,49.56212398774116,-0.01940496473581277
no06,533967_00280_11490_1,730,07:30,49.668792399763625,49.62853159579497,-0.040260803968656944
no06,533967_00280_11490_1,745,07:45,49.54644034238581,49.52645820393943,-0.019982138446380304
no06,533967_00280_11490_1,800,08:00,49.83330474704165,49.78943862963057,-0.043866117411084815
no06,533967_00280_11490_1,815,08:15,49.76267714828988,49.74541427435535,-0.017262873934534184
no06,533967_00280_11490_1,830,08:30,49.95682393695471,49.88105913114812,-0.0757648058065925
no06,533967_00280_11490_1,845,08:45,49.68339374575866,49.66102622558426,-0.022367520174398692
no06,533967_00280_11490_1,900,09:00,49.5846607659463,49.66611099230487,0.08145022635856947
no06,533967_00280_11490_1,915,09:15,49.57559587408698,49.570128351152576,-0.00546752293440278
no06,533967_00280_11490_1,930,09:30,49.56400776203549,49.597255454229966,0.03324769219447887
no06,533967_00280_11490_1,945,09:45,49.57634535296837,49.566928324277086,-0.00941702869128136
no06,533967_00280_11490_1,1000,10:00,49.5644143563779,49.45219086713957,-0.11222348923833181
no06,533967_00280_11490_1,1015,10:15,49.5701174846164,49.503514596983386,-0.06660288763301025
no06,533967_00280_11490_1,1030,10:30,49.44831305806144,49.60829515940917,0.1599821013477296
no06,533967_00280_11490_1,1045,10:45,49.517911821869504,49.41374401882079,-0.10416780304871054
no06,533967_00280_11490_1,1100,11:00,49.65136667359786,49.56808095103982,-0.08328572255804545
no06,533967_00280_11490_1,1115,11:15,49.63155615960055,49.56199851668665,-0.06955764291389954
no06,533967_00280_11490_1,1130,11:30,49.511820463815766,49.50074949952944,-0.01107096428632559
no06,533967_00280_11490_1,1145,11:45,49.5177057799786,49.57575991860672,0.05805413862812259
no06,533967_00280_11490_1,1200,12:00,49.51175164862655,49.49477055817147,-0.016981090455082892
no06,533967_00280_11490_1,1215,12:15,49.53207752122382,49.457350461406975,-0.07472705981684413
no06,533967_00280_11490_1,1230,12:30,49.51767106538302,49.61957411514486,0.1019030497618374
no06,533967_00280_11490_1,1245,12:45,49.50344310061253,49.54392253318239,0.04047943256986031
no06,533967_00280_11490_1,1300,13:00,49.48560525973868,49.43116427798863,-0.05444098175005507
no06,533967_00280_11490_1,1315,13:15,49.49158966631595,49.54073862417855,0.04914895786259876
no06,533967_00280_11490_1,1330,13:30,49.48025386867225,49.5585558697345,0.07830200106224794
no06,533967_00280_11490_1,1345,13:45,49.327154565427726,49.37617280733763,0.04901824190990567
no06,533967_00280_11490_1,1400,14:00,49.413304901388656,49.35577149737302,-0.057533404015636336
no06,533967_00280_11490_1,1415,14:15,49.424924351583215,49.52331895721059,0.09839460562737656
no06,533967_00280_11490_1,1430,14:30,49.66353173620576,49.61361100458585,-0.04992073161991328
no06,533967_00280_11490_1,1445,14:45,49.76255012302634,49.719762229071264,-0.04278789395507232
no06,533967_00280_11490_1,1500,15:00,49.49246618579807,49.55016682441276,0.05770063861469055
no06,533967_00280_11490_1,1515,15:15,49.62875085970304,49.60274432329156,-0.02600653641147943
no06,533967_00280_11490_1,1530,15:30,49.64002471892592,49.59947467789681,-0.04055004102911397
no06,533967_00280_11490_1,1545,15:45,49.64027295546791,49.71900820541514,0.07873524994723624
no06,533967_00280_11490_1,1600,16:00,49.704348825422656,49.6988110709899,-0.0055377544327583905
no06,533967_00280_11490_1,1615,16:15,49.65793485550791,49.76529025387712,0.10735539836920793
no06,533967_00280_11490_1,1630,16:30,49.584447977138176,49.49770678592923,-0.08674119120894375
no06,533967_00280_11490_1,1645,16:45,49.50602950139993,49.5668739804762,0.06084447907627322
no06,533967_00280_11490_1,1700,17:00,49.595906319210975,49.61949193365514,0.023585614444165515
no06,533967_00280_11490_1,1715,17:15,49.44493124419272,49.54418862984285,0.09925738565012665
no06,533967_00280_11490_1,1730,17:30,49.65442872383348,49.54114481434987,-0.11328390948361289
no06,533967_00280_11490_1,1745,17:45,49.7021832264587,49.5244400470578,-0.177743179400899
no06,533967_00280_11490_1,1800,18:00,49.60483356835831,49.61355756024937,0.008723991891059768
no06,533967_00280_11490_1,1815,18:15,49.58163938382253,49.56430184440363,-0.017337539418896597
no06,533967_00280_11490_1,1830,18:30,49.60847386696641,49.55280267204313,-0.05567119492328487
no06,533967_00280_11490_1,1845,18:45,49.68697144123384,49.66821109008432,-0.018760351149516907
no06,533967_00280_13214_0,630,06:30,45.44992794778967,45.41698714505616,-0.0329408027335063
no06,533967_00280_13214_0,645,06:45,45.447871026639135,45.3963731160818,-0.051497910557337434
no06,533967_00280_13214_0,700,07:00,45.44992794778967,45.40254014303662,-0.04738780475305049
no06,533967_00280_13214_0,715,07:15,45.4251700832634,45.3861107265332,-0.03905935673020622
no06,533967_00280_13214_0,730,07:30,45.44579539261829,45.39013134948123,-0.05566404313705675
no06,533967_00280_13214_0,745,07:45,45.42309817551206,45.4148480517701,-0.008250123741959214
no06,533967_00280_13214_0,800,08:00,45.43135580274476,45.392214395464165,-0.039141407280595786
no06,533967_00280_13214_0,815,08:15,45.44167033074731,45.43754152222613,-0.0041288085211803605
no06,533967_00280_13214_0,830,08:30,45.433416460355154,45.41279115100026,-0.02062530935489093
no06,533967_00280_13214_0,845,08:45,45.43960592648672,45.41076038514255,-0.02884554134416817
no06,533967_00280_13214_0,900,09:00,45.43754152222613,45.39218454432533,-0.04535697790079496
no06,533967_00280_13214_0,915,09:15,45.42930636470429,45.36138657119074,-0.06791979351354627
no06,533967_00280_13214_0,930,09:30,45.44992794778967,45.37782342040399,-0.07210452738567596
no06,533967_00280_13214_0,945,09:45,45.43754526887633,45.43343143676561,-0.004113832110718363
no06,533967_00280_13214_0,1000,10:00,45.43549955714228,45.37366850735726,-0.0618310497850203
no06,533967_00280_13214_0,1015,10:15,45.43342394346521,45.41696471606976,-0.016459227395451137
no06,533967_00280_13214_0,1030,10:30,45.44992794778967,45.40663159696514,-0.04329635082452654
no06,533967_00280_13214_0,1045,10:45,45.435499557142286,45.39840764885979,-0.03709190828249831
no06,533967_00280_13214_0,1100,11:00,45.44992420113947,45.392214415807935,-0.05770978533153226
no06,533967_00280_13214_0,1115,11:15,45.42723074087378,45.40044586729344,-0.026784873580339763
no06,533967_00280_13214_0,1130,11:30,45.4251775561831,45.38809312085725,-0.03708443532585193
no06,533967_00280_13214_0,1145,11:45,45.43960217983651,45.42929889178457,-0.010303288051943582
no06,533967_00280_13214_0,1200,12:00,45.44785979687887,45.416946104623925,-0.030913692254948444
no06,533967_00280_13214_0,1215,12:15,45.42516632642285,45.386021223296254,-0.03914510312659303
no06,533967_00280_13214_0,1230,12:30,45.4437347350079,45.418995583351936,-0.02473915165596452
no06,533967_00280_13214_0,1245,12:45,45.45405675631085,45.40044961394364,-0.05360714236720554
no06,533967_00280_13214_0,1300,13:00,45.44166658409711,45.39013883259129,-0.051527751505823005
no06,533967_00280_13214_0,1315,13:15,45.45405300966065,45.429291398484175,-0.024761611176472798
no06,533967_00280_13214_0,1330,13:30,45.44167033074731,45.43135953920462,-0.010310791542686104
no06,533967_00280_13214_0,1345,13:45,45.45198860540005,45.40052796828099,-0.051460637119056685
no06,533967_00280_13214_0,1400,14:00,45.447863543529074,45.43342020700535,-0.014443336523726202
no06,533967_00280_13214_0,1415,14:15,45.456117413921234,45.43754526887633,-0.018572145044906563
no06,533967_00280_13214_0,1430,14:30,45.456117413921234,45.41074917572608,-0.045368238195152344
no06,533967_00280_13214_0,1445,14:45,45.42724197063404,45.38810056335344,-0.03914140728060289
no06,533967_00280_13214_0,1500,15:00,45.44992420113947,45.4025288626561,-0.04739533848336919
no06,533967_00280_13214_0,1515,15:15,45.44579913926849,45.40249532567768,-0.04330381359081059
