scenario,slot_code,link_id,V_link_kmh_mean,V_link_kmh_std,TTT_sec_mean,TTT_sec_std,flow_veh_mean,flow_veh_std,n_runs,hhmm
no07,0630,533967_00280_11490_0,52.21180748015788,0.2079854503420783,1128.372105263158,11.010934251888777,139.6315789473684,1.2115429242540041,19,06:30
no07,0630,533967_00280_11490_1,49.62612203089877,0.2737700822470732,618.9105263157894,23.9330012682823,72.73684210526316,2.9029124314721084,19,06:30
no07,0630,533967_00280_13214_0,45.39537543384151,0.0933131025934327,766.9973684210526,35.020315824787154,69.63157894736842,3.2008770727861005,19,06:30
no07,0630,533967_00280_13214_1,50.40549552432902,0.2091774613497059,1599.6189473684212,17.315621365543148,140.94736842105263,1.268143183754471,19,06:30
no07,0630,533967_00285_11494_0,50.21564099896798,1.0300578438667747,78.16,10.631925194118576,17.68421052631579,2.3106668488879363,19,06:30
no07,0630,533967_00285_11494_1,44.28,0.0,201.05263157894737,3.56641251758879,40.21052631578947,0.7132825035177586,19,06:30
no07,0630,533967_00285_11497_0,51.986605745942015,0.321006440890661,400.6336842105263,11.912801336063437,39.8421052631579,1.11868761873192,19,06:30
no07,0630,533967_00285_11497_1,49.36115014762995,0.4249223462570324,187.68473684210528,23.659454856221167,17.736842105263158,2.2568932742737275,19,06:30
no07,0630,533967_00319_00539_0,30.168329941405116,2.4615677716096913,1059.0563157894737,103.00367632115132,60.473684210526315,2.815994417857306,19,06:30
no07,0630,533967_00319_00539_1,25.738135798149045,1.0937850523109989,1921.4431578947367,161.9321892388784,94.05263157894737,4.465592958145229,19,06:30
no07,0630,533967_00319_01435_0,,,,,0.0,0.0,19,06:30
no07,0630,533967_00319_01435_1,,,,,0.0,0.0,19,06:30
no07,0630,533967_00319_11518_0,29.971046559554477,0.030249023423260076,2736.2189473684207,130.59919341654683,94.05263157894737,4.465592958145229,19,06:30
no07,0630,533967_00319_11518_1,34.05130727318323,2.6989197418800677,1597.7563157894735,154.52149405361507,61.78947368421053,2.04338899783943,19,06:30
no07,0630,533967_00319_87770_0,,,,,0.0,0.0,19,06:30
no07,0630,533967_00319_87770_1,,,,,0.0,0.0,19,06:30
no07,0630,533967_00532_00534_0,29.877702572923436,2.122038975102069,4096.123684210526,334.4040858869621,125.05263157894737,2.48268860110536,19,06:30
no07,0630,533967_00532_00534_1,26.369806365710062,1.1281880533506181,2626.2815789473684,167.60958446020908,70.94736842105263,3.4395362124456703,19,06:30
no07,0630,533967_00532_01530_0,47.2378273049668,0.5023711778456887,454.52842105263153,33.30327348994688,40.89473684210526,2.8654015976455156,19,06:30
no07,0630,533967_00532_01530_1,15.968014375126193,3.945130483719384,580.6257894736842,120.5992770531026,17.05263157894737,2.59216092201353,19,06:30
no07,0630,533967_00532_11490_0,47.99318369185178,0.24516040610390633,1578.1226315789472,56.627795475965954,74.05263157894737,2.6556791182195525,19,06:30
no07,0630,533967_00532_11490_1,24.31561512294643,1.5354944105041026,5739.646315789473,370.2552896345157,136.42105263157896,1.464991068371877,19,06:30
no07,0630,533967_00532_11497_0,45.516246308402344,1.092784246260606,125.11157894736841,15.493680526502088,17.736842105263158,2.2568932742737275,19,06:30
no07,0630,533967_00532_11497_1,8.579783454786703,0.9098978241992779,1413.5378947368422,174.26204914753933,37.0,1.7320508075688779,19,06:30
no07,0630,533967_00533_11502_0,33.120816624134164,0.7104274271942413,11.110555555555557,3.8472304357997316,1.736842105263158,0.7334928056269077,19,06:30
no07,0630,533967_00533_11502_1,45.427208389790174,0.5478781453801551,365.0563157894737,5.218884736678604,60.526315789473685,0.6966922684794644,19,06:30
no07,0630,533967_00533_11503_0,30.429754109057267,0.035058733914183814,1168.87,39.762782011993735,52.94736842105263,1.7786912857656,19,06:30
no07,0630,533967_00533_11503_1,32.005714285714284,0.0,29.4,10.648943609579309,1.105263157894737,0.7374684055082,19,06:30
no07,0630,533967_00533_11505_0,30.29295052216521,0.14477501832388762,183.0484210526316,41.955692139732086,7.0,1.5986105077709065,19,06:30
no07,0630,533967_00533_11505_1,30.336069903964482,0.2736888135030265,42.84105263157895,18.18589224119034,1.631578947368421,0.6839855680567694,19,06:30
no07,0630,533967_00534_00766_0,28.78088210107585,2.9347684969919112,6111.566315789473,920.2939853245599,117.52631578947368,5.45046808441085,19,06:30
no07,0630,533967_00534_00766_1,32.57517372916788,3.166157803587624,1456.8505263157895,193.0709815204324,31.94736842105263,3.550800914512517,19,06:30
no07,0630,533967_00534_11504_0,30.80548571428572,1.0337615720054147,15.533333333333333,6.3456021516217564,1.2105263157894737,0.8549819600709617,19,06:30
no07,0630,533967_00534_11504_1,7.995866387158368,0.6396007606228582,1813.9284210526316,168.4645246290136,45.94736842105263,2.77836251155497,19,06:30
