scenario,run,V_net,TTT,traffic_total
no05,Case1_no05_r05_volspd.csv,26.914244469038497,11847806.649999999,502106
no05,Case1_no05_r06_volspd.csv,26.818980912799223,11887553.48,502007
no05,Case1_no05_r07_volspd.csv,26.992293654378827,11814837.340000002,501749
no05,Case1_no05_r08_volspd.csv,26.920457897532252,11839197.24,501919
no05,Case1_no05_r09_volspd.csv,26.781059455725234,11897992.62,502024
no05,Case1_no05_r10_volspd.csv,26.97611924255364,11818132.68,501969
no05,Case1_no05_r11_volspd.csv,26.828644173482715,11884377.68,501984
no05,Case1_no05_r12_volspd.csv,26.902163900571054,11856017.02,502191
no05,Case1_no05_r13_volspd.csv,26.85832093044616,11872276.02,502195
no05,Case1_no05_r14_volspd.csv,26.883063172243414,11864128.92,502361
no05,Case1_no05_r15_volspd.csv,26.90150784927041,11855434.99,502023
no05,Case1_no05_r16_volspd.csv,26.7220736383438,11931621.96,502165
no05,Case1_no05_r17_volspd.csv,26.6680385898045,11960825.559999999,502239
no05,Case1_no05_r18_volspd.csv,26.757021052555015,11918482.57,502298
no05,Case1_no05_r19_volspd.csv,26.836594409925993,11884792.92,502128
no05,Case1_no05_r20_volspd.csv,26.807590638020592,11893725.370000001,502041
no06,Case1_no06_r01_volspd.csv,27.030861146233114,11800200.719999999,502181
no06,Case1_no06_r02_volspd.csv,26.803318385842214,11898070.29,502432
no06,Case1_no06_r03_volspd.csv,26.730038018842,11928535.33,501951
no06,Case1_no06_r04_volspd.csv,27.003403096028773,11813125.36,502319
no06,Case1_no06_r05_volspd.csv,26.963630905205335,11821545.530000001,502075
no06,Case1_no06_r06_volspd.csv,26.913158261139756,11857309.21,502105
no06,Case1_no06_r07_volspd.csv,26.907800823254433,11856132.870000001,501938
no06,Case1_no06_r08_volspd.csv,27.039893696621586,11786613.17,501828
no06,Case1_no06_r09_volspd.csv,26.994872568315298,11809192.930000002,501950
no06,Case1_no06_r10_volspd.csv,27.03519556197497,11800441.780000001,502270
no06,Case1_no06_r11_volspd.csv,26.87677597938755,11870017.41,502185
no06,Case1_no06_r12_volspd.csv,26.756690219118028,11918610.75,502083
no06,Case1_no06_r13_volspd.csv,26.85723907784913,11873832.73,502176
no06,Case1_no06_r14_volspd.csv,27.123436486444128,11763689.18,502100
no06,Case1_no06_r15_volspd.csv,26.976378128153645,11832724.849999998,502490
no06,Case1_no06_r16_volspd.csv,26.77990445776003,11906157.95,502018
no06,Case1_no06_r17_volspd.csv,26.81843608219913,11894679.879999999,502061
no06,Case1_no06_r18_volspd.csv,26.89175071299202,11854112.35,501960
no06,Case1_no06_r19_volspd.csv,26.65951129899606,11968875.759999998,502347
no06,Case1_no06_r20_volspd.csv,26.77256399923078,11905336.45,502118
no07,Case1_no07_r01_volspd.csv,26.5909538793051,11992026.600000001,502220
no07,Case1_no07_r02_volspd.csv,26.96217522016575,11839995.42,502552
no07,Case1_no07_r03_volspd.csv,26.811988639393004,11894927.8,502018
no07,Case1_no07_r04_volspd.csv,26.780325866614636,11902747.399999999,501836
no07,Case1_no07_r06_volspd.csv,26.927126103737645,11843260.540000001,502035
no07,Case1_no07_r07_volspd.csv,26.857747642521108,11872717.120000001,501833
no07,Case1_no07_r08_volspd.csv,26.88233325722778,11855464.399999999,501812
no07,Case1_no07_r09_volspd.csv,26.725437220393452,11939469.380000003,502231
no07,Case1_no07_r10_volspd.csv,26.78811587757992,11901860.23,501970
no07,Case1_no07_r11_volspd.csv,26.802617448460587,11900416.940000001,502254
no07,Case1_no07_r12_volspd.csv,26.716072942246846,11943539.96,502222
no07,Case1_no07_r13_volspd.csv,26.92099261378015,11852681.309999999,502378
no07,Case1_no07_r14_volspd.csv,26.756352664583545,11921605.73,502416
no07,Case1_no07_r15_volspd.csv,26.74074596400735,11926125.540000001,502007
no07,Case1_no07_r16_volspd.csv,26.631611428775006,11972225.89,502290
no07,Case1_no07_r17_volspd.csv,26.532134301758358,12026139.79,502293
no07,Case1_no07_r18_volspd.csv,26.75096936368385,11913673.57,502049
no07,Case1_no07_r19_volspd.csv,26.73374029409795,11937986.219999999,502222
no07,Case1_no07_r20_volspd.csv,26.746054428318836,11916465.8,501890
no08,Case1_no08_r01_volspd.csv,26.92496164663714,11849117.42,502346
no08,Case1_no08_r02_volspd.csv,26.761009639596498,11919409.7,502335
no08,Case1_no08_r03_volspd.csv,26.78895447459236,11904399.940000001,502247
