scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_veh_mean,flow_veh_std
no03,2022/10/18 06:30:00,0630,27.978011857287424,0.4103519088764271,168852.069,4863.2360058546465,7878.25,136.68206481504905
no03,2022/10/18 06:45:00,0645,25.99424472165102,0.39955497270784257,214480.038,5541.2876235654885,9014.35,141.5750777205472
no03,2022/10/18 07:00:00,0700,27.89142685769148,0.3711757856451712,200868.432,4158.873313593736,8916.4,135.88671752603335
no03,2022/10/18 07:15:00,0715,27.48498301852019,0.3202720437614815,243400.2875,4119.331462764924,10566.8,118.90447293609516
no03,2022/10/18 07:30:00,0730,25.77590097301972,0.554195033814272,277977.2095,7933.55197734975,11375.1,119.66615843121312
no03,2022/10/18 07:45:00,0745,26.16371257048749,0.6350565487947171,269011.5605,8935.77412165487,11657.3,144.05229313653675
no03,2022/10/18 08:00:00,0800,24.66909888362719,0.5201624898109898,311008.626,8572.703081640127,12335.7,146.44636165540348
no03,2022/10/18 08:15:00,0815,25.041458571362803,0.8792316891021339,308080.15249999997,12600.913210777055,12127.45,110.12121311966784
no03,2022/10/18 08:30:00,0830,24.690205057447464,0.4062957284609836,321209.231,6664.830641263536,12846.15,157.72370078549977
no03,2022/10/18 08:45:00,0845,25.078608276660276,0.714788747137965,298230.42199999996,10979.057935525103,11740.2,117.87977818635005
no03,2022/10/18 09:00:00,0900,26.307439127728507,0.6086066567250868,259563.86800000002,7779.530547118745,10490.2,112.67634132654817
no03,2022/10/18 09:15:00,0915,27.22151246425944,0.6134675203760876,225235.32200000001,6216.155666480017,9918.3,105.05392099198093
no03,2022/10/18 09:30:00,0930,26.99584693218361,0.9086742355011117,240795.021,8194.11152780228,10384.95,103.84932151414068
no03,2022/10/18 09:45:00,0945,28.128643868577264,0.35999243296722655,223253.19100000002,3803.018630277944,9951.4,107.68345423410922
no03,2022/10/18 10:00:00,1000,26.00266258023684,0.7630046041918666,254706.998,7052.400078607503,10695.75,104.36720345920315
no03,2022/10/18 10:15:00,1015,25.30294869477727,0.9560179420091471,248088.68349999998,11646.638079897954,9740.35,124.18715714597896
no03,2022/10/18 10:30:00,1030,28.281294376427137,0.49877817249698614,211425.63650000002,5529.330564963992,9339.75,96.23210701763001
no03,2022/10/18 10:45:00,1045,29.073748266846433,0.14972645902659432,201826.182,1550.2394416333875,9140.05,52.159144124395674
no03,2022/10/18 11:00:00,1100,27.630555382506067,0.28311532044450693,226990.919,4292.678215903639,9892.8,123.22405780143993
no03,2022/10/18 11:15:00,1115,27.31856122054233,0.5217025310369564,234949.756,6768.213907017193,10400.55,145.92444872892972
no03,2022/10/18 11:30:00,1130,28.237831710656952,0.31882102522471994,207761.7115,4795.339309398878,9269.8,120.96915657350536
no03,2022/10/18 11:45:00,1145,28.747634203462646,0.21351449328367805,211406.13450000001,3557.169309125431,9370.2,131.93323670466216
no03,2022/10/18 12:00:00,1200,27.987210438336056,0.3555127594206501,220858.088,4507.45119617051,9780.85,102.67182004610092
no03,2022/10/18 12:15:00,1215,28.15450088827569,0.41532072440300977,228788.69449999998,5128.724569078372,9958.7,125.94823498063337
no03,2022/10/18 12:30:00,1230,28.008801414909737,0.3247258067735178,213737.28050000002,4682.2169238114175,9719.25,136.54606895611613
no03,2022/10/18 12:45:00,1245,29.02142176226395,0.2125600455513534,211619.9755,4549.662862479603,9460.15,133.2809754655657
no03,2022/10/18 13:00:00,1300,28.810498727047918,0.25286556442088953,218284.4315,4244.344833461246,9671.05,109.75689643839918
no03,2022/10/18 13:15:00,1315,29.02704317938217,0.33744242654383266,206017.86000000002,5705.459582383401,9132.35,142.35177886970177
no03,2022/10/18 13:30:00,1330,28.42698060318337,0.2105562147280816,204581.58500000002,4710.0079777153305,9184.2,144.90454208129327
no03,2022/10/18 13:45:00,1345,28.51897931839258,0.3069219013453919,186226.932,3540.982052518613,8185.0,108.43528266351208
no03,2022/10/18 14:00:00,1400,28.55675494973331,0.25031170745278947,202144.869,4484.4947074616475,9141.75,142.35495850347553
no03,2022/10/18 14:15:00,1415,28.38287272651744,0.34711398484500705,216696.788,6622.258842975273,9357.2,180.4364883159431
no03,2022/10/18 14:30:00,1430,29.137695024795732,0.2171952251815261,210464.285,4306.90026959737,9517.45,134.0618376563195
no03,2022/10/18 14:45:00,1445,28.761175528740825,0.37044987706189575,211465.1665,5848.570904964987,9354.0,144.974044863936
no03,2022/10/18 15:00:00,1500,27.146172818875566,0.4436936150863981,223303.2765,5342.868351757641,9416.45,150.78931799385717
no03,2022/10/18 15:15:00,1515,27.213971218667005,0.3398961375661351,224456.6065,5045.635264462986,9607.55,151.82416248999826
no03,2022/10/18 15:30:00,1530,27.215213388815574,0.3496743958809969,221160.3395,5447.458978878401,9164.3,131.02836173495956
no03,2022/10/18 15:45:00,1545,27.589521701867852,0.36714155140913424,210580.06549999997,5540.027981162926,8944.15,127.33555959291998
no03,2022/10/18 16:00:00,1600,24.875907388615634,0.33361554136378324,271929.017,5985.80329871316,10568.45,94.04560763687704
no03,2022/10/18 16:15:00,1615,24.80492599865245,0.48012219956115715,268849.40949999995,7976.87035004955,10607.1,164.15586303395042
no03,2022/10/18 16:30:00,1630,24.102071547051963,0.5573196401545611,262611.34750000003,7878.368364753996,10094.05,152.61698705203847
no03,2022/10/18 16:45:00,1645,24.99941169722984,0.45410027458406477,269955.1355,7331.563652751146,10474.35,145.04600903452
no03,2022/10/18 17:00:00,1700,24.100305371326993,0.5743136693758857,293938.7485,8622.23231057534,11104.8,117.43244418544816
no03,2022/10/18 17:15:00,1715,26.723375839789913,0.42684439704880367,270756.825,5825.303827422575,11113.9,187.675784266378
no03,2022/10/18 17:30:00,1730,26.762823709682483,0.6192990393816095,254362.2845,6845.780693486333,10598.15,116.56679810757717
no03,2022/10/18 17:45:00,1745,25.99781716068484,0.7651205740686329,271758.1825,9735.360685756212,10986.5,135.8755235306821
no03,2022/10/18 18:00:00,1800,25.84788990782683,0.6234968362674899,272906.608,5982.896121433956,11201.35,86.69503415633699
no03,2022/10/18 18:15:00,1815,27.01283913097614,0.6640798754937903,245569.008,7938.856973207694,10298.65,133.1549453594728
no03,2022/10/18 18:30:00,1830,27.97450133003452,0.5711077913267275,215528.69249999998,6627.65242376918,9488.05,117.31804500677015
no03,2022/10/18 18:45:00,1845,28.740716423999334,0.2700289980569026,193501.1305,4250.074605755673,8835.4,146.95269557528434
