link_id,TTT_mean,TTT_std,V_mean,V_std,flow_mean,flow_std
I_11_533967_13845533967_01485,462757.2785,2873.6847226500568,30.914353357819277,0.19288911157818012,4888.3,2.105131574835329
533967_00535_00609_1,435570.44349999994,9225.20454976033,17.968613946970173,0.36094317175775686,4223.05,10.835978084724664
533967_00766_11513_1,285281.7195,5880.371829842481,23.018782612469895,0.4674739332974676,4780.8,4.2376756290261435
533967_00939_01421_1,282823.3195,6017.725070865292,15.451923281018555,0.3334807494046461,6457.95,56.37046165651311
533967_00538_00539_1,282368.2485,10449.301611968498,16.899707011811028,0.6334561820181454,4883.05,3.2195946132525655
533967_00535_00609_0,280244.517,264.77201619306373,29.930487188345502,0.0049213674529710255,4547.15,4.270769682880433
533967_00538_11513_1,274415.9565,10084.258072054814,12.575621630872629,0.46080398621555346,3723.75,10.135269321065223
I_11_533967_00939533967_01485,265246.638,6969.267192734265,21.135329936892226,0.538497236001665,5474.1,38.53487825470972
I_11_533967_01405533967_00937,246240.4085,2814.2803270468457,8.878388851279611,0.07553630546193263,3783.4,23.956978985365826
533967_00532_11490_1,214974.21850000002,2061.3477328406098,26.23457238214586,0.25016294861376953,5533.25,1.551739261874246
533967_00532_00534_1,213021.0725,2691.3055072641378,26.005436287730625,0.27117161965613806,5684.0,45.800482645124134
533967_00532_00534_0,211605.702,2964.062066112017,26.886940532201606,0.3951408267727718,5843.55,18.902728847833906
533967_00535_11512_1,191669.068,2095.2530974954307,13.901022861119184,0.150802376125403,5072.15,1.18210338847862
533967_00538_00539_0,188611.704,1005.1177439348268,23.391496908605397,0.11825000503304169,4527.15,3.4834193727308413
I_11_533967_00937533967_01657,183533.2955,2094.149949777322,20.313975274058926,0.17068309546727073,5201.15,24.99531535055461
I_11_533967_01485533967_14155,180561.661,213.051447626603,48.5379160751002,0.029837073626071704,4807.4,4.159959513972899
I_11_533967_13718533967_00977,174291.036,5781.581178870308,12.41896086118412,0.3619848959511859,3638.5,30.49503842301325
533967_00319_11518_1,164657.309,10901.458585995153,24.39984843600343,1.5733624859185158,4575.9,2.125038699338026
I_11_533967_00978533967_00977,164047.627,5222.8701786753045,23.71966083207306,0.7053926735306248,3352.7,1.4903196407411767
533967_00534_00766_0,157888.402,1854.9202975290536,33.08013454581719,0.2666130909254946,3539.25,31.284559837250814
533967_00534_00766_1,156543.8875,2957.2417900965474,30.348620813202153,0.22765579737054306,3220.95,55.97976608138266
I_11_533967_01485533967_00940,154437.001,2183.398054563712,24.818904607883155,0.16945950737853083,3924.3,48.65247329678865
I_11_533967_01485533967_01405,153434.62,10456.880417135088,20.452924128083993,1.4370758835946857,3794.4,25.299053445991998
533967_00535_00538_0,146316.60700000002,598.2025309304328,14.399186736127229,0.05807417044733698,3612.5,6.108665113892156
I_11_0129024146232,145896.82450000002,257.9195618685682,29.967891010760518,0.005754959009281843,3580.5,6.378417556597797
533967_00938_00939_0,142456.04750000002,3308.490471513175,12.339669032085691,0.28572731671652457,2347.5,1.6701717529075306
533967_01420_01654_0,134437.653,3703.7263322484478,14.530679645341772,0.3428935102448577,2425.4,25.19273078113058
533967_00319_00539_0,134314.04499999998,11217.293049505259,17.990201847806564,1.4654044700119528,4573.95,2.258900524358593
533967_00535_14018_1,134055.12949999998,3150.1661111464527,10.645843094676065,0.24743194909255808,3008.5,2.7241609041278916
533967_00532_01530_1,133640.37900000002,2258.731487156597,9.630768207864529,0.1383452459575547,2454.95,16.53855145442082
533967_00534_11504_1,125553.61850000001,1750.7738226470165,7.348419250867844,0.10189374798373618,2938.5,7.316168108338852
I_11_533967_00977533967_01421,125545.23700000001,7725.185777329478,35.091609110773064,2.300703988271163,5335.4,57.444160529573175
533967_00766_11513_0,124971.80049999998,4938.983651121665,41.00887138035084,1.579928899880804,3724.25,9.97826585503136
533967_00693_01661_0,124901.60800000001,1223.3108498299123,26.10209771213916,0.25410933794967294,4518.6,1.0954451150101803
I_11_533967_14021533967_01485,121728.3045,5042.396702822633,9.49848129985224,0.33691840896640735,2369.2,49.39060213185681
533967_00532_11490_0,121344.2365,134.37034726437173,48.32613799526952,0.02042992582891911,5733.6,5.245549492063245
533967_13844_14155_1,120203.2585,102.76918426490313,47.98790931487446,0.0020837123589132174,4807.4,4.159959513972899
533967_01420_01654_1,120092.63999999998,1593.7803389227881,21.769504673681364,0.17733581765841433,3194.8,38.94206222744659
I_11_533967_01555533967_00977,115420.1835,2857.1175974218527,21.428465958629427,0.31588711472079023,2837.05,49.47777278738398
533967_00319_11518_0,111585.01999999999,101.60093441344246,29.949315171538778,0.003650677123755481,3832.8,3.577708763999655
I_11_533967_-00001533967_00539,108528.69850000001,2389.2784912765137,4.730128750443374,0.10540966203445638,1870.5,1.0000000000000113
533967_00695_11518_1,106181.7505,106.62737026303547,28.86987325780812,0.005651034625580553,3832.2,3.5777087639996528
533967_00535_00538_1,102825.9415,1652.0945555368423,17.289798246061753,0.2576088529646722,2844.1,11.493247445439629
533967_01661_13315_1,98092.097,2220.633732184765,5.510660826725242,0.12410812869475074,1825.8,1.3611140947574574
I_11_533967_01418533967_00977,97190.074,4622.523167138324,24.920283505837723,1.2763721749985888,2066.2,37.590032273407175
533967_00766_14156_0,97056.541,1628.493358220221,47.48208168946367,0.0866532879805805,2840.95,49.00641741005374
533967_00538_11513_0,96141.633,156.0330845517593,45.99322703207512,0.07248602644259676,4786.8,3.5629674208594904
533967_00940_13718_0,94415.604,4260.375965818043,37.75607588013507,1.4785178089321063,3642.5,30.025427820257214
I_11_533967_01268533967_00937,92549.119,1289.8122352575203,17.122857118796666,0.2344369779896027,3451.9,8.012490249604143
533967_01654_01658_1,89415.39050000001,2304.658383296696,23.661389847483697,0.5751023100702265,5562.0,25.093509330627953
533967_01654_01655_0,88871.604,127.76999781268157,44.754528135006574,0.05628615927895497,5683.3,3.8402302562545505
533967_00695_11518_0,84819.11799999999,4376.115551896875,47.33413293510751,2.4480991464271367,4579.7,1.0310954828418066
533967_00319_00539_1,83141.9045,540.7076148361899,24.165043023965787,0.1469931288352037,3832.9,3.582119337399077
533967_01419_01420_0,81873.74399999999,1226.7258446793292,14.250508740712666,0.12846701518303358,2427.45,25.295048402488028
533967_00766_14156_1,81176.107,1199.7832371553407,29.57767199951286,0.30710310904362426,1471.5,16.99380692147024
533967_01418_01420_1,79046.778,1308.3221740422057,19.105767736006253,0.14460241728320797,3194.8,38.94206222744659
533967_11501_11504_0,77896.315,3161.118493980292,24.237076124558527,1.0327119807290572,2939.8,6.724660038364708
I_11_533967_01644533967_01485,76852.088,3782.3228473582785,13.142884124831204,0.5690069109818051,2260.2,38.316685935146154
I_11_533967_00977533967_00978,75972.9605,126.5482277725282,39.41047654877549,0.025532165611355892,2655.5,4.058778659957487
I_11_0129024139429,75093.2005,142.00969016139962,29.495769102968744,0.015433165926573894,3564.65,6.285111898681485
533967_00536_11512_0,73612.804,1641.0213178749375,29.219013290077402,0.6292281699947744,5073.9,0.9679060415470455
I_11_0129024139444,70404.2585,288.9326077729413,49.78148926338519,0.023855800106031805,2865.95,11.573449651772142
533967_01419_01425_1,66447.00749999999,1055.3914147435912,22.902068974365374,0.2855615560361804,2429.05,25.27006758577183
I_11_533967_01659533967_01657,65369.349,1371.4972999489842,21.201962767833194,0.39726386549194637,3239.6,34.35480507263789
533967_00533_11503_0,65059.5745,138.42867114320563,30.376534562593786,0.005181728102472227,2941.95,6.219451659701862
533967_00280_13214_0,63095.996999999996,58.85177429691324,45.439164678578024,0.0037537630941484592,5733.6,5.245549492063245
533967_00280_13214_1,62429.0515,38.696944157195404,50.727534359202885,0.03382162764016331,5536.1,0.8522416262268132
533967_00938_00939_1,61412.442,77.30627172759701,45.23789197755629,0.052066580202837096,3604.45,1.7312909694942005
533967_11501_11504_1,59405.1005,226.51774858949275,30.060216918769715,0.010725948175576535,2772.7,10.402934808580719
533967_00533_11503_1,58991.41850000001,236.64222978725556,31.59085346275834,0.019834166640094658,2772.7,10.402934808580719
I_11_533967_01412533967_01657,52286.604999999996,1187.4362727077614,15.689899678805599,0.361208420789079,1385.45,1.5035046776746417
533967_14017_14018_0,48951.3185,3496.56781066997,44.71410886499277,3.059432587578988,3012.4,1.3138933706635632
533967_00280_11490_1,48833.188,56.95543711395766,49.580743049807154,0.03385669092658021,5733.6,5.245549492063245
533967_00535_11512_0,48616.7865,65.48059570148355,44.6299304122757,0.04235946431962031,4159.5,3.120391338480282
533967_00532_11497_1,47881.9635,1347.0289118034798,8.597744073902792,0.24265171957121862,1269.65,1.1367080817685333
533967_11501_11503_1,47771.9675,246.8648764186818,30.14010496798658,0.16851263914678843,2940.8,6.428554720111957
533967_11501_11503_0,45958.1375,172.97012257597268,29.711811071713065,0.014038753648096711,2772.7,10.402934808580719
I_11_533967_01657533967_01658,45718.81,769.5066133842535,45.782482276865295,0.7461406764852658,5562.45,25.01257578436137
533967_00280_11490_0,44599.455,38.153310472353574,52.365581994843275,0.04371340398138057,5535.35,1.039989878493442
533967_13891_14021_0,43218.4545,2766.3377972529424,47.309179379264556,2.6609673821604485,2371.65,49.37640071297647
533967_13891_14021_1,42788.417499999996,282.97219822290936,50.023338446222006,0.02214508382564543,2455.85,16.48372402992529
533967_00949_14017_0,42621.126000000004,21.930557964437078,51.02934786141204,0.027425900469611023,3013.2,0.7677718959498119
I_11_533967_13308533967_00937,42013.3915,713.2852301131927,20.155906784959146,0.29050814560152854,3074.35,36.90567635701069
533967_14017_14018_1,41618.8335,48.15833777895087,49.84296152841428,0.03748600132064145,2872.5,2.164303704731756
533967_00933_14152_1,41447.4625,12.936175256357007,51.405235481547365,0.008255800831918816,3450.95,0.9986833437344343
533967_00949_14017_1,40216.696500000005,29.138869008683706,46.43723231798363,0.001868791071065326,2872.45,2.1144863753590055
I_11_0129024146246,36064.520000000004,139.74426055439656,46.885769947730736,0.05571339698053176,2902.95,10.605237037972243
533967_01418_01421_0,34961.065,4941.888213316955,14.785403363542192,1.8438254627602932,1125.8,33.52862092381124
533967_00978_12969_0,34785.6805,53.462033304018945,39.99784102968837,0.018670646622581007,2650.8,3.9815363339981698
533967_00933_14152_0,34112.3085,27.83798186783103,45.829642016907734,0.004500568918324982,2842.05,2.282081229238361
533967_00536_11512_1,33715.824,22.878523231692856,43.16007313231233,0.023733627124006024,4158.6,3.2019730759247538
533967_00978_12969_1,33696.185,16.378278779819283,52.3397899390941,0.031606030341356506,3355.5,0.888523316638641
I_11_533967_01657533967_13308,32051.672,406.9768028770186,45.792633445214065,0.11456580991797631,3074.65,37.06647655511009
533967_00535_14018_0,31599.440500000004,51.747564038776915,42.902900916793534,0.05865129157812108,2872.5,2.164303704731756
533967_00943_01268_0,31070.7615,27.661232471494944,46.96385411188361,0.03523696629275101,3449.65,1.7554426642213532
533967_01555_14156_1,30796.895,526.9098015839747,48.55858812920731,0.09816270948039736,2839.4,49.053568999400575
533967_00534_11504_0,29687.370000000003,113.07640895941941,29.21821925234882,0.030155700953661112,2772.7,10.402934808580719
533967_01661_13315_0,29569.797,65.02034807820267,17.938948419498352,0.0342949986501804,2209.1,1.8035053587243692
I_11_533967_00977533967_01425,29552.046500000004,329.9738089490862,47.673577324955545,0.08170408790620036,2429.2,25.30570977800103
I_11_533967_00937533967_01406,29298.746999999996,691.4268948691686,40.37671389197559,0.39687568432508985,2262.75,38.70111517501087
533967_00539_11517_1,27801.7355,637.0917822456981,12.852330966744749,0.2949198246980236,326.55,1.3168942730210769
I_11_533967_00539_533967_-00001,27376.215000000004,35.770890620579635,23.880127440806834,0.031011163854122125,2301.6,0.5026246899499918
533967_00976_12969_0,26885.801,10.35614279952828,53.30131985220586,0.015180322183520126,3356.4,0.5982430416161176
533967_00532_01530_0,26270.295000000002,544.7224502296665,47.39563510891713,0.08509587069079236,2372.15,49.073816579559086
533967_00976_12969_1,26078.817000000003,42.83377431543089,35.56720960805764,0.02301132573751942,2650.75,4.115119746291219
I_11_533967_00937533967_01269,25995.626500000002,36.95429699037224,46.27672139985915,0.04749484999607828,2843.95,1.84889725312998
533967_01659_01661_1,25866.64,279.5100605288502,44.10037221337795,0.1270400452896487,3239.95,34.36104740760065
I_11_0804143920985,24717.631,1932.2610845679703,19.454704422751526,1.008731866085078,1126.05,33.55980521868056
533967_01406_01644_0,24528.157,1211.1473886669355,48.460958482404685,1.7440155503758898,2262.55,38.63387523650045
I_11_533967_00977533967_01555,23879.128,270.9196673049622,47.76631567647122,0.07761978005693522,1472.3,17.143665394480117
533967_00608_00609_1,23750.629999999997,22.723530813487617,29.908180363440188,0.020007349360705987,4731.8,3.155613210905659
I_11_533967_01485533967_14021,21742.8275,174.15515858521755,45.196983338938495,0.13047801515770902,2459.2,16.070895563425427
533967_01410_01417_1,21688.1385,16.800502271627007,50.76189050326399,0.031668707875259675,3602.05,2.0384462607326745
533967_01530_13891_1,21297.956,248.97117671688346,48.762872701112784,0.5386515256165993,2454.95,16.53855145442082
533967_00609_11505_1,21150.3535,330.255987144821,30.056818579459,0.08535276332142815,674.5,10.00789162295645
533967_01530_13891_0,20452.439000000002,420.33524965699786,49.26446648117536,0.04038540358696756,2371.9,49.34401259471474
533967_01654_01661_1,19727.904000000002,305.27959137399586,27.980336786823095,0.28244404553425256,3332.9,32.19986923804769
533967_00533_11502_1,18408.7655,36.367244874156285,44.95285979684209,0.08941698674527512,3020.6,0.5026246899500214
533967_01269_13715_0,18402.395,25.446075387602924,49.51108645302516,0.05258923071150267,2843.7,2.0545200489601085
