scenario,V_net_mean,V_net_std,TTT_mean,TTT_std,traffic_total_mean,traffic_total_std,n_runs
no01,26.908618322071426,0.10226230400012447,11850495.955,43607.90327103644,502005.45,190.45194862967958,20
no02,26.964506047954377,0.10595013796296263,11825943.078499999,47512.841743462646,502080.2,154.8780844814126,20
no03,26.882132533071523,0.08200569517583012,11861174.0835,35949.37542867549,502016.95,190.362666342017,20
no04,26.945435371880173,0.13045447869177182,11834203.8745,57246.742074771435,502102.25,195.32183293490934,20
no05,26.841025171697176,0.0947350272987998,11879560.004999999,40949.56505229064,502050.4,169.26851916096913,20
no06,26.896742945279396,0.12372556553142644,11857960.224999998,54229.23035596682,502129.35,174.19960571591128,20
no07,26.771447113507943,0.11153833664358374,11913333.13894737,49747.5037861357,502133.05263157893,214.24401292923775,19
no08,26.830107443031316,0.10695590910663105,11887285.451578949,48945.59981862528,502240.94736842107,196.33148660257976,19
