scenario,timeslot,V_net_mean,V_net_std,TTT_mean,TTT_std
no04,2022/10/18 06:30:00,27.81107792298412,0.438400089894573,169358.565,5017.005420758588
no04,2022/10/18 06:45:00,25.479233301086346,0.3672872924379622,218067.98850000004,5230.66485542937
no04,2022/10/18 07:00:00,26.85679279466885,0.3650480241914336,208315.248,3962.5514335570797
no04,2022/10/18 07:15:00,26.40098783854246,0.417190909874192,252533.3935,4887.755982532461
no04,2022/10/18 07:30:00,24.868262579089752,0.39440667171114785,288975.6475,5525.014202185012
no04,2022/10/18 07:45:00,24.939203302888906,0.47149704625225786,281603.6665,7117.0082672258195
no04,2022/10/18 08:00:00,23.7915388939819,0.8085928214699561,322397.2065,12333.582959181966
no04,2022/10/18 08:15:00,24.513061266132823,0.6618820887190858,317255.9925,10396.598421249864
no04,2022/10/18 08:30:00,24.56213180252533,0.3592676722384608,323181.1585,6683.061039793272
no04,2022/10/18 08:45:00,24.87221154034335,0.41422723852183396,300614.365,7116.984403399865
no04,2022/10/18 09:00:00,26.292905219564126,0.5062913346162702,260300.9165,6819.546512124092
no04,2022/10/18 09:15:00,26.94836185548982,0.5782434247637614,226456.9125,6456.82169746147
no04,2022/10/18 09:30:00,26.953870738029508,0.6549693375539706,241121.6355,6279.295313312986
no04,2022/10/18 09:45:00,28.2050283994159,0.4013391036986104,222942.232,4835.31375406045
no04,2022/10/18 10:00:00,25.82265919249172,0.7198262516895712,256242.58,6243.920192187789
no04,2022/10/18 10:15:00,25.522587330231104,0.8225658727959398,245666.35350000003,9208.637207559845
no04,2022/10/18 10:30:00,28.17106912746285,0.5303043200299262,211945.2355,6421.375755253101
no04,2022/10/18 10:45:00,29.043583290922363,0.22020604905425487,202264.5115,3893.133729957042
no04,2022/10/18 11:00:00,27.44629305275758,0.2798554665903569,227835.79249999998,3839.2409194689803
no04,2022/10/18 11:15:00,27.099928358325588,0.43477855709049157,237974.10100000002,6093.718850753662
no04,2022/10/18 11:30:00,28.06905465360207,0.31745234979483733,209151.96899999998,5302.362493147352
no04,2022/10/18 11:45:00,28.50955987023242,0.3410514124939625,213475.964,4616.530564605954
no04,2022/10/18 12:00:00,27.901941253729508,0.40054395729272674,220976.6815,4368.52720929013
no04,2022/10/18 12:15:00,27.954046037608908,0.4771673914491671,231638.4165,5951.143217825126
no04,2022/10/18 12:30:00,27.890390254095376,0.4384590358674387,214522.974,5887.1339677374835
no04,2022/10/18 12:45:00,28.930501202574373,0.28549892455758735,212871.42450000002,3801.1179043310462
no04,2022/10/18 13:00:00,28.685267967772802,0.2878905034645206,218823.33650000003,3713.5507023152445
no04,2022/10/18 13:15:00,28.888767766063655,0.3675758608299682,207353.4265,4259.848806421561
no04,2022/10/18 13:30:00,28.37826710378561,0.2162811342006098,204161.324,4102.248143221243
no04,2022/10/18 13:45:00,28.49969511216194,0.22694021505811784,185834.77,3123.31854203017
no04,2022/10/18 14:00:00,28.41982086252268,0.2639394051285966,203732.0565,4194.433377388451
no04,2022/10/18 14:15:00,28.402936301335206,0.3706783111535774,216784.2065,6788.324043563617
no04,2022/10/18 14:30:00,29.060664156296365,0.23598547273360448,211038.50449999998,3640.7479408256295
no04,2022/10/18 14:45:00,28.700424197356256,0.24803259851538412,211241.8015,4768.120106853627
no04,2022/10/18 15:00:00,27.05929803886816,0.4075011425589487,224341.6785,4861.298522544949
no04,2022/10/18 15:15:00,26.819570059957833,0.34458865376787673,228100.16349999997,5344.166973860155
no04,2022/10/18 15:30:00,27.13675540834721,0.4195038482931505,220927.78100000002,4999.012056554569
no04,2022/10/18 15:45:00,27.257689372336806,0.4930584766910563,214630.4745,6993.592364595701
no04,2022/10/18 16:00:00,24.69778498778433,0.26883942425071733,272112.238,5125.390862910504
no04,2022/10/18 16:15:00,24.613595262454634,0.4633829666413608,270817.17199999996,7450.383385612205
no04,2022/10/18 16:30:00,24.008437274269397,0.5350649065843339,266631.7805,8173.69071420164
no04,2022/10/18 16:45:00,25.107949182952808,0.75545306981109,269633.843,7886.165170317406
no04,2022/10/18 17:00:00,24.03221339287223,0.8189785062115738,292490.91949999996,13647.834061417734
no04,2022/10/18 17:15:00,26.544519885081428,0.422982020497468,273016.73,6209.8282610314845
no04,2022/10/18 17:30:00,26.63525313514562,0.47446485859305176,254410.06650000002,5026.838350185698
no04,2022/10/18 17:45:00,25.35954305539036,0.6541974429613125,276852.923,7578.30002138592
no04,2022/10/18 18:00:00,25.23307220112402,0.644565207673881,280028.949,8109.862388340516
no04,2022/10/18 18:15:00,26.151452577746397,0.6764205325078578,253224.053,7259.01731298977
no04,2022/10/18 18:30:00,27.34201202134502,0.5461540820247889,221314.99550000002,6220.193932845264
no04,2022/10/18 18:45:00,28.180854123677285,0.46419130529688873,198311.8995,4851.836339671028
