,Time,VID,Type,Pos.x,Pos.y
1392819,08:00:00,6330,I_09_1204235410404,139.93907,35.900634
1392820,08:00:00,6344,I_09_1204235410404,139.939155,35.90053
1392821,08:00:00,6340,I_09_1204235410404,139.939262,35.900398
1392822,08:00:00,6329,I_09_1204235410404,139.939388,35.900244
1392823,08:00:00,6347,I_09_1204235410404,139.93966,35.899905
1392850,08:00:00,5527,I_09_1204235410404,139.940414,35.898814
1392851,08:00:00,5680,I_09_1204235410404,139.94056,35.898564
1392852,08:00:00,5534,I_09_1204235410404,139.940699,35.898312
1392853,08:00:00,5537,I_09_1204235410404,139.94083,35.898072
1392854,08:00:00,5689,I_09_1204235410404,139.940955,35.89783
1392855,08:00:00,5677,I_09_1204235410404,139.941077,35.897585
1392856,08:00:00,5846,I_09_1204235410434,139.941321,35.897093
1392857,08:00:00,5330,I_09_1204235410404,139.941775,35.896182
1392858,08:00:00,5316,I_09_1204235410404,139.941745,35.896243
1392859,08:00:00,5367,I_09_1204235410434,139.941691,35.896351
1392860,08:00:00,5337,I_09_1204235410404,139.941645,35.896442
1392861,08:00:00,5310,I_09_1204235410404,139.941618,35.896497
1392862,08:00:00,5344,I_09_1204235410404,139.941773,35.896185
1392863,08:00:00,5519,I_09_1204235410404,139.943021,35.896603
1392864,08:00:00,5530,I_09_1204235410404,139.942128,35.896184
1392878,08:00:00,5345,I_09_1204235410404,139.949898,35.894717
1392879,08:00:00,6018,I_09_1204235410404,139.949875,35.894848
1392880,08:00:00,5572,I_09_1204235410404,139.949854,35.894963
1392881,08:00:00,5599,I_09_1204235410404,139.949835,35.895065
1392882,08:00:00,5593,I_09_1204235410404,139.949915,35.894625
1392883,08:00:00,5496,I_09_1204235410404,139.949528,35.895913
1392884,08:00:00,5515,I_09_1204235410404,139.949618,35.895386
1392885,08:00:00,5492,I_09_1204235410404,139.949659,35.89515
1392886,08:00:00,5497,I_09_1204235410404,139.949528,35.895913
1392887,08:00:00,5445,I_09_1204235410404,139.949568,35.89568
1392888,08:00:00,5456,I_09_1204235410404,139.949604,35.895467
1392889,08:00:00,5494,I_09_1204235410404,139.949658,35.895157
1392914,08:00:00,6266,I_09_1204235410404,139.946573,35.898165
1392971,08:00:00,5370,I_09_1204235410419,139.949487,35.897567
1392972,08:00:00,5380,I_09_1204235410404,139.949517,35.897114
1393000,08:00:00,6280,I_09_1204235410404,139.94917,35.897957
1393001,08:00:00,6310,I_09_1204235410404,139.949096,35.897966
1393002,08:00:00,6269,I_09_1204235410404,139.949021,35.897974
1393003,08:00:00,6261,I_09_1204235410404,139.948947,35.897982
1393004,08:00:00,6274,I_09_1204235410404,139.948871,35.89799
1393005,08:00:00,6273,I_09_1204235410404,139.948222,35.898062
1393006,08:00:00,6259,I_09_1204235410404,139.947922,35.898092
1393007,08:00:00,6176,I_09_1204235410434,139.947312,35.898151
1393015,08:00:00,5845,I_09_1204235410434,139.949354,35.897545
1393016,08:00:00,6315,I_09_1204235410404,139.949363,35.897605
1393151,08:00:01,6330,I_09_1204235410404,139.939065,35.90064
1393152,08:00:01,6344,I_09_1204235410404,139.939131,35.900559
1393153,08:00:01,6340,I_09_1204235410404,139.939222,35.900447
1393154,08:00:01,6329,I_09_1204235410404,139.939335,35.900309
1393155,08:00:01,6347,I_09_1204235410404,139.939588,35.899997
1393180,08:00:01,5680,I_09_1204235410404,139.9405,35.898668
1393181,08:00:01,5534,I_09_1204235410404,139.940641,35.898418
