route_id,V_kmh,Dpillar,simulation_delay
D10_311,10.0,23.99999999925001,
D10_311,12.5,19.423143107989468,
D10_311,15.0,23.32396839332749,
D10_311,17.5,26.11027216856893,
D10_311,20.0,28.200000000000003,30.0
D10_311,22.5,24.533333337793923,30.66666603088379
D10_311,25.0,21.60000000000001,26.399999618530277
D10_311,27.5,25.090909089818187,25.090909957885746
D10_311,30.0,28.000000002500013,28.0
D10_311,32.5,29.538461532923076,29.538461685180664
D10_311,35.0,27.42857142514285,27.428571701049805
D10_311,37.5,25.600000003999984,25.600000381469727
D10_311,40.0,23.99999999999999,24.0
D10_311,42.5,22.588235296235283,22.58823585510254
D10_311,45.0,21.33333333066665,21.33333396911621
D10_311,47.5,20.210526319578943,20.210525512695312
D10_311,50.0,19.19999999999999,19.200000762939453
D10_312,10.0,17.13417721482063,
D10_312,12.5,24.0,
D10_312,15.0,22.91139240506328,
D10_312,17.5,25.24773960216997,
D10_312,20.0,26.999999999999996,30.0
D10_312,22.5,29.46666666271794,32.0
D10_312,25.0,28.79999999999997,33.599998474121094
D10_312,27.5,25.3090909029818,31.636363983154297
D10_312,30.0,22.399999993599984,28.0
D10_312,32.5,23.076923077846143,24.923076629638672
D10_312,35.0,25.714285712571414,25.714284896850582
D10_312,37.5,28.000000004,28.0
D10_312,40.0,30.0,30.0
D10_312,42.5,28.235294123294107,28.235294342041016
D10_312,45.0,26.666666669333328,26.66666603088379
D10_312,47.5,25.263157893473675,25.263158798217773
D10_312,50.0,23.99999999999999,24.0
D10_313,10.0,28.01095890410957,
D10_313,12.5,21.49748443337484,
D10_313,15.0,24.0,
D10_313,17.5,24.775591531755907,
D10_313,20.0,25.8,36.0
D10_313,22.5,28.399999996,32.0
D10_313,25.0,30.47999999999999,33.599998474121094
D10_313,27.5,32.18181818203635,34.90909194946289
D10_313,30.0,28.799999999999983,36.0
D10_313,32.5,25.84615383950769,32.30769348144531
D10_313,35.0,23.314285710171426,29.14285659790039
D10_313,37.5,21.599999999999994,26.399999618530277
D10_313,40.0,23.999999999999982,24.0
D10_313,42.5,26.11764706164705,26.117647171020508
D10_313,45.0,28.000000004,28.0
D10_313,47.5,29.684210520631574,29.6842098236084
D10_313,50.0,28.8,28.799999237060547
D10_314,10.0,24.282352941176462,
D10_314,12.5,24.0,
D10_314,15.0,19.99999999999997,
D10_314,17.5,19.41425942693577,
D10_314,20.0,21.599999999999994,30.0
D10_314,22.5,19.866666663733334,29.33333396911621
D10_314,25.0,22.799999999999997,24.0
D10_314,27.5,25.1999999976,26.18181800842285
D10_314,30.0,22.400000003199978,28.0
D10_314,32.5,23.076923077846143,24.923076629638672
D10_314,35.0,25.714285712571414,25.714284896850582
D10_314,37.5,28.000000004,28.0
D10_314,40.0,30.0,30.0
