case_index,route_id,pattern_group,pattern_id,n_links,n_intersections,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lengths_m,green_ratios,demand_veh_per_s,d_min_s_per_veh,representative_offsets_s,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,g0,g1,g2,g3
159,R2_M03,random_medium_2link,2M03,2,3,30,27.5,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,25.30909157,"[0.0, 34.79999923706055]",0,34.79999924,,540,540,558,601,34.69090909,60,3.074538469,BuiltPC01,results_60routes\full_delay\case_0159__R2_M03__v27p5_delays.npy,results_60routes\optima\case_0159__R2_M03__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
160,R2_M03,random_medium_2link,2M03,2,3,30,30,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,28.20000076,"[0.0, 32.400001525878906]",0,32.40000153,,853,853,947,1075,31.8,60,2.990545511,BuiltPC01,results_60routes\full_delay\case_0160__R2_M03__v30p0_delays.npy,results_60routes\optima\case_0160__R2_M03__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
161,R2_M03,random_medium_2link,2M03,2,3,30,32.5,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,30.6461544,"[0.0, 30.0]",0,30,,1207,1207,1309,1458,29.35384615,60,2.99999404,BuiltPC01,results_60routes\full_delay\case_0161__R2_M03__v32p5_delays.npy,results_60routes\optima\case_0161__R2_M03__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
162,R2_M03,random_medium_2link,2M03,2,3,30,35,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,32.74285889,"[0.0, 27.600000381469727]",0,27.60000038,,1590,1590,1658,1726,27.25714286,60,3.064053297,BuiltPC01,results_60routes\full_delay\case_0162__R2_M03__v35p0_delays.npy,results_60routes\optima\case_0162__R2_M03__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
163,R2_M03,random_medium_2link,2M03,2,3,30,37.5,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,34.56000137,"[0.0, 26.399999618530273]",0,26.39999962,,1858,1858,1990,2058,25.44,60,3.026187897,BuiltPC01,results_60routes\full_delay\case_0163__R2_M03__v37p5_delays.npy,results_60routes\optima\case_0163__R2_M03__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
164,R2_M03,random_medium_2link,2M03,2,3,30,40,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,35.77500153,"[0.0, 0.0]",0,0,,1413,1413,3641,3707,23.85,59.625,3.029959917,BuiltPC01,results_60routes\full_delay\case_0164__R2_M03__v40p0_delays.npy,results_60routes\optima\case_0164__R2_M03__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
165,R2_M03,random_medium_2link,2M03,2,3,30,42.5,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,33.67058945,"[0.0, 0.0]",0,0,,1319,1319,1371,1413,22.44705882,56.11764706,2.993749142,BuiltPC01,results_60routes\full_delay\case_0165__R2_M03__v42p5_delays.npy,results_60routes\optima\case_0165__R2_M03__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
166,R2_M03,random_medium_2link,2M03,2,3,30,45,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,31.79999924,"[0.0, 0.0]",0,0,,1233,1233,1285,1319,21.2,53,3.060675383,BuiltPC01,results_60routes\full_delay\case_0166__R2_M03__v45p0_delays.npy,results_60routes\optima\case_0166__R2_M03__v45p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
167,R2_M03,random_medium_2link,2M03,2,3,30,47.5,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,30.12631607,"[0.0, 0.0]",0,0,,1143,1143,1233,1233,20.08421053,50.21052632,3.119428396,BuiltPC01,results_60routes\full_delay\case_0167__R2_M03__v47p5_delays.npy,results_60routes\optima\case_0167__R2_M03__v47p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
168,R2_M03,random_medium_2link,2M03,2,3,30,50,120,1.2,100,10000,"[143.0, 122.0]","[0.4, 0.66, 0.4]",0.4,28.62000084,"[0.0, 0.0]",0,0,,1061,1061,1113,1143,19.08,47.7,2.955634356,BuiltPC01,results_60routes\full_delay\case_0168__R2_M03__v50p0_delays.npy,results_60routes\optima\case_0168__R2_M03__v50p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.143,0.122,,143,122,,0.4,0.66,0.4,
169,R2_M04,random_medium_2link,2M04,2,3,30,20,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,22.86000061,"[55.20000076293945, 0.0]",55.20000076,0,,74,76,76,78,97.74,120.599999,3.03614378,BuiltPC01,results_60routes\full_delay\case_0169__R2_M04__v20p0_delays.npy,results_60routes\optima\case_0169__R2_M04__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
170,R2_M04,random_medium_2link,2M04,2,3,30,22.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,33.11999893,"[49.20000076293945, 0.0]",49.20000076,0,,640,640,640,756,86.88,120,3.047188759,BuiltPC01,results_60routes\full_delay\case_0170__R2_M04__v22p5_delays.npy,results_60routes\optima\case_0170__R2_M04__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
171,R2_M04,random_medium_2link,2M04,2,3,30,25,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,38.62799835,"[51.599998474121094, 33.599998474121094]",51.59999847,33.59999847,,304,304,304,320,78.192,116.82,3.131923437,BuiltPC01,results_60routes\full_delay\case_0171__R2_M04__v25p0_delays.npy,results_60routes\optima\case_0171__R2_M04__v25p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
172,R2_M04,random_medium_2link,2M04,2,3,30,27.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,39.61636353,"[46.79999923706055, 31.200000762939453]",46.79999924,31.20000076,,544,544,544,576,71.08363636,110.7,3.002334833,BuiltPC01,results_60routes\full_delay\case_0172__R2_M04__v27p5_delays.npy,results_60routes\optima\case_0172__R2_M04__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
173,R2_M04,random_medium_2link,2M04,2,3,30,30,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,40.43999863,"[43.20000076293945, 30.0]",43.20000076,30,,660,660,704,766,65.16,105.6,3.164447069,BuiltPC01,results_60routes\full_delay\case_0173__R2_M04__v30p0_delays.npy,results_60routes\optima\case_0173__R2_M04__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
174,R2_M04,random_medium_2link,2M04,2,3,30,32.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,41.13692474,"[39.599998474121094, 27.600000381469727]",39.59999847,27.60000038,,784,784,784,784,60.14769231,101.2846154,3.117685318,BuiltPC01,results_60routes\full_delay\case_0174__R2_M04__v32p5_delays.npy,results_60routes\optima\case_0174__R2_M04__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
175,R2_M04,random_medium_2link,2M04,2,3,30,35,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,41.73428726,"[37.20000076293945, 26.399999618530273]",37.20000076,26.39999962,,832,832,832,884,55.85142857,97.58571429,2.958530426,BuiltPC01,results_60routes\full_delay\case_0175__R2_M04__v35p0_delays.npy,results_60routes\optima\case_0175__R2_M04__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
176,R2_M04,random_medium_2link,2M04,2,3,30,37.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,42.2519989,"[34.79999923706055, 26.399999618530273]",34.79999924,26.39999962,,792,864,864,912,52.128,94.38,3.041727066,BuiltPC01,results_60routes\full_delay\case_0176__R2_M04__v37p5_delays.npy,results_60routes\optima\case_0176__R2_M04__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
177,R2_M04,random_medium_2link,2M04,2,3,30,40,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,42.70500183,"[32.400001525878906, 24.0]",32.40000153,24,,880,880,880,880,48.87,91.575,3.024822474,BuiltPC01,results_60routes\full_delay\case_0177__R2_M04__v40p0_delays.npy,results_60routes\optima\case_0177__R2_M04__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
178,R2_M04,random_medium_2link,2M04,2,3,30,42.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,43.10470581,"[31.200000762939453, 24.0]",31.20000076,24,,840,840,880,880,45.99529412,89.1,2.957435131,BuiltPC01,results_60routes\full_delay\case_0178__R2_M04__v42p5_delays.npy,results_60routes\optima\case_0178__R2_M04__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
179,R2_M04,random_medium_2link,2M04,2,3,30,45,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,43.45999908,"[28.799999237060547, 22.799999237060547]",28.79999924,22.79999924,,828,828,828,920,43.44,86.9,2.997949839,BuiltPC01,results_60routes\full_delay\case_0179__R2_M04__v45p0_delays.npy,results_60routes\optima\case_0179__R2_M04__v45p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
180,R2_M04,random_medium_2link,2M04,2,3,30,47.5,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,43.77789307,"[27.600000381469727, 22.799999237060547]",27.60000038,22.79999924,,768,768,864,898,41.15368421,84.93157895,3.029247284,BuiltPC01,results_60routes\full_delay\case_0180__R2_M04__v47p5_delays.npy,results_60routes\optima\case_0180__R2_M04__v47p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
181,R2_M04,random_medium_2link,2M04,2,3,30,50,120,1.2,100,10000,"[356.0, 187.0]","[0.4, 0.47, 0.4]",0.4,44.06399918,"[26.399999618530273, 21.600000381469727]",26.39999962,21.60000038,,800,800,800,832,39.096,83.16,2.953047276,BuiltPC01,results_60routes\full_delay\case_0181__R2_M04__v50p0_delays.npy,results_60routes\optima\case_0181__R2_M04__v50p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.356,0.187,,356,187,,0.4,0.47,0.4,
182,R2_M05,random_medium_2link,2M05,2,3,30,20,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,32.40000153,"[51.599998474121094, 0.0]",51.59999847,0,,225,225,315,329,96.3,128.7,3.080554962,BuiltPC01,results_60routes\full_delay\case_0182__R2_M05__v20p0_delays.npy,results_60routes\optima\case_0182__R2_M05__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
183,R2_M05,random_medium_2link,2M05,2,3,30,22.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,34.40000153,"[38.400001525878906, 26.399999618530273]",38.40000153,26.39999962,,497,497,539,639,85.6,120,3.008851528,BuiltPC01,results_60routes\full_delay\case_0183__R2_M05__v22p5_delays.npy,results_60routes\optima\case_0183__R2_M05__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
184,R2_M05,random_medium_2link,2M05,2,3,30,25,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,25.55999947,"[52.79999923706055, 43.20000076293945]",52.79999924,43.20000076,,87,87,87,87,77.04,102.6,3.123531818,BuiltPC01,results_60routes\full_delay\case_0184__R2_M05__v25p0_delays.npy,results_60routes\optima\case_0184__R2_M05__v25p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
185,R2_M05,random_medium_2link,2M05,2,3,30,27.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,23.72727203,"[51.599998474121094, 44.400001525878906]",51.59999847,44.40000153,,115,115,161,161,70.03636364,93.76363636,3.021998167,BuiltPC01,results_60routes\full_delay\case_0185__R2_M05__v27p5_delays.npy,results_60routes\optima\case_0185__R2_M05__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
186,R2_M05,random_medium_2link,2M05,2,3,30,30,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,25.5,"[46.79999923706055, 42.0]",46.79999924,42,,247,247,273,313,64.2,89.7,3.133990765,BuiltPC01,results_60routes\full_delay\case_0186__R2_M05__v30p0_delays.npy,results_60routes\optima\case_0186__R2_M05__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
187,R2_M05,random_medium_2link,2M05,2,3,30,32.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,27,"[43.20000076293945, 39.599998474121094]",43.20000076,39.59999847,,323,323,361,397,59.26153846,86.26153846,3.099825144,BuiltPC01,results_60routes\full_delay\case_0187__R2_M05__v32p5_delays.npy,results_60routes\optima\case_0187__R2_M05__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
188,R2_M05,random_medium_2link,2M05,2,3,30,35,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,28.2857151,"[40.79999923706055, 38.400001525878906]",40.79999924,38.40000153,,345,345,425,425,55.02857143,83.31428571,3.051668406,BuiltPC01,results_60routes\full_delay\case_0188__R2_M05__v35p0_delays.npy,results_60routes\optima\case_0188__R2_M05__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
189,R2_M05,random_medium_2link,2M05,2,3,30,37.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,29.39999962,"[37.20000076293945, 36.0]",37.20000076,36,,377,377,435,435,51.36,80.76,2.985484838,BuiltPC01,results_60routes\full_delay\case_0189__R2_M05__v37p5_delays.npy,results_60routes\optima\case_0189__R2_M05__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
190,R2_M05,random_medium_2link,2M05,2,3,30,40,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,30.375,"[34.79999923706055, 33.599998474121094]",34.79999924,33.59999847,,429,429,429,429,48.15,78.525,3.084890604,BuiltPC01,results_60routes\full_delay\case_0190__R2_M05__v40p0_delays.npy,results_60routes\optima\case_0190__R2_M05__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
191,R2_M05,random_medium_2link,2M05,2,3,30,42.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,31.23529434,"[33.599998474121094, 33.599998474121094]",33.59999847,33.59999847,,385,385,407,479,45.31764706,76.55294118,3.075976372,BuiltPC01,results_60routes\full_delay\case_0191__R2_M05__v42p5_delays.npy,results_60routes\optima\case_0191__R2_M05__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
192,R2_M05,random_medium_2link,2M05,2,3,30,45,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,32,"[31.200000762939453, 32.400001525878906]",31.20000076,32.40000153,,351,429,429,429,42.8,74.8,3.024939299,BuiltPC01,results_60routes\full_delay\case_0192__R2_M05__v45p0_delays.npy,results_60routes\optima\case_0192__R2_M05__v45p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
193,R2_M05,random_medium_2link,2M05,2,3,30,47.5,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,32.68421173,"[30.0, 31.200000762939453]",30,31.20000076,,369,369,369,471,40.54736842,73.23157895,3.067897081,BuiltPC01,results_60routes\full_delay\case_0193__R2_M05__v47p5_delays.npy,results_60routes\optima\case_0193__R2_M05__v47p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
194,R2_M05,random_medium_2link,2M05,2,3,30,50,120,1.2,100,10000,"[386.0, 149.0]","[0.4, 0.5, 0.4]",0.4,33.29999924,"[28.799999237060547, 31.200000762939453]",28.79999924,31.20000076,,301,387,405,405,38.52,71.82,3.107373714,BuiltPC01,results_60routes\full_delay\case_0194__R2_M05__v50p0_delays.npy,results_60routes\optima\case_0194__R2_M05__v50p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.386,0.149,,386,149,,0.4,0.5,0.4,
195,R2_M06,random_medium_2link,2M06,2,3,30,20,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,50.75999832,"[0.0, 44.400001525878906]",0,44.40000153,,1156,1156,1156,1294,59.94,110.7,3.029741049,BuiltPC01,results_60routes\full_delay\case_0195__R2_M06__v20p0_delays.npy,results_60routes\optima\case_0195__R2_M06__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
196,R2_M06,random_medium_2link,2M06,2,3,30,22.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,50.61999893,"[0.0, 40.79999923706055]",0,40.79999924,,1200,1200,1260,1260,53.28,103.9,2.932855844,BuiltPC01,results_60routes\full_delay\case_0196__R2_M06__v22p5_delays.npy,results_60routes\optima\case_0196__R2_M06__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
197,R2_M06,random_medium_2link,2M06,2,3,30,25,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,50.50799942,"[0.0, 37.20000076293945]",0,37.20000076,,1196,1196,1196,1248,47.952,98.46,3.023876667,BuiltPC01,results_60routes\full_delay\case_0197__R2_M06__v25p0_delays.npy,results_60routes\optima\case_0197__R2_M06__v25p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
198,R2_M06,random_medium_2link,2M06,2,3,30,27.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,50.41636276,"[0.0, 34.79999923706055]",0,34.79999924,,1100,1100,1200,1248,43.59272727,94.00909091,3.00041151,BuiltPC01,results_60routes\full_delay\case_0198__R2_M06__v27p5_delays.npy,results_60routes\optima\case_0198__R2_M06__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
199,R2_M06,random_medium_2link,2M06,2,3,30,30,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,49.43999863,"[0.0, 16.799999237060547]",0,16.79999924,,660,660,700,1780,39.96,89.4,3.035457373,BuiltPC01,results_60routes\full_delay\case_0199__R2_M06__v30p0_delays.npy,results_60routes\optima\case_0199__R2_M06__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
200,R2_M06,random_medium_2link,2M06,2,3,30,32.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,44.82923126,"[0.0, 20.399999618530273]",0,20.39999962,,406,406,464,494,36.88615385,81.71538462,3.080575466,BuiltPC01,results_60routes\full_delay\case_0200__R2_M06__v32p5_delays.npy,results_60routes\optima\case_0200__R2_M06__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
201,R2_M06,random_medium_2link,2M06,2,3,30,35,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,40.87714386,"[0.0, 22.799999237060547]",0,22.79999924,,230,230,250,322,34.25142857,75.12857143,2.964291573,BuiltPC01,results_60routes\full_delay\case_0201__R2_M06__v35p0_delays.npy,results_60routes\optima\case_0201__R2_M06__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
202,R2_M06,random_medium_2link,2M06,2,3,30,37.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,37.45199966,"[0.0, 25.200000762939453]",0,25.20000076,,114,114,138,184,31.968,69.42,3.004698038,BuiltPC01,results_60routes\full_delay\case_0202__R2_M06__v37p5_delays.npy,results_60routes\optima\case_0202__R2_M06__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
203,R2_M06,random_medium_2link,2M06,2,3,30,40,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,34.45500183,"[2.4000000953674316, 27.600000381469727]",2.400000095,27.60000038,,34,68,76,76,29.97,64.425,2.979172945,BuiltPC01,results_60routes\full_delay\case_0203__R2_M06__v40p0_delays.npy,results_60routes\optima\case_0203__R2_M06__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
204,R2_M06,random_medium_2link,2M06,2,3,30,42.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,32.55176544,"[3.5999999046325684, 27.600000381469727]",3.599999905,27.60000038,,30,30,32,36,28.20705882,60.75882305,3.07828927,BuiltPC01,results_60routes\full_delay\case_0204__R2_M06__v42p5_delays.npy,results_60routes\optima\case_0204__R2_M06__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
205,R2_M06,random_medium_2link,2M06,2,3,30,45,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,33.36000061,"[3.5999999046325684, 27.600000381469727]",3.599999905,27.60000038,,30,34,76,76,26.64,60,2.986550093,BuiltPC01,results_60routes\full_delay\case_0205__R2_M06__v45p0_delays.npy,results_60routes\optima\case_0205__R2_M06__v45p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
206,R2_M06,random_medium_2link,2M06,2,3,30,47.5,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,34.76210403,"[2.4000000953674316, 26.399999618530273]",2.400000095,26.39999962,,76,114,114,138,25.23789474,60,3.026380062,BuiltPC01,results_60routes\full_delay\case_0206__R2_M06__v47p5_delays.npy,results_60routes\optima\case_0206__R2_M06__v47p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
207,R2_M06,random_medium_2link,2M06,2,3,30,50,120,1.2,100,10000,"[136.0, 197.0]","[0.4, 0.47, 0.4]",0.4,35.9640007,"[0.0, 0.0]",0,0,,664,832,880,880,23.976,59.94,3.13492918,BuiltPC01,results_60routes\full_delay\case_0207__R2_M06__v50p0_delays.npy,results_60routes\optima\case_0207__R2_M06__v50p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.136,0.197,,136,197,,0.4,0.47,0.4,
208,R2_M07,random_medium_2link,2M07,2,3,30,20,120,1.2,100,10000,"[393.0, 121.0]","[0.4, 0.56, 0.4]",0.4,27.47999954,"[30.0, 26.399999618530273]",30,26.39999962,,34,34,108,108,92.52,120,3.1398983,BuiltPC01,results_60routes\full_delay\case_0208__R2_M07__v20p0_delays.npy,results_60routes\optima\case_0208__R2_M07__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.393,0.121,,393,121,,0.4,0.56,0.4,
209,R2_M07,random_medium_2link,2M07,2,3,30,22.5,120,1.2,100,10000,"[393.0, 121.0]","[0.4, 0.56, 0.4]",0.4,33.36000061,"[38.400001525878906, 38.400001525878906]",38.40000153,38.40000153,,757,757,757,855,82.24,115.6,2.977519512,BuiltPC01,results_60routes\full_delay\case_0209__R2_M07__v22p5_delays.npy,results_60routes\optima\case_0209__R2_M07__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.393,0.121,,393,121,,0.4,0.56,0.4,
