scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no01,2022/10/18 15:45:00,1545,15:45,1.0,1.0,1.0,27.602255525030245,210441.055,8942.35
no01,2022/10/18 16:00:00,1600,16:00,1.0,1.0,1.0,24.950414085666708,271318.611,10569.65
no01,2022/10/18 16:15:00,1615,16:15,1.0,1.0,1.0,24.890087648548185,267933.31350000005,10599.4
no01,2022/10/18 16:30:00,1630,16:30,1.0,1.0,1.0,24.14458932230688,262686.80350000004,10106.15
no01,2022/10/18 16:45:00,1645,16:45,1.0,1.0,1.0,25.023535297674737,270133.1285,10477.55
no01,2022/10/18 17:00:00,1700,17:00,1.0,1.0,1.0,24.39984830973648,290037.8655,11084.3
no01,2022/10/18 17:15:00,1715,17:15,1.0,1.0,1.0,26.74994658415804,270447.677,11115.65
no01,2022/10/18 17:30:00,1730,17:30,1.0,1.0,1.0,26.86365444582224,253218.0865,10590.35
no01,2022/10/18 17:45:00,1745,17:45,1.0,1.0,1.0,26.0076087639696,272493.977,11002.35
no01,2022/10/18 18:00:00,1800,18:00,1.0,1.0,1.0,26.090567054662813,270643.799,11211.9
no01,2022/10/18 18:15:00,1815,18:15,1.0,1.0,1.0,27.23166136310672,243195.7055,10293.7
no01,2022/10/18 18:30:00,1830,18:30,1.0,1.0,1.0,27.964543015627005,215211.5355,9476.3
no01,2022/10/18 18:45:00,1845,18:45,1.0,1.0,1.0,28.727608374405413,193469.605,8828.5
no02,2022/10/18 06:30:00,630,06:30,1.0,1.0,1.0,27.978011857287424,168852.069,7878.25
no02,2022/10/18 06:45:00,645,06:45,1.0,1.0,1.0,25.99424472165102,214480.038,9014.35
no02,2022/10/18 07:00:00,700,07:00,1.0009327819020228,0.9996444323266951,1.0002299611309602,27.91721279726937,200728.6335,8916.6
no02,2022/10/18 07:15:00,715,07:15,1.003798957896032,0.9948332112408682,0.9983913168963772,27.602175726145287,242179.972,10550.65
no02,2022/10/18 07:30:00,730,07:30,1.003447582236911,0.9974395266150844,1.0017282397899727,25.9174362439848,276671.487,11389.6
no02,2022/10/18 07:45:00,745,07:45,1.0019984270363298,0.9925692237621694,0.9951981152281003,26.20073737111424,267441.4115,11616.45
no02,2022/10/18 08:00:00,800,08:00,1.0033333629476302,1.0035521593998413,1.005310129406515,24.75273615925857,312091.9875,12390.95
no02,2022/10/18 08:15:00,815,08:15,1.0043342712207721,0.9958052666776854,1.0007122800372197,25.13461307830173,307323.499,12152.75
no02,2022/10/18 08:30:00,830,08:30,1.00543988483423,0.9948701620325642,1.0008094456075902,24.850416288987624,319442.148,12858.7
no02,2022/10/18 08:45:00,845,08:45,1.0121432730292887,0.9862833805576557,0.9986740397446993,25.27722028882613,295178.8185,11711.8
no02,2022/10/18 09:00:00,900,09:00,1.0138068193101766,0.988588556505618,1.002418345147362,26.66254335144813,257066.0045,10528.45
no02,2022/10/18 09:15:00,915,09:15,0.9954094802116328,0.9976111965585626,0.9940117343772861,27.243826209079145,223241.7025,9851.7
no02,2022/10/18 09:30:00,930,09:30,1.008193570330149,0.9930448410690389,1.0016453777874,27.2230881276193,239252.66,10409.85
no02,2022/10/18 09:45:00,945,09:45,1.0079495370579503,0.9910273589795306,0.99851686500455,28.31070701664326,221462.886,9930.4
no02,2022/10/18 10:00:00,1000,10:00,1.011369005949543,0.9909871490600655,1.0017194494023978,26.23363307188588,253384.0905,10719.5
