link_id,TTT_mean,TTT_std,V_mean,V_std,flow_mean,flow_std
I_11_533967_13845533967_01485,463938.62549999997,2731.374517754119,30.82697733551699,0.17789773565901576,4886.95,2.723677854048007
533967_00535_00609_1,446773.44800000003,9535.196375741485,17.53085376479903,0.3477247802462606,4226.15,12.995039539438874
533967_00538_00539_1,309564.513,16843.101920071527,15.437596994631196,0.8400817078725711,4882.9,3.177221560122187
533967_00538_11513_1,300835.9215,11206.600490152536,11.46156002372055,0.41580923541808995,3720.6,12.2147451876819
533967_00766_11513_1,296890.621,7766.113505691453,22.11758913738231,0.5696715126738634,4779.4,6.839513679233485
533967_00939_01421_1,283918.257,4766.883516650765,15.492328166624295,0.2662921641206946,6501.2,80.52106622035734
533967_00535_00609_0,280332.5185,452.6668791817513,29.917803526502773,0.006894393351453634,4546.65,7.1471378150532665
I_11_533967_00939533967_01485,263959.5025,5359.176392519238,21.060883146532255,0.3412785384997798,5430.2,54.12908547848225
I_11_533967_01405533967_00937,246066.038,3374.1174482593824,8.883428058544347,0.07683446366068257,3782.8,30.13583284152986
533967_00532_11490_1,215779.32549999998,1894.8530120565379,26.129978026004107,0.2322474560133295,5531.9,1.7441631985447812
533967_00532_00534_0,214175.24449999997,3263.555738658571,26.46680070987886,0.38251902264054966,5822.0,15.791403390852636
533967_00532_00534_1,213891.127,3532.451839387274,25.690600030746726,0.2648988745303759,5637.95,60.17559830677987
533967_00535_11512_1,193558.2365,1707.3499553409977,13.763719247734826,0.12052955070369992,5071.75,2.3367769075778915
533967_00538_00539_0,189155.9785,1798.3682841815921,23.321420348155577,0.21566886194228135,4526.35,3.150187964316713
I_11_533967_00937533967_01657,184026.91499999998,2674.8459586704803,20.258469167910896,0.23213847722398948,5200.55,27.81797033725161
I_11_533967_01485533967_14155,180676.25149999998,199.0948635377218,48.50562738939253,0.03632370566017598,4807.25,2.8814287391756968
I_11_533967_13718533967_00977,175810.576,6013.9018057282165,12.416337682207274,0.3980045700490145,3669.0,28.486377168929867
533967_00319_11518_1,173022.1435,15492.272840569085,23.298369884398873,2.03551026088068,4575.9,2.125038699338026
I_11_533967_00978533967_00977,164706.86099999998,3364.2765682041354,23.608632966168013,0.48298967937931936,3352.1,1.9166857359844425
533967_00534_00766_0,159063.103,1821.5845188738947,32.68920472841008,0.3033941646709795,3523.35,20.86113233037131
533967_00534_00766_1,156756.1575,3223.847493589766,29.956903218965103,0.25220094612110555,3183.6,57.44232805720523
I_11_533967_01485533967_00940,156045.499,2067.924925489821,24.207018614904655,0.2255016222952832,3867.35,44.41108799435239
I_11_533967_01485533967_01405,152609.12550000002,11400.91978790607,20.595330291159662,1.5273102018059257,3797.55,28.22741295452459
533967_00766_11513_0,150965.251,9476.075794471435,34.00211979843795,2.204275185500146,3721.2,12.202674426448269
533967_00535_00538_0,146718.34,1099.9229624602674,14.348752022759973,0.10876211841137318,3609.6,9.69210204781516
I_11_0129024146232,145865.0915,399.52570909009626,29.963108888729618,0.00509588134218116,3579.15,9.831608531455563
533967_00319_00539_0,143157.687,13820.880697866325,16.91847688110714,1.62650018053691,4573.95,2.258900524358593
533967_00938_00939_0,143068.979,4823.271786596509,12.287737109897098,0.40503721301974627,2346.4,1.6670175069329582
533967_01420_01654_0,137141.7435,4920.019861564815,14.2448513186161,0.4417505780796769,2424.45,25.76916762334401
533967_00535_14018_1,135083.1635,3559.038103422523,10.565421575666303,0.2709033352834904,3008.3,2.3642067769571935
I_11_533967_00977533967_01421,134428.777,7619.120559525915,33.01008181403596,1.991735887507765,5377.55,79.50205227407326
533967_00532_01530_1,132248.33500000002,3094.3777585783246,9.641280776976938,0.162028552739124,2431.8,33.16878684927499
533967_00534_11504_1,127293.74750000001,1974.1556373078765,7.252531036345806,0.10838764203536809,2940.25,9.463920407193
533967_00693_01661_0,125130.99250000001,1203.1195589049896,26.054173728445694,0.25019954604455186,4518.6,1.0954451150101803
533967_00532_11490_0,121855.10900000001,117.20739939368494,48.11262174448827,0.025941220398522976,5732.3,4.566468173429902
533967_13844_14155_1,120210.5575,72.85284836211689,47.983498965080074,0.0028153248009688088,4807.25,2.8814287391756968
533967_01420_01654_1,119914.674,1738.7412375363601,21.71423902377596,0.1965809689807529,3181.9,39.45670512026276
I_11_533967_14021533967_01485,118549.67,4072.8296251597517,9.55518485176481,0.27830792153663403,2322.0,39.71477253988419
I_11_533967_01555533967_00977,116856.2595,2287.3468510147545,21.500761423732314,0.28018637845627,2882.25,39.076005560014835
I_11_533967_-00001533967_00539,115766.08249999999,2859.123023617145,4.435201734000322,0.11161064493499977,1870.6,0.9947229183096664
533967_00319_11518_0,111562.71699999999,105.41808988374106,29.94826952785187,0.004005207093546651,3831.9,3.5673962198603104
533967_00695_11518_1,106153.62700000001,97.66065285898038,28.86998403299276,0.004071840913469287,3831.2,3.5481648332920663
533967_00535_00538_1,104015.438,2206.5095202475704,17.07152722129249,0.3502061231339913,2840.15,10.10093794498415
533967_00940_13718_0,100613.871,8986.56727239571,35.902015813299144,2.7722830085326926,3673.05,28.210626963685275
533967_00538_11513_0,98361.9965,2034.5588056052948,44.96755794246692,0.9087229402132833,4786.25,6.528278567327877
533967_01661_13315_1,98120.6235,2227.4006826869872,5.508923092056197,0.12442786284684408,1825.75,1.409553867457078
533967_00766_14156_0,97737.60800000001,1362.1650294199806,47.90192437928714,0.04473291870559433,2886.15,39.2566119137575
I_11_533967_01418533967_00977,96754.227,4584.985040002111,24.861853738320253,1.149585909788684,2052.7,39.80227446555763
I_11_533967_01268533967_00937,92960.4865,1193.1393559287449,17.05436573423399,0.22658896110373647,3453.45,11.004664082967269
533967_01654_01658_1,89414.7105,2292.7743186469775,23.631995059208478,0.57061774944605,5555.1,26.799253720952724
