scenario,subset,timestr,slot_code,V_net_mean,TTT_mean,flow_kmveh_mean
no02,all,2022/10/18 07:00:00,0700,27.880403066483808,201048.59888888887,1556.7846555555557
no02,all,2022/10/18 07:15:00,0715,27.584370449117873,242243.2977777778,1855.7499166666666
no02,all,2022/10/18 07:30:00,0730,25.883679294695874,277029.80166666664,1990.8919666666666
no02,all,2022/10/18 07:45:00,0745,26.206306505439844,267691.66833333333,1947.6417888888889
no02,all,2022/10/18 08:00:00,0800,24.791545160273174,311041.13666666666,2140.5742166666664
no02,all,2022/10/18 08:15:00,0815,25.13117481362123,307823.15,2146.8296944444446
no02,all,2022/10/18 08:30:00,0830,24.843391011205302,318984.4711111111,2200.8340000000003
no02,all,2022/10/18 08:45:00,0845,25.299700723025207,295408.05388888885,2075.0052555555553
no02,all,2022/10/18 09:00:00,0900,26.640933773249746,257201.19999999998,1902.3817888888889
no02,all,2022/10/18 09:15:00,0915,27.23722585810683,223021.93,1686.8517722222223
no02,all,2022/10/18 09:30:00,0930,27.17449666676006,239687.59611111114,1808.1909944444444
no02,all,2022/10/18 09:45:00,0945,28.247073430604804,221977.59277777778,1741.426422222222
no02,all,2022/10/18 10:00:00,1000,26.241178583755094,253530.11222222226,1846.6449722222221
no02,all,2022/10/18 10:15:00,1015,25.996290869265714,240593.85111111111,1733.034911111111
no02,all,2022/10/18 10:30:00,1030,28.43245979708357,210139.27,1659.335711111111
no02,all,2022/10/18 10:45:00,1045,29.186711232277553,201300.0,1631.8748833333332
no02,all,2022/10/18 11:00:00,1100,27.646081953910652,225713.79722222223,1733.1840277777778
no02,all,2022/10/18 11:15:00,1115,27.318353937366563,235848.17333333334,1789.2963
no02,all,2022/10/18 11:30:00,1130,28.17915192607419,208529.2861111111,1631.9300166666667
no02,all,2022/10/18 11:45:00,1145,28.607681048735216,213046.4011111111,1692.8792444444443
no02,all,2022/10/18 12:00:00,1200,28.08286662006712,219389.86111111112,1711.0520944444443
no02,all,2022/10/18 12:15:00,1215,28.24339775686942,229042.79333333333,1796.6548944444446
no02,all,2022/10/18 12:30:00,1230,28.002504584734893,213934.995,1663.7835333333335
no02,all,2022/10/18 12:45:00,1245,29.066071316320176,211717.29777777777,1709.1942166666668
no02,all,2022/10/18 13:00:00,1300,28.842905190660076,218018.34999999998,1746.5718388888888
no02,all,2022/10/18 13:15:00,1315,29.03427287009827,206079.62055555556,1661.9192277777777
no02,all,2022/10/18 13:30:00,1330,28.46754272167999,203569.295,1609.6091277777778
no02,all,2022/10/18 13:45:00,1345,28.62024106480537,185596.835,1475.42
no02,all,2022/10/18 14:00:00,1400,28.537294548331765,202861.52555555556,1607.9618666666668
no02,all,2022/10/18 14:15:00,1415,28.510373543747804,215575.20388888888,1706.7621555555554
no02,all,2022/10/18 14:30:00,1430,29.143819999512484,210386.7377777778,1703.0261333333333
no02,all,2022/10/18 14:45:00,1445,28.926227539894587,210397.06555555557,1690.3749666666668
no02,all,2022/10/18 15:00:00,1500,27.222885641772496,222786.48166666666,1684.1642277777778
no02,all,2022/10/18 15:15:00,1515,27.120593479270084,225824.75166666665,1700.2111944444446
no02,all,2022/10/18 15:30:00,1530,27.248006082079616,220211.0222222222,1666.2440277777778
no02,all,2022/10/18 15:45:00,1545,27.506695056677156,211123.46666666667,1612.6072055555555
no02,all,2022/10/18 16:00:00,1600,24.86372059961732,271387.4038888889,1874.16255
no02,all,2022/10/18 16:15:00,1615,24.886406478460977,267750.81,1850.4184333333333
no02,all,2022/10/18 16:30:00,1630,24.16297296339034,263695.555,1769.085761111111
no02,all,2022/10/18 16:45:00,1645,25.099814777068566,269354.29333333333,1877.7145444444443
no02,all,2022/10/18 17:00:00,1700,24.17438052306882,291238.12555555557,1953.1604777777777
no02,all,2022/10/18 17:15:00,1715,26.89463924787604,269063.59777777776,2008.978
no02,all,2022/10/18 17:30:00,1730,26.855980260699443,252636.81277777778,1884.14825
no02,all,2022/10/18 17:45:00,1745,25.935551903166182,271748.34444444446,1956.1166333333333
no02,all,2022/10/18 18:00:00,1800,25.928222520464463,273589.9111111111,1968.8407777777777
no02,all,2022/10/18 18:15:00,1815,27.283453871743085,243322.38611111112,1842.9022555555555
no02,all,2022/10/18 18:30:00,1830,27.896226405438508,214472.84777777776,1661.41755
