scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no06,2022/10/18 07:00:00,0700,26.82243752539207,0.44409759498104007,208565.4188888889,4212.806407943577,1553.6407555555554,25.084936628001476
no06,2022/10/18 07:15:00,0715,26.34295777775193,0.5015860811446139,252991.15611111114,5792.5004840804495,1850.5917888888887,21.198482785883495
no06,2022/10/18 07:30:00,0730,24.74211679970192,0.4152540504439832,290587.7216666667,5587.011214310079,1996.5924944444446,14.858670816552634
no06,2022/10/18 07:45:00,0745,24.971589039105325,0.5596139180078399,281670.2683333333,8243.048642874988,1952.7284833333333,25.67088938233927
no06,2022/10/18 08:00:00,0800,23.765405849795354,0.7350477805625819,321957.4194444444,11625.740726569034,2123.416872222222,35.86516634581126
no06,2022/10/18 08:15:00,0815,24.510355600625424,0.649027658944776,317541.90722222225,10313.232377966056,2160.3301055555553,27.1285935561914
no06,2022/10/18 08:30:00,0830,24.31789747622695,0.38257373852869814,325345.0805555556,7234.30501105708,2197.1370055555553,31.64763275337217
no06,2022/10/18 08:45:00,0845,24.405097961928014,0.6324305731605631,307043.2111111111,10335.471893019625,2079.8625333333334,24.718011435198164
no06,2022/10/18 09:00:00,0900,25.920358660527008,0.5631707824212908,264589.1883333333,7631.328363381823,1904.0636166666668,26.0804095417197
no06,2022/10/18 09:15:00,0915,26.759149507618808,0.7526973689572142,228096.94833333333,7877.84222458398,1694.0047277777778,21.262016501700717
no06,2022/10/18 09:30:00,0930,26.657101611784288,0.7683949009806769,243810.16666666666,7365.964155521221,1804.0551555555555,26.6343788431025
no06,2022/10/18 09:45:00,0945,27.927130572223557,0.4843074433432992,225390.46277777778,5106.1036887905075,1747.9460277777778,23.09820523073056
no06,2022/10/18 10:00:00,1000,25.439808450119468,0.644224213470312,260055.13222222222,6112.058081412471,1836.9012055555556,29.871089647378664
no06,2022/10/18 10:15:00,1015,24.833514026533663,1.217826546415618,253306.13,14872.085525698214,1742.7195833333333,25.99799238294795
no06,2022/10/18 10:30:00,1030,27.807083396510038,0.8611655199950284,214990.1911111111,7832.307027275964,1658.991961111111,23.053503282610652
no06,2022/10/18 10:45:00,1045,28.824903466813794,0.28604327654847234,204409.27833333335,3768.079595898483,1636.4856388888888,21.651162237629755
no06,2022/10/18 11:00:00,1100,27.284358503558057,0.316669613078195,229382.9261111111,4786.218359159412,1738.1856722222224,24.642928799241336
no06,2022/10/18 11:15:00,1115,26.94458364466196,0.44075137067189474,238875.4611111111,6494.09201802765,1787.2775444444444,30.14727391601635
no06,2022/10/18 11:30:00,1130,27.91674975586656,0.37495256150131084,210623.54611111112,5009.780339433866,1632.9528833333334,27.334755537749555
no06,2022/10/18 11:45:00,1145,28.339344334443776,0.42439565741079266,215086.23777777777,4982.305035732857,1692.7482277777779,26.202261380512795
no06,2022/10/18 12:00:00,1200,27.87068888974856,0.3699984290965504,221057.40777777776,4489.769392971685,1711.1786111111112,30.47359265363816
no06,2022/10/18 12:15:00,1215,28.039838999976237,0.3086695114288312,230648.56666666668,4219.367906973743,1796.2374166666666,23.03891130307335
no06,2022/10/18 12:30:00,1230,27.78303571925331,0.4150163336407669,215732.46333333332,4882.970929325226,1664.6900166666667,35.13294486463484
no06,2022/10/18 12:45:00,1245,28.837705659468295,0.29907630512370825,214014.03055555554,5048.624578041585,1714.041538888889,28.334543865045045
no06,2022/10/18 13:00:00,1300,28.62615842230961,0.2621724154415577,219207.3211111111,3696.4654940678092,1742.8878611111113,20.818978654389543
no06,2022/10/18 13:15:00,1315,28.717376051720766,0.35865489808483547,208472.68777777778,4511.9210995285885,1662.774572222222,30.54702298229641
no06,2022/10/18 13:30:00,1330,28.268778454705252,0.24509816807174123,205489.85055555555,4812.340802859303,1613.3773055555555,29.44983881570733
no06,2022/10/18 13:45:00,1345,28.424540944167052,0.2295400124210787,186499.49,3310.3645189278513,1472.4289722222222,21.42424857055006
no06,2022/10/18 14:00:00,1400,28.249702198527178,0.2810539996011698,204783.6038888889,4795.76827067012,1606.7014833333333,27.785463866969007
no06,2022/10/18 14:15:00,1415,28.36761129749199,0.35860282475092403,216986.90777777776,6491.181901171824,1709.3477444444443,36.33555267892057
no06,2022/10/18 14:30:00,1430,28.89923251569299,0.2870572945308081,211827.7772222222,4495.920478593126,1700.2226555555555,27.12402096528031
no06,2022/10/18 14:45:00,1445,28.49108436065414,0.2681746032989432,213594.01833333334,4641.378797519304,1690.206088888889,28.615292338453663
no06,2022/10/18 15:00:00,1500,26.991234941223006,0.47192216430344885,224944.92333333334,6050.86239572314,1685.919838888889,27.110343353525547
no06,2022/10/18 15:15:00,1515,26.73445129335073,0.3320062797941152,228997.39111111112,5069.5034876567,1700.258561111111,26.018184290859033
