slot_code,HHMM,bus,nonbus,run
0900,09:00,420,10235,rand14
0900,09:00,382,10094,rand15
0900,09:00,411,10276,rand16
0900,09:00,439,10065,rand17
0900,09:00,410,10099,rand18
0900,09:00,391,10086,rand19
0900,09:00,391,10091,rand20
0915,09:15,258,9677,rand01
0915,09:15,194,9667,rand02
0915,09:15,242,9652,rand03
0915,09:15,264,9594,rand04
0915,09:15,249,9651,rand05
0915,09:15,213,9748,rand06
0915,09:15,218,9841,rand07
0915,09:15,215,9786,rand08
0915,09:15,204,9485,rand09
0915,09:15,257,9740,rand10
0915,09:15,241,9689,rand11
0915,09:15,210,9795,rand12
0915,09:15,251,9680,rand13
0915,09:15,225,9620,rand14
0915,09:15,256,9702,rand15
0915,09:15,223,9598,rand16
0915,09:15,211,9677,rand17
0915,09:15,226,9777,rand18
0915,09:15,240,9719,rand19
0915,09:15,250,9476,rand20
0930,09:30,339,9941,rand01
0930,09:30,360,9924,rand02
0930,09:30,350,10238,rand03
0930,09:30,353,10038,rand04
0930,09:30,331,10016,rand05
0930,09:30,339,10086,rand06
0930,09:30,359,9994,rand07
0930,09:30,336,10231,rand08
0930,09:30,334,10148,rand09
0930,09:30,350,10016,rand10
0930,09:30,352,9995,rand11
0930,09:30,331,9871,rand12
0930,09:30,342,9874,rand13
0930,09:30,361,10161,rand14
0930,09:30,322,9943,rand15
0930,09:30,374,10133,rand16
0930,09:30,356,10118,rand17
0930,09:30,330,10214,rand18
0930,09:30,344,9889,rand19
0930,09:30,332,10130,rand20
0945,09:45,234,9830,rand01
0945,09:45,245,9867,rand02
0945,09:45,221,9651,rand03
0945,09:45,158,9837,rand04
0945,09:45,249,9801,rand05
0945,09:45,252,9656,rand06
0945,09:45,218,9704,rand07
0945,09:45,262,9598,rand08
0945,09:45,239,9615,rand09
0945,09:45,189,9678,rand10
0945,09:45,208,9607,rand11
0945,09:45,236,9732,rand12
0945,09:45,218,9900,rand13
0945,09:45,172,9541,rand14
0945,09:45,262,9888,rand15
0945,09:45,202,9653,rand16
0945,09:45,219,9763,rand17
0945,09:45,235,9694,rand18
0945,09:45,209,9718,rand19
0945,09:45,223,9719,rand20
1000,10:00,312,10515,rand01
1000,10:00,310,10175,rand02
1000,10:00,298,10522,rand03
1000,10:00,344,10289,rand04
1000,10:00,298,10404,rand05
1000,10:00,311,10463,rand06
1000,10:00,313,10588,rand07
1000,10:00,275,10472,rand08
1000,10:00,314,10401,rand09
1000,10:00,315,10508,rand10
1000,10:00,314,10531,rand11
1000,10:00,310,10346,rand12
1000,10:00,299,10243,rand13
1000,10:00,332,10277,rand14
1000,10:00,301,10223,rand15
1000,10:00,320,10360,rand16
1000,10:00,307,10403,rand17
1000,10:00,317,10418,rand18
1000,10:00,332,10322,rand19
1000,10:00,324,10316,rand20
1015,10:15,195,9355,rand01
1015,10:15,195,9543,rand02
1015,10:15,188,9514,rand03
1015,10:15,215,9610,rand04
1015,10:15,182,9733,rand05
1015,10:15,187,9306,rand06
1015,10:15,215,9414,rand07
1015,10:15,227,9508,rand08
1015,10:15,210,9661,rand09
1015,10:15,214,9489,rand10
1015,10:15,205,9504,rand11
1015,10:15,202,9563,rand12
1015,10:15,221,9568,rand13
1015,10:15,211,9670,rand14
1015,10:15,198,9495,rand15
1015,10:15,202,9583,rand16
1015,10:15,188,9390,rand17
1015,10:15,206,9465,rand18
1015,10:15,177,9701,rand19
1015,10:15,187,9664,rand20
1030,10:30,326,8997,rand01
1030,10:30,297,9050,rand02
1030,10:30,322,8838,rand03
1030,10:30,317,9094,rand04
1030,10:30,325,8695,rand05
1030,10:30,295,9173,rand06
1030,10:30,295,8942,rand07
1030,10:30,328,8973,rand08
