slot_code,HHMM,car,bus,other,scenario,run
1430,14:30,9408,291,0,no01,rand03
1445,14:45,9072,362,0,no01,rand03
1500,15:00,9004,262,0,no01,rand03
1515,15:15,9343,349,0,no01,rand03
1530,15:30,8858,284,0,no01,rand03
1545,15:45,8567,258,0,no01,rand03
1600,16:00,10181,285,0,no01,rand03
1615,16:15,10426,260,0,no01,rand03
1630,16:30,9898,235,0,no01,rand03
1645,16:45,10186,229,0,no01,rand03
1700,17:00,10902,346,0,no01,rand03
1715,17:15,10621,290,0,no01,rand03
1730,17:30,10337,280,0,no01,rand03
1745,17:45,10797,276,0,no01,rand03
1800,18:00,10905,304,0,no01,rand03
1815,18:15,9986,324,0,no01,rand03
1830,18:30,9287,229,0,no01,rand03
1845,18:45,8342,297,0,no01,rand03
0630,06:30,7582,240,0,no01,rand04
0645,06:45,8884,276,0,no01,rand04
0700,07:00,8755,279,0,no01,rand04
0715,07:15,10154,391,0,no01,rand04
0730,07:30,10956,299,0,no01,rand04
0745,07:45,11049,430,0,no01,rand04
0800,08:00,11933,469,0,no01,rand04
0815,08:15,11703,417,0,no01,rand04
0830,08:30,12434,369,0,no01,rand04
0845,08:45,11473,298,0,no01,rand04
0900,09:00,10089,395,0,no01,rand04
0915,09:15,9594,264,0,no01,rand04
0930,09:30,10038,353,0,no01,rand04
0945,09:45,9837,158,0,no01,rand04
1000,10:00,10289,344,0,no01,rand04
1015,10:15,9610,215,0,no01,rand04
1030,10:30,9094,317,0,no01,rand04
1045,10:45,8764,325,0,no01,rand04
1100,11:00,9766,208,0,no01,rand04
1115,11:15,10274,206,0,no01,rand04
1130,11:30,9083,253,0,no01,rand04
1145,11:45,9181,253,0,no01,rand04
1200,12:00,9385,208,0,no01,rand04
1215,12:15,9773,251,0,no01,rand04
1230,12:30,9485,265,0,no01,rand04
1245,12:45,9046,296,0,no01,rand04
1300,13:00,9333,290,0,no01,rand04
1315,13:15,8780,255,0,no01,rand04
1330,13:30,9160,255,0,no01,rand04
1345,13:45,7958,217,0,no01,rand04
1400,14:00,8992,296,0,no01,rand04
1415,14:15,8944,227,0,no01,rand04
1430,14:30,9232,299,0,no01,rand04
1445,14:45,8860,379,0,no01,rand04
1500,15:00,9321,234,0,no01,rand04
1515,15:15,9032,370,0,no01,rand04
1530,15:30,9046,247,0,no01,rand04
1545,15:45,8629,278,0,no01,rand04
1600,16:00,10503,257,0,no01,rand04
1615,16:15,10061,307,0,no01,rand04
1630,16:30,9808,235,0,no01,rand04
