scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no07,2022/10/18 07:00:00,0700,26.466253616044618,0.5454713996250075,211035.79666666666,5416.305878305308,1550.904288888889,26.65481606413388
no07,2022/10/18 07:15:00,0715,25.850081715517536,0.4800487667501423,257831.83500000002,5557.718391514581,1850.8261166666666,24.6630763334525
no07,2022/10/18 07:30:00,0730,24.161448326284873,0.6370522048561121,296809.8711111111,9345.061753742944,1990.5822333333333,23.169054284540774
no07,2022/10/18 07:45:00,0745,24.310447933464918,0.6332708718442003,289473.09277777775,10321.888021796383,1953.2288055555555,30.73783386530591
no07,2022/10/18 08:00:00,0800,23.327019526853505,0.5282841556439384,327985.10055555555,7437.368395319645,2124.3781,26.34216057093086
no07,2022/10/18 08:15:00,0815,24.083516861904656,0.677436858461011,322812.5788888889,11391.145209764452,2157.6112166666667,23.643980528225708
no07,2022/10/18 08:30:00,0830,23.897215857093773,0.36727394595977536,331513.86833333335,6477.561790004965,2200.2042666666666,31.975862051627423
no07,2022/10/18 08:45:00,0845,24.054926053241772,0.7817218021514292,312232.07944444445,12125.533476178383,2083.9067777777777,23.025160472112507
no07,2022/10/18 09:00:00,0900,25.408316551476975,0.5015087722966075,269714.1883333333,6762.376759838433,1902.8083000000001,21.82479770320636
no07,2022/10/18 09:15:00,0915,26.70053510626867,0.6728627263514835,230591.6588888889,6975.912330258008,1709.0967666666666,18.863867490179697
no07,2022/10/18 09:30:00,0930,26.257131715324395,1.0152282305317633,246540.61166666666,9474.916149080631,1795.7776222222224,22.13050280369117
no07,2022/10/18 09:45:00,0945,27.470187519325382,0.3474721122913821,229668.64944444445,5358.087485538842,1752.1130888888888,26.115107327253885
no07,2022/10/18 10:00:00,1000,24.982836885940827,0.7024120994316617,263381.0572222222,7126.783718843605,1826.5811722222222,21.17555732228037
no07,2022/10/18 10:15:00,1015,23.921212335587107,1.14955316515474,262427.2394444444,13093.20986816021,1739.9124944444443,18.985669668044
