scenario,V_net_mean,TTT_mean,dist_kmveh_mean,n_runs
no01,26.893151227258652,11857071.258333333,88575.10217777778,18
no02,26.965440754187185,11825034.623888887,88572.78013888889,18
no03,26.489020985766917,12036149.108333334,88560.56805000002,18
no04,26.57871360877276,11997593.466111112,88576.08742777778,18
no05,26.358798205906655,12096413.283333337,88567.46760555556,18
no06,26.387905158910982,12086711.11888889,88592.95753888889,18
no07,26.000990396567662,12268748.199444445,88608.77757777779,18
no08,26.083984036284157,12229163.920555556,88603.6533,18
