scenario,slot_code,link_id,V_link_kmh_mean,V_link_kmh_std,TTT_sec_mean,TTT_sec_std,flow_veh_mean,flow_veh_std,n_runs,hhmm
no01,0630,533967_00280_11490_0,52.234724456509454,0.2015521454266462,1127.621,10.780189872363566,139.6,1.1876558069531262,20,06:30
no01,0630,533967_00280_11490_1,49.56750570900859,0.2524315582148934,618.0835,25.002356999417387,72.55,2.9285347512832556,20,06:30
no01,0630,533967_00280_13214_0,45.44992794778967,0.021586226855962024,764.6335,38.25080560211153,69.5,3.4868172789582923,20,06:30
no01,0630,533967_00280_13214_1,50.409669115279385,0.20445215028933295,1599.5145,16.86025987032042,140.95,1.2343760409722455,20,06:30
no01,0630,533967_00285_11494_0,50.39476943612684,1.368308488916946,78.451,10.898842478374533,17.8,2.307881233831949,20,06:30
no01,0630,533967_00285_11494_1,44.28,0.0,201.0,3.4792618696922912,40.2,0.6958523739384582,20,06:30
no01,0630,533967_00285_11497_0,51.98531823862055,0.31519010825797583,400.21799999999996,11.711264303180403,39.8,1.1050125029061646,20,06:30
no01,0630,533967_00285_11497_1,49.287499144942316,0.5534551586460855,189.147,23.535983671145367,17.85,2.2542357790099103,20,06:30
no01,0630,533967_00319_00539_0,30.03180673409159,2.6429482023104707,1066.2065,107.62702396287499,60.55,2.7620549177054854,20,06:30
no01,0630,533967_00319_00539_1,25.954980844677358,0.9508154654673389,1958.1895,117.92477225020684,96.8,3.7640963128793037,20,06:30
no01,0630,533967_00319_01435_0,,,,,0.0,0.0,20,06:30
no01,0630,533967_00319_01435_1,,,,,0.0,0.0,20,06:30
no01,0630,533967_00319_11518_0,29.972194533014992,0.034705991709564614,2816.0435,110.53826459528301,96.8,3.7640963128793037,20,06:30
no01,0630,533967_00319_11518_1,34.03035729413945,2.6286058195043918,1598.4685,150.433898170207,61.8,1.9894458366193593,20,06:30
no01,0630,533967_00319_87770_0,,,,,0.0,0.0,20,06:30
no01,0630,533967_00319_87770_1,,,,,0.0,0.0,20,06:30
no01,0630,533967_00532_00534_0,30.75430757303145,1.9148578452888545,3959.425,280.1159698467009,124.6,2.8172401575412658,20,06:30
no01,0630,533967_00532_00534_1,26.36394949986188,1.1489405013972052,2635.2515,183.27963479124065,71.15,3.4834193727307383,20,06:30
no01,0630,533967_00532_01530_0,47.339713469836525,0.45650014370342457,460.7575,31.993139540088567,41.55,2.8186409565791224,20,06:30
no01,0630,533967_00532_01530_1,15.8394000398573,4.149882418303092,588.596,128.72076838931952,17.05,2.5848750351551666,20,06:30
no01,0630,533967_00532_11490_0,48.21916045470242,0.1995016594915923,1568.525,53.9304952791334,73.95,2.564432839727663,20,06:30
no01,0630,533967_00532_11490_1,24.796778467266194,1.4569773290239516,5622.8155,343.184403008292,136.35,1.460893742308384,20,06:30
no01,0630,533967_00532_11497_0,45.57148283134215,1.1052377558095174,125.797,15.731598473337534,17.85,2.2542357790099103,20,06:30
no01,0630,533967_00532_11497_1,8.597423127365627,0.8890207509225868,1413.5815,169.55143713479308,37.1,1.7441631985447625,20,06:30
no01,0630,533967_00533_11502_0,32.99834449411901,0.8727295539436717,10.89421052631579,3.9414285562886318,1.7,0.7326950970650465,20,06:30
no01,0630,533967_00533_11502_1,45.21070471326963,0.5561646664753236,366.951,5.34327999010268,60.55,0.6863327411532592,20,06:30
no01,0630,533967_00533_11503_0,30.461878628144284,0.029001778522489696,1175.3995,31.34343538672986,53.3,1.417930292993797,20,06:30
no01,0630,533967_00533_11503_1,31.91478896103896,0.36370129870129814,28.9375,10.452870419171951,1.1,0.7181848464596078,20,06:30
no01,0630,533967_00533_11505_0,30.256207716002603,0.14270657376587748,174.04149999999998,34.11395304517525,6.65,1.3088765773505318,20,06:30
no01,0630,533967_00533_11505_1,30.347189485689334,0.2709909045473137,41.999,18.09699041568136,1.6,0.6805570473787205,20,06:30
no01,0630,533967_00534_00766_0,30.221754387078647,2.1332255729195717,5798.58,623.2398253185991,117.95,5.124502543251343,20,06:30
no01,0630,533967_00534_00766_1,32.532113452227364,2.741194344844695,1463.219,204.86126519646098,32.05,3.605186322654161,20,06:30
no01,0630,533967_00534_11504_0,30.86178151260505,0.9799667400093807,15.470588235294118,6.195942695212161,1.3,0.8013147091860318,20,06:30
no01,0630,533967_00534_11504_1,7.997012668392159,0.6016413082066218,1826.9080000000001,167.7407762810475,46.3,2.677390717215472,20,06:30
no01,0630,533967_00535_00538_0,16.679834275829887,0.9057549160428754,2070.0015,173.24104549730708,59.05,4.13553280472388,20,06:30
