link_id,TTT_mean,TTT_std,V_mean
I_11_533967_13845533967_01485,463938.62549999997,2731.374517754119,30.82697733551699
533967_00535_00609_1,446773.44800000003,9535.196375741485,17.53085376479903
533967_00538_00539_1,309564.513,16843.101920071527,15.437596994631196
533967_00538_11513_1,300835.9215,11206.600490152536,11.46156002372055
533967_00766_11513_1,296890.621,7766.113505691453,22.11758913738231
533967_00939_01421_1,283918.257,4766.883516650765,15.492328166624295
533967_00535_00609_0,280332.5185,452.6668791817513,29.917803526502773
I_11_533967_00939533967_01485,263959.5025,5359.176392519238,21.060883146532255
I_11_533967_01405533967_00937,246066.038,3374.1174482593824,8.883428058544347
533967_00532_11490_1,215779.32549999998,1894.8530120565379,26.129978026004107
533967_00532_00534_0,214175.24449999997,3263.555738658571,26.46680070987886
533967_00532_00534_1,213891.127,3532.451839387274,25.690600030746726
533967_00535_11512_1,193558.2365,1707.3499553409977,13.763719247734826
533967_00538_00539_0,189155.9785,1798.3682841815921,23.321420348155577
I_11_533967_00937533967_01657,184026.91499999998,2674.8459586704803,20.258469167910896
I_11_533967_01485533967_14155,180676.25149999998,199.0948635377218,48.50562738939253
I_11_533967_13718533967_00977,175810.576,6013.9018057282165,12.416337682207274
533967_00319_11518_1,173022.1435,15492.272840569085,23.298369884398873
I_11_533967_00978533967_00977,164706.86099999998,3364.2765682041354,23.608632966168013
533967_00534_00766_0,159063.103,1821.5845188738947,32.68920472841008
533967_00534_00766_1,156756.1575,3223.847493589766,29.956903218965103
I_11_533967_01485533967_00940,156045.499,2067.924925489821,24.207018614904655
I_11_533967_01485533967_01405,152609.12550000002,11400.91978790607,20.595330291159662
533967_00766_11513_0,150965.251,9476.075794471435,34.00211979843795
533967_00535_00538_0,146718.34,1099.9229624602674,14.348752022759973
I_11_0129024146232,145865.0915,399.52570909009626,29.963108888729618
533967_00319_00539_0,143157.687,13820.880697866325,16.91847688110714
533967_00938_00939_0,143068.979,4823.271786596509,12.287737109897098
533967_01420_01654_0,137141.7435,4920.019861564815,14.2448513186161
533967_00535_14018_1,135083.1635,3559.038103422523,10.565421575666303
I_11_533967_00977533967_01421,134428.777,7619.120559525915,33.01008181403596
533967_00532_01530_1,132248.33500000002,3094.3777585783246,9.641280776976938
533967_00534_11504_1,127293.74750000001,1974.1556373078765,7.252531036345806
533967_00693_01661_0,125130.99250000001,1203.1195589049896,26.054173728445694
533967_00532_11490_0,121855.10900000001,117.20739939368494,48.11262174448827
533967_13844_14155_1,120210.5575,72.85284836211689,47.983498965080074
533967_01420_01654_1,119914.674,1738.7412375363601,21.71423902377596
I_11_533967_14021533967_01485,118549.67,4072.8296251597517,9.55518485176481
I_11_533967_01555533967_00977,116856.2595,2287.3468510147545,21.500761423732314
I_11_533967_-00001533967_00539,115766.08249999999,2859.123023617145,4.435201734000322
533967_00319_11518_0,111562.71699999999,105.41808988374106,29.94826952785187
533967_00695_11518_1,106153.62700000001,97.66065285898038,28.86998403299276
533967_00535_00538_1,104015.438,2206.5095202475704,17.07152722129249
533967_00940_13718_0,100613.871,8986.56727239571,35.902015813299144
533967_00538_11513_0,98361.9965,2034.5588056052948,44.96755794246692
533967_01661_13315_1,98120.6235,2227.4006826869872,5.508923092056197
533967_00766_14156_0,97737.60800000001,1362.1650294199806,47.90192437928714
I_11_533967_01418533967_00977,96754.227,4584.985040002111,24.861853738320253
I_11_533967_01268533967_00937,92960.4865,1193.1393559287449,17.05436573423399
533967_01654_01658_1,89414.7105,2292.7743186469775,23.631995059208478
533967_01654_01655_0,88999.86750000001,127.6166871152147,44.69279435354753
533967_00695_11518_0,87205.15699999999,5829.81871158335,46.11394900230891
533967_00319_00539_1,83303.549,435.78714521631997,24.112156915821608
533967_01419_01420_0,81865.112,1278.860277959703,14.24417903153313
533967_00766_14156_1,81739.004,2091.7191463316753,29.812689189943097
533967_11501_11504_0,80307.399,4224.180205119719,23.54243734126239
533967_01418_01420_1,78851.04699999999,1479.0160588505767,19.07792599279666
I_11_533967_01644533967_01485,77158.836,3556.8742774082425,13.178575589363447
I_11_533967_00977533967_00978,75980.057,142.23442632721301,39.39271030672863
