slot_code,HHMM,bus_mean,bus_std,nonbus_mean,nonbus_std,n_runs
0700,07:00,275.45,11.883092810242715,8639.1,140.86084959053895,20
0715,07:15,352.15,21.844606705209028,10215.5,121.03218362767886,20
0730,07:30,323.75,20.203894882449095,11046.2,117.21846450560857,20
0745,07:45,418.75,22.566568192793508,11253.75,158.49452090812107,20
0800,08:00,460.2,41.00654633232679,11865.3,143.86364157917382,20
0815,08:15,427.6,33.634881643286555,11716.5,90.11191871632083,20
0830,08:30,396.7,22.11715219128881,12451.6,159.00526307078783,20
0845,08:45,305.25,19.63582922806379,11422.1,137.3048471563609,20
0900,09:00,409.65,17.717891641234466,10093.4,116.66073167861357,20
0915,09:15,232.35,20.878785506119037,9678.7,94.3789115606258,20
0930,09:30,344.75,13.37662926623579,10048.0,119.82794683255341,20
0945,09:45,222.55,27.761152334645054,9722.6,103.41709112541366,20
1000,10:00,312.3,14.793668631510833,10388.8,114.93274921494461,20
1015,10:15,201.25,13.779752499496078,9536.8,116.65450563184652,20
1030,10:30,320.15,16.200308639035253,9018.95,116.27801303681389,20
1045,10:45,294.2,21.446628983055636,8833.4,60.496541875939876,20
1100,11:00,205.7,17.30865314471957,9687.8,95.67906882137987,20
1115,11:15,226.4,15.537391232629417,10168.3,157.47150118104068,20
1130,11:30,247.2,19.15477128962637,9036.25,98.54086782436498,20
1145,11:45,249.25,23.648467180770933,9124.25,133.88206711407187,20
1200,12:00,224.65,15.263561700647514,9565.8,114.59797003805134,20
1215,12:15,241.6,17.916179103933146,9701.85,111.67022644234322,20
1230,12:30,276.85,21.109426679491847,9427.1,137.2043807801455,20
1245,12:45,309.1,17.740527494679345,9165.2,122.7644728310015,20
1300,13:00,275.2,17.67424531255638,9410.45,112.05096349899301,20
1315,13:15,240.7,16.799436080761133,8897.6,142.6151981271359,20
1330,13:30,262.4,17.336909212793138,8923.9,137.14260729927136,20
1345,13:45,209.6,22.354559172336046,7967.8,103.68758744166865,20
1400,14:00,310.75,23.594992778352918,8819.3,139.55685504293118,20
1415,14:15,224.45,21.107431966265494,9130.85,170.44532230230584,20
1430,14:30,288.2,16.678381847548394,9226.85,126.10074293366021,20
1445,14:45,355.55,20.257487244811095,9007.6,154.1057053488048,20
1500,15:00,259.9,20.598671393026656,9156.8,137.55251628684275,20
1515,15:15,346.45,30.14259968532034,9246.25,153.59066412143434,20
1530,15:30,280.8,25.26616210207678,8888.25,123.8377015120578,20
1545,15:45,264.6,21.77009053966619,8677.75,114.98277903096734,20
1600,16:00,283.1,19.490618526006706,10286.55,96.18921867586648,20
1615,16:15,266.8,18.21104349737152,10332.6,168.15951074093778,20
1630,16:30,240.25,14.403490074137917,9865.9,138.8251076942344,20
1645,16:45,211.35,19.529397543730134,10266.2,164.470954082604,20
1700,17:00,365.3,21.054065740624214,10719.0,155.9436470415886,20
1715,17:15,295.9,21.420354314235055,10819.75,196.0351405125867,20
1730,17:30,286.25,22.456683450121208,10304.1,102.49102656484506,20
1745,17:45,265.05,25.64427708804483,10737.3,139.90564489570897,20
1800,18:00,330.9,30.726124663584006,10881.0,107.05581426723641,20
1815,18:15,294.5,24.468024246479647,9999.2,128.28611115701304,20
1830,18:30,239.1,20.08115115173797,9237.2,119.8088828971066,20
