route_id,pattern_group,pattern_id,design_speed_kmh,n_speed_points,d_min_over_speed,d_max_over_speed,d_range_over_speed,d_relative_range,TTT_min_over_speed,TTT_max_over_speed,TTT_range_over_speed,TTT_relative_range,FTT_min_over_speed,FTT_max_over_speed,V_d_opt_min_kmh,V_d_opt_max_kmh,V_TTT_opt_min_kmh,V_TTT_opt_max_kmh,V_d_opt_repr_kmh,V_TTT_opt_repr_kmh,delta_V_opt_kmh,optbased_5pct_exists,optbased_5pct_start_speed,optbased_5pct_end_speed,optbased_5pct_width_kmh,optbased_5pct_n_points,optbased_5pct_min_ttt,optbased_5pct_max_ttt_in_interval,optbased_5pct_relative_range,rangebased_5pct_exists,rangebased_5pct_start_speed,rangebased_5pct_end_speed,rangebased_5pct_width_kmh,rangebased_5pct_n_points,rangebased_5pct_min_ttt_in_interval,rangebased_5pct_max_ttt_in_interval,rangebased_5pct_relative_range,optbased_10pct_exists,optbased_10pct_start_speed,optbased_10pct_end_speed,optbased_10pct_width_kmh,optbased_10pct_n_points,optbased_10pct_min_ttt,optbased_10pct_max_ttt_in_interval,optbased_10pct_relative_range,rangebased_10pct_exists,rangebased_10pct_start_speed,rangebased_10pct_end_speed,rangebased_10pct_width_kmh,rangebased_10pct_n_points,rangebased_10pct_min_ttt_in_interval,rangebased_10pct_max_ttt_in_interval,rangebased_10pct_relative_range
D10_333,basic,333,10.0,13,24.799999237060547,37.09090805053711,12.290908813476562,0.49560117708025214,55.1999999999996,102.00000143051147,46.80000143051188,0.8478261128715981,27.599999999999994,69.0,37.5,37.5,50.0,50.0,37.5,50.0,12.5,False,,,0.0,0,55.1999999999996,,,True,37.5,45.0,7.5,4,60.0,61.59999999999988,0.026666666666664677,True,40.0,50.0,10.0,5,55.1999999999996,60.0,0.08695652173913836,True,37.5,47.5,10.0,5,58.105263157894335,61.59999999999988,0.06014492753623717
D10_334,basic,334,10.0,13,22.799999237060547,33.0,10.200000762939453,0.4473684694848469,45.59999999999984,90.0,44.40000000000016,0.9736842105263228,22.8,57.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,False,,,0.0,0,45.59999999999984,,,True,32.5,37.5,5.0,3,60.0,60.0,0.0,True,47.5,50.0,2.5,2,45.59999999999984,47.9999999999996,0.052631578947363436,True,32.5,40.0,7.5,4,57.0,60.0,0.05263157894736842
D10_H01,hce,H01,10.0,13,24.0,44.0,20.0,0.8333333333333334,60.0,132.0,72.0,1.2,35.99999999999999,90.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,False,,,0.0,0,60.0,,,True,37.5,40.0,2.5,2,78.0,80.0,0.02564102564102564,True,47.5,50.0,2.5,2,60.0,63.78947368421048,0.06315789473684129,True,32.5,40.0,7.5,4,78.0,84.9230769230769,0.08875739644970392
D10_H02,hce,H02,10.0,13,24.705883026123047,42.0,17.294116973876953,0.6999999536786773,60.0,120.0,60.0,1.0,31.2,78.0,42.5,42.5,45.0,50.0,42.5,47.5,5.0,True,42.5,50.0,7.5,4,60.0,61.41176470588208,0.0235294117647013,True,42.5,50.0,7.5,4,60.0,61.41176470588208,0.0235294117647013,True,40.0,50.0,10.0,5,60.0,66.0,0.1,True,40.0,50.0,10.0,5,60.0,66.0,0.1
D10_H03,hce,H03,10.0,13,26.26285743713379,54.0,27.73714256286621,1.0561357471958817,69.59999999999991,156.0,86.40000000000009,1.2413793103448305,40.8,102.0,35.0,35.0,50.0,50.0,35.0,50.0,15.0,False,,,0.0,0,69.59999999999991,,,True,40.0,45.0,5.0,3,76.42666666666665,79.98,0.0464933705512913,True,45.0,50.0,5.0,3,69.59999999999991,76.42666666666665,0.09808429118774063,True,37.5,45.0,7.5,4,76.42666666666665,82.1120000000001,0.07438939288206708
D10_H04,hce,H04,10.0,13,24.81599998474121,45.33333206176758,20.517332077026367,0.8267783724065927,61.631999999999564,136.08000309944146,74.44800309944189,1.207943975523144,36.816,92.04,50.0,50.0,50.0,50.0,50.0,50.0,0.0,False,,,0.0,0,61.631999999999564,,,True,37.5,42.5,5.0,3,74.37176470588219,77.88799999999998,0.047279169830424725,True,47.5,50.0,2.5,2,61.631999999999564,65.50736842105265,0.06287916051812548,True,35.0,42.5,7.5,4,74.37176470588219,80.02285714285702,0.07598438008460866
D10_H05,hce,H05,10.0,13,24.81599998474121,42.41999816894531,17.6039981842041,0.7093809717532397,60.0,130.38000152587892,70.38000152587892,1.1730000254313153,35.184,87.96000000000001,50.0,50.0,50.0,50.0,50.0,50.0,0.0,True,47.5,50.0,2.5,2,60.0,62.07157894736835,0.034526315789472524,True,32.5,35.0,2.5,2,84.5485714285714,87.35999999999984,0.03325223033252071,True,47.5,50.0,2.5,2,60.0,62.07157894736835,0.034526315789472524,True,32.5,37.5,5.0,3,81.82400000000004,87.35999999999984,0.06765741102854664
D10_H06,hce,H06,10.0,13,24.0,42.0,18.0,0.75,59.99999999999988,132.0,72.00000000000011,1.2000000000000044,35.99999999999999,90.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,False,,,0.0,0,59.99999999999988,,,True,37.5,40.0,2.5,2,76.02,77.88800019073484,0.02457248343508086,True,47.5,50.0,2.5,2,59.99999999999988,63.78947368421036,0.06315789473684143,True,32.5,40.0,7.5,4,76.02,82.48615384615384,0.08505858782101874
D10_H07,hce,H07,10.0,13,24.0,43.52000045776367,19.520000457763672,0.8133333524068197,60.0,132.00000190734863,72.00000190734863,1.200000031789144,36.0,90.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,False,,,0.0,0,60.0,,,True,35.0,37.5,2.5,2,82.1120000000001,84.54857142857145,0.029673755706490553,True,47.5,50.0,2.5,2,60.0,63.78947368421036,0.06315789473683928,True,32.5,37.5,5.0,3,82.1120000000001,87.35999999999977,0.06391270459859304
D30_311,basic,311,30.0,13,25.263158798217773,52.79999923706055,27.536840438842773,1.0899998950560925,84.00000152587894,180.0,95.99999847412106,1.1428571039316604,57.6,144.0,47.5,47.5,50.0,50.0,47.5,50.0,2.5,True,47.5,50.0,2.5,2,84.00000152587894,85.894736842105,0.02255637240247342,True,47.5,50.0,2.5,2,84.00000152587894,85.894736842105,0.02255637240247342,True,45.0,50.0,5.0,3,84.00000152587894,92.0,0.0952380753428486,True,20.0,25.0,5.0,3,168.0,180.0,0.07142857142857142
