case_index,route_id,pattern_group,pattern_id,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,d_min_s_per_veh,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,TTT_ratio_to_route_min,TTT_excess_pct_from_route_min
10,D10_311,basic,311,10.0,45.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,21.33333396911621,0.0,0.0,0.0,16823,16823,17465,20285,21.33333333333333,42.66666666666642,450.5858173370361,BuiltPC01,results\full_delay\case_0010__D10_311__v45p0_delays.npy,results\optima\case_0010__D10_311__v45p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1111111111111047,11.111111111110471
11,D10_311,basic,311,10.0,47.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,20.210525512695312,0.0,0.0,0.0,15763,15763,16163,19017,20.21052631578947,40.42105263157856,468.07275009155273,BuiltPC01,results\full_delay\case_0011__D10_311__v47p5_delays.npy,results\optima\case_0011__D10_311__v47p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0526315789473584,5.263157894735837
12,D10_311,basic,311,10.0,50.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,19.200000762939453,0.0,0.0,0.0,15763,15763,15763,15763,19.2,38.4,447.4079885482788,BuiltPC01,results\full_delay\case_0012__D10_311__v50p0_delays.npy,results\optima\case_0012__D10_311__v50p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0,0.0
13,D10_312,basic,312,10.0,20.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,30.0,0.0,27.600000381469727,51.59999847412109,550,550,550,1034,60.0,90.0,461.2344353199005,BuiltPC01,results\full_delay\case_0013__D10_312__v20p0_delays.npy,results\optima\case_0013__D10_312__v20p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.875,87.5
14,D10_312,basic,312,10.0,22.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,32.0,0.0,4.800000190734863,46.79999923706055,3746,3746,3872,4702,53.33333333333333,85.33333333333321,473.3842661380768,BuiltPC01,results\full_delay\case_0014__D10_312__v22p5_delays.npy,results\optima\case_0014__D10_312__v22p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.7777777777777752,77.77777777777753
15,D10_312,basic,312,10.0,25.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,33.599998474121094,0.0,2.400000095367432,43.20000076293945,9870,9870,9870,9870,47.99999999999999,81.59999999999984,474.7506847381592,BuiltPC01,results\full_delay\case_0015__D10_312__v25p0_delays.npy,results\optima\case_0015__D10_312__v25p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.6999999999999966,69.99999999999966
16,D10_312,basic,312,10.0,27.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,31.636363983154297,0.0,0.0,28.799999237060547,10452,10452,12532,14380,43.63636363636363,75.27272727272728,460.512629032135,BuiltPC01,results\full_delay\case_0016__D10_312__v27p5_delays.npy,results\optima\case_0016__D10_312__v27p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5681818181818183,56.818181818181834
17,D10_312,basic,312,10.0,30.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,28.0,0.0,0.0,32.400001525878906,4172,4172,5124,6476,39.99999999999999,68.0,478.935268163681,BuiltPC01,results\full_delay\case_0017__D10_312__v30p0_delays.npy,results\optima\case_0017__D10_312__v30p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.4166666666666667,41.66666666666667
18,D10_312,basic,312,10.0,32.5,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,24.923076629638672,0.0,0.0,36.0,460,460,1506,1582,36.92307692307692,61.84615384615383,452.3453986644745,BuiltPC01,results\full_delay\case_0018__D10_312__v32p5_delays.npy,results\optima\case_0018__D10_312__v32p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.288461538461538,28.84615384615381
19,D10_312,basic,312,10.0,35.0,120.0,1.2,100,1000000,0.35,0.3,0.35,116.66666666666666,100.0,116.66666666666666,25.714284896850582,0.0,0.0,34.79999923706055,1580,1580,1580,2900,34.285714285714285,60.0,460.0832180976868,BuiltPC01,results\full_delay\case_0019__D10_312__v35p0_delays.npy,results\optima\case_0019__D10_312__v35p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
