route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D10_311,0.1,20.0,22.5,2.5,2,0.06363636363636412,73.3333333333333,78.0
D10_311,0.1,25.0,32.5,7.5,4,0.09687502582867859,59.07692307692309,64.80000152587887
D10_311,0.1,27.5,35.0,7.5,4,0.09375000000000049,54.85714285714283,60.0
D10_311,0.1,35.0,37.5,2.5,2,0.0714285714285709,51.2,54.85714285714283
D10_311,0.1,37.5,40.0,2.5,2,0.06666666666666672,48.0,51.2
D10_311,0.1,40.0,42.5,2.5,2,0.06250000000000812,45.17647058823495,48.0
D10_311,0.1,42.5,45.0,2.5,2,0.058823529411762665,42.66666666666642,45.17647058823495
D10_311,0.1,45.0,47.5,2.5,2,0.0555555555555596,40.42105263157856,42.66666666666642
D10_311,0.1,47.5,50.0,2.5,2,0.05263157894735841,38.4,40.42105263157856
D10_312,0.1,20.0,22.5,2.5,2,0.054687500000001464,85.33333333333321,90.0
D10_312,0.1,22.5,25.0,2.5,2,0.045751633986928726,81.59999999999984,85.33333333333321
D10_312,0.1,25.0,27.5,2.5,2,0.08405797101449049,75.27272727272728,81.59999999999984
D10_312,0.1,30.0,32.5,2.5,2,0.0995024875621893,61.84615384615383,68.0
D10_312,0.1,32.5,42.5,10.0,5,0.09519230769230638,56.47058823529417,61.84615384615383
D10_312,0.1,42.5,45.0,2.5,2,0.05882352941176569,53.333333333333336,56.47058823529417
D10_312,0.1,45.0,47.5,2.5,2,0.055555555555556774,50.52631578947363,53.333333333333336
D10_312,0.1,47.5,50.0,2.5,2,0.05263157894736725,48.0,50.52631578947363
D10_313,0.1,22.5,27.5,5.0,3,0.09999999999999991,87.27272727272728,96.0
D10_313,0.1,25.0,30.0,5.0,3,0.08571428571428626,84.0,91.20000000000005
D10_313,0.1,30.0,32.5,2.5,2,0.09638554216867494,76.6153846153846,84.0
D10_313,0.1,32.5,35.0,2.5,2,0.09005628517823606,70.28571428571429,76.6153846153846
D10_313,0.1,35.0,37.5,2.5,2,0.08465605911513094,64.80000152587891,70.28571428571429
D10_313,0.1,37.5,47.5,10.0,5,0.0800000254313152,60.0,64.80000152587891
D10_313,0.1,40.0,50.0,10.0,5,0.0416666666666696,57.59999999999984,60.0
D10_314,0.1,20.0,22.5,2.5,2,0.08870967741935534,82.66666666666663,90.0
D10_314,0.1,25.0,30.0,5.0,3,0.058823529411764705,68.0,72.0
D10_314,0.1,30.0,32.5,2.5,2,0.0995024875621893,61.84615384615383,68.0
D10_314,0.1,32.5,42.5,10.0,5,0.09519230769230638,56.47058823529417,61.84615384615383
D10_314,0.1,42.5,45.0,2.5,2,0.05882352941176569,53.333333333333336,56.47058823529417
D10_314,0.1,45.0,47.5,2.5,2,0.05555555555556019,50.526315789473465,53.333333333333336
D10_314,0.1,47.5,50.0,2.5,2,0.052631578947363845,48.0,50.526315789473465
D10_321,0.1,22.5,30.0,7.5,4,0.098039215686275,68.0,74.6666666666667
D10_321,0.1,30.0,32.5,2.5,2,0.09950248756218867,61.84615384615387,68.0
D10_321,0.1,32.5,42.5,10.0,5,0.09519230769231486,56.47058823529377,61.84615384615387
D10_321,0.1,42.5,45.0,2.5,2,0.0588235294117581,53.333333333333336,56.47058823529377
D10_321,0.1,45.0,47.5,2.5,2,0.05555555555556019,50.526315789473465,53.333333333333336
D10_321,0.1,47.5,50.0,2.5,2,0.052631578947363845,48.0,50.526315789473465
D10_322,0.1,25.0,30.0,5.0,3,0.07368422056498913,76.0,81.60000076293917
D10_322,0.1,27.5,32.5,5.0,3,0.06363636363636375,73.84615384615383,78.54545454545453
D10_322,0.1,30.0,35.0,5.0,3,0.08130081300813065,70.28571428571425,76.0
D10_322,0.1,35.0,37.5,2.5,2,0.08465605911513027,64.80000152587891,70.28571428571425
D10_322,0.1,37.5,47.5,10.0,5,0.0800000254313152,60.0,64.80000152587891
D10_322,0.1,40.0,50.0,10.0,5,0.0416666666666696,57.59999999999984,60.0
D10_323,0.1,27.5,32.5,5.0,3,0.07438016528925544,81.23076923076927,87.27272727272725
D10_323,0.1,30.0,37.5,7.5,4,0.09375002483526972,76.79999999999993,84.00000190734863
D10_323,0.1,35.0,40.0,5.0,3,0.0952380952380949,72.0,78.85714285714283
D10_323,0.1,40.0,42.5,2.5,2,0.07368421052631642,67.05882352941173,72.0
