pattern_group,design_speed_kmh,n_routes,mean_best_delay,median_best_delay,mean_min_TTT,mean_delay_range,mean_TTT_relative_range,mean_5pct_width,median_5pct_width,mean_10pct_width,median_10pct_width,routes_with_5pct_interval,routes_with_10pct_interval
basic,10.0,12,22.597075939178467,23.399999618530273,49.7999999999999,11.788277308146158,0.9356759339123962,2.9166666666666665,0.0,5.208333333333333,2.5,4,12
basic,30.0,12,14.947865585486094,13.5,111.00000105698903,31.34866100549698,0.9329423931878259,2.2916666666666665,2.5,5.625,5.0,8,12
basic,50.0,12,4.54248966773351,3.886639714241028,160.0,40.70944152275721,1.1198537573537573,2.7083333333333335,2.5,6.875,6.25,7,12
hce,10.0,7,24.657248633248464,24.705883026123047,61.60457142857133,20.096084322248185,1.1746176204412055,1.4285714285714286,0.0,3.9285714285714284,2.5,2,7
hce,30.0,7,2.9289795330592403,4.079999923706055,153.2571435383388,44.11132165363858,1.0129065165148936,2.857142857142857,2.5,8.214285714285714,7.5,7,7
hce,50.0,7,3.228357519422222,3.529411792755127,188.02285714285705,40.996070384979284,1.5758215692291964,1.0714285714285714,0.0,2.142857142857143,0.0,1,3
