scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no03,533967_00280_11490_0,630,06:30,1127.621,1127.9705,0.3494999999998072
no03,533967_00280_11490_0,645,06:45,940.0355,940.2125,0.17700000000002092
no03,533967_00280_11490_0,700,07:00,1012.581,1012.7685,0.1875
no03,533967_00280_11490_0,715,07:15,1090.9245,1091.131,0.20650000000000546
no03,533967_00280_11490_0,730,07:30,969.839,969.96,0.1209999999999809
no03,533967_00280_11490_0,745,07:45,1244.181,1244.2585,0.07749999999987267
no03,533967_00280_11490_0,800,08:00,973.8745,973.8155,-0.05899999999996908
no03,533967_00280_11490_0,815,08:15,1148.3635,1148.7225,0.359000000000151
no03,533967_00280_11490_0,830,08:30,1074.2515,1074.1075,-0.14400000000000546
no03,533967_00280_11490_0,845,08:45,1302.2365,1297.657,-4.579500000000053
no03,533967_00280_11490_0,900,09:00,819.174,816.968,-2.2060000000000173
no03,533967_00280_11490_0,915,09:15,1066.9435,1067.404,0.46049999999991087
no03,533967_00280_11490_0,930,09:30,1253.9555,1254.4025,0.44699999999988904
no03,533967_00280_11490_0,945,09:45,898.9055000000001,899.018,0.11249999999995453
no03,533967_00280_11490_0,1000,10:00,754.9905,755.083,0.09249999999997272
no03,533967_00280_11490_0,1015,10:15,735.5135,735.5135,0.0
no03,533967_00280_11490_0,1030,10:30,731.9285,731.9285,0.0
no03,533967_00280_11490_0,1045,10:45,783.6195,783.672,0.052500000000009095
no03,533967_00280_11490_0,1100,11:00,853.9675,854.128,0.16050000000007003
no03,533967_00280_11490_0,1115,11:15,849.458,849.458,0.0
no03,533967_00280_11490_0,1130,11:30,893.6360000000001,893.6360000000001,0.0
no03,533967_00280_11490_0,1145,11:45,813.6115,813.8675,0.2559999999999718
no03,533967_00280_11490_0,1200,12:00,733.121,733.121,0.0
no03,533967_00280_11490_0,1215,12:15,797.3575,797.454,0.09649999999999181
no03,533967_00280_11490_0,1230,12:30,889.6015,889.7115,0.11000000000001364
no03,533967_00280_11490_0,1245,12:45,865.025,865.2385,0.2135000000000673
no03,533967_00280_11490_0,1300,13:00,948.2865,948.465,0.17849999999998545
no03,533967_00280_11490_0,1315,13:15,873.5440000000001,873.597,0.052999999999883585
no03,533967_00280_11490_0,1330,13:30,963.2245,963.4635,0.23899999999991905
no03,533967_00280_11490_0,1345,13:45,870.106,870.2695,0.1634999999999991
no03,533967_00280_11490_0,1400,14:00,1037.4625,1037.655,0.19249999999988177
no03,533967_00280_11490_0,1415,14:15,1213.201,1213.275,0.07400000000006912
no03,533967_00280_11490_0,1430,14:30,778.4219999999999,778.52,0.09800000000007003
no03,533967_00280_11490_0,1445,14:45,926.123,926.833,0.7099999999999227
no03,533967_00280_11490_0,1500,15:00,677.4404999999999,677.4825,0.04200000000003001
no03,533967_00280_11490_0,1515,15:15,928.7965,928.7345,-0.06200000000001182
no03,533967_00280_11490_0,1530,15:30,903.33,903.215,-0.1150000000000091
no03,533967_00280_11490_0,1545,15:45,794.3435,794.3929999999999,0.04949999999996635
no03,533967_00280_11490_0,1600,16:00,815.962,816.0125,0.05050000000005639
no03,533967_00280_11490_0,1615,16:15,852.741,852.7955,0.0544999999999618
no03,533967_00280_11490_0,1630,16:30,571.6175000000001,571.6175000000001,0.0
no03,533967_00280_11490_0,1645,16:45,898.6545,898.8225,0.16800000000000637
no03,533967_00280_11490_0,1700,17:00,705.4395000000001,705.4395000000001,0.0
no03,533967_00280_11490_0,1715,17:15,944.119,944.177,0.057999999999992724
no03,533967_00280_11490_0,1730,17:30,831.6469999999999,831.6469999999999,0.0
no03,533967_00280_11490_0,1745,17:45,902.273,902.273,0.0
no03,533967_00280_11490_0,1800,18:00,589.002,589.0385,0.036500000000046384
no03,533967_00280_11490_0,1815,18:15,747.6205,747.6205,0.0
no03,533967_00280_11490_0,1830,18:30,518.3235,518.3235,0.0
no03,533967_00280_11490_0,1845,18:45,673.971,674.2194999999999,0.24849999999992178
no03,533967_00280_11490_1,630,06:30,618.0835,617.83,-0.25349999999991724
no03,533967_00280_11490_1,645,06:45,557.453,556.2900000000001,-1.1629999999998972
no03,533967_00280_11490_1,700,07:00,674.5285,672.4925000000001,-2.0359999999999445
no03,533967_00280_11490_1,715,07:15,972.172,975.4865,3.3144999999999527
no03,533967_00280_11490_1,730,07:30,1020.2525,1020.2035,-0.04900000000009186
no03,533967_00280_11490_1,745,07:45,1225.6115,1224.0525,-1.558999999999969
