scenario,link_id,slot_code,HHMM,V_scen,TTT_scen,flow_scen,V_base,TTT_base,flow_base,V_diff,TTT_diff,flow_diff
no02,533967_00280_11490_0,630,06:30,52.234724456509454,1127.621,139.6,52.234724456509454,1127.621,139.6,0.0,0.0,0.0
no02,533967_00280_11490_0,645,06:45,52.53664043512322,940.0355,117.05,52.53664043512322,940.0355,117.05,0.0,0.0,0.0
no02,533967_00280_11490_0,700,07:00,52.27631852283254,1012.581,125.45,52.27631852283254,1012.581,125.45,0.0,0.0,0.0
no02,533967_00280_11490_0,715,07:15,52.3640467326925,1092.2,135.55,52.36759490560877,1090.9245,135.4,-0.0035481729162682996,1.2754999999999654,0.15000000000000568
no02,533967_00280_11490_0,730,07:30,52.5531571775428,966.64,120.4,52.510604711046525,969.839,120.7,0.04255246649627509,-3.199000000000069,-0.29999999999999716
no02,533967_00280_11490_0,745,07:45,52.31894333441196,1246.8125,154.6,52.36115628546777,1244.181,154.4,-0.042212951055809356,2.63149999999996,0.19999999999998863
no02,533967_00280_11490_0,800,08:00,52.19560410341175,976.595,120.8,52.29283599987849,973.8745,120.7,-0.09723189646673802,2.7205000000000155,0.09999999999999432
no02,533967_00280_11490_0,815,08:15,52.4390798851456,1146.161,142.45,52.393236998914105,1148.3635,142.6,0.04584288623149746,-2.2024999999998727,-0.15000000000000568
no02,533967_00280_11490_0,830,08:30,52.258078362601,1074.3005,133.05,52.32080598261422,1074.2515,133.2,-0.06272762001322008,0.04899999999997817,-0.14999999999997726
no02,533967_00280_11490_0,845,08:45,51.87794287325251,1295.2095,159.25,51.565411374875126,1302.2365,159.05,0.3125314983773819,-7.027000000000044,0.19999999999998863
no02,533967_00280_11490_0,900,09:00,52.39720093911279,818.9555,101.7,52.36190991837883,819.174,101.65,0.03529102073396473,-0.21849999999994907,0.04999999999999716
no02,533967_00280_11490_0,915,09:15,52.16684982623535,1068.4924999999998,132.1,52.09553942580931,1066.9435,131.7,0.07131040042604297,1.5489999999997508,0.4000000000000057
no02,533967_00280_11490_0,930,09:30,51.742802844191374,1254.0635,153.75,51.782901851009,1253.9555,153.9,-0.040099006817627014,0.10799999999994725,-0.15000000000000568
no02,533967_00280_11490_0,945,09:45,52.23934670631125,894.5780000000001,110.75,52.33500825933256,898.9055000000001,111.5,-0.09566155302130852,-4.327499999999986,-0.75
no02,533967_00280_11490_0,1000,10:00,52.24094002332721,760.407,94.15,52.364238814357485,754.9905,93.7,-0.12329879103027253,5.416500000000042,0.45000000000000284
no02,533967_00280_11490_0,1015,10:15,52.23129057450383,734.387,90.9,52.290159819421135,735.5135,91.15,-0.05886924491730383,-1.1265000000000782,-0.25
no02,533967_00280_11490_0,1030,10:30,52.37718143648634,731.8335,90.85,52.42943089455429,731.9285,90.95,-0.052249458067947785,-0.09500000000002728,-0.10000000000000853
no02,533967_00280_11490_0,1045,10:45,52.29273856111087,786.693,97.5,52.33608880552534,783.6195,97.2,-0.04335024441446933,3.0734999999999673,0.29999999999999716
no02,533967_00280_11490_0,1100,11:00,52.32224303726935,857.199,106.3,52.3221230033648,853.9675,105.9,0.00012003390455106455,3.2314999999999827,0.3999999999999915
no02,533967_00280_11490_0,1115,11:15,52.3940257683637,846.3605,105.1,52.45204585102825,849.458,105.6,-0.05802008266455516,-3.097499999999968,-0.5
no02,533967_00280_11490_0,1130,11:30,52.3999005905798,896.1985000000001,111.3,52.43244850213912,893.6360000000001,111.05,-0.03254791155931969,2.5625,0.25
no02,533967_00280_11490_0,1145,11:45,52.41641562384494,810.5939999999999,100.7,52.45525712777421,813.6115,101.15,-0.03884150392926955,-3.017500000000041,-0.45000000000000284
no02,533967_00280_11490_0,1200,12:00,52.51063727471789,737.232,91.75,52.51731920893462,733.121,91.25,-0.006681934216736352,4.11099999999999,0.5
no02,533967_00280_11490_0,1215,12:15,52.4846817119235,796.2795,99.05,52.49099061732468,797.3575,99.2,-0.006308905401176901,-1.0779999999999745,-0.15000000000000568
no02,533967_00280_11490_0,1230,12:30,52.36422260836482,890.3525,110.5,52.38361149008063,889.6015,110.45,-0.019388881715812545,0.7509999999999764,0.04999999999999716
no02,533967_00280_11490_0,1245,12:45,52.47140899421603,865.615,107.65,52.45832245723436,865.025,107.55,0.013086536981667507,0.5900000000000318,0.10000000000000853
no02,533967_00280_11490_0,1300,13:00,52.43905622017835,946.991,117.7,52.43567412957125,948.2865,117.85,0.00338209060710426,-1.295500000000061,-0.14999999999999147
no02,533967_00280_11490_0,1315,13:15,52.25071932120724,871.7075000000001,107.95,52.28672261077579,873.5440000000001,108.25,-0.036003289568547814,-1.836500000000001,-0.29999999999999716
no02,533967_00280_11490_0,1330,13:30,52.29016842943632,965.8735,119.7,52.25828603750987,963.2245,119.3,0.0318823919264517,2.649000000000001,0.4000000000000057
