scenario,link_id,slot_code,HHMM,flow_base,flow_scen,flow_diff
no04,533967_00280_11490_0,630,06:30,139.6,139.6,0.0
no04,533967_00280_11490_0,645,06:45,117.05,117.05,0.0
no04,533967_00280_11490_0,700,07:00,125.45,125.45,0.0
no04,533967_00280_11490_0,715,07:15,135.4,135.55,0.15000000000000568
no04,533967_00280_11490_0,730,07:30,120.7,120.4,-0.29999999999999716
no04,533967_00280_11490_0,745,07:45,154.4,154.6,0.19999999999998863
no04,533967_00280_11490_0,800,08:00,120.7,120.8,0.09999999999999432
no04,533967_00280_11490_0,815,08:15,142.6,142.45,-0.15000000000000568
no04,533967_00280_11490_0,830,08:30,133.2,133.05,-0.14999999999997726
no04,533967_00280_11490_0,845,08:45,159.05,159.25,0.19999999999998863
no04,533967_00280_11490_0,900,09:00,101.65,101.7,0.04999999999999716
no04,533967_00280_11490_0,915,09:15,131.7,132.1,0.4000000000000057
no04,533967_00280_11490_0,930,09:30,153.9,153.75,-0.15000000000000568
no04,533967_00280_11490_0,945,09:45,111.5,110.75,-0.75
no04,533967_00280_11490_0,1000,10:00,93.7,94.15,0.45000000000000284
no04,533967_00280_11490_0,1015,10:15,91.15,90.9,-0.25
no04,533967_00280_11490_0,1030,10:30,90.95,90.85,-0.10000000000000853
no04,533967_00280_11490_0,1045,10:45,97.2,97.5,0.29999999999999716
no04,533967_00280_11490_0,1100,11:00,105.9,106.3,0.3999999999999915
no04,533967_00280_11490_0,1115,11:15,105.6,105.1,-0.5
no04,533967_00280_11490_0,1130,11:30,111.05,111.3,0.25
no04,533967_00280_11490_0,1145,11:45,101.15,100.7,-0.45000000000000284
no04,533967_00280_11490_0,1200,12:00,91.25,91.75,0.5
no04,533967_00280_11490_0,1215,12:15,99.2,99.05,-0.15000000000000568
no04,533967_00280_11490_0,1230,12:30,110.45,110.5,0.04999999999999716
no04,533967_00280_11490_0,1245,12:45,107.55,107.65,0.10000000000000853
no04,533967_00280_11490_0,1300,13:00,117.85,117.7,-0.14999999999999147
no04,533967_00280_11490_0,1315,13:15,108.25,107.95,-0.29999999999999716
no04,533967_00280_11490_0,1330,13:30,119.3,119.7,0.4000000000000057
no04,533967_00280_11490_0,1345,13:45,108.1,107.9,-0.19999999999998863
no04,533967_00280_11490_0,1400,14:00,128.75,128.35,-0.4000000000000057
no04,533967_00280_11490_0,1415,14:15,150.5,151.15,0.6500000000000057
no04,533967_00280_11490_0,1430,14:30,96.75,96.75,0.0
no04,533967_00280_11490_0,1445,14:45,114.85,114.6,-0.25
no04,533967_00280_11490_0,1500,15:00,84.35,85.0,0.6500000000000057
no04,533967_00280_11490_0,1515,15:15,115.2,114.5,-0.7000000000000028
no04,533967_00280_11490_0,1530,15:30,112.2,112.6,0.3999999999999915
no04,533967_00280_11490_0,1545,15:45,98.7,98.15,-0.5499999999999972
no04,533967_00280_11490_0,1600,16:00,101.35,101.6,0.25
no04,533967_00280_11490_0,1615,16:15,106.2,105.2,-1.0
