scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00280_11490_1,1115,11:15,888.3979999999999,882.4655,-5.932499999999891
no02,533967_00280_11490_1,1130,11:30,1044.8215,1044.2615,-0.5599999999999454
no02,533967_00280_11490_1,1145,11:45,921.0965,923.8445,2.7480000000000473
no02,533967_00280_11490_1,1200,12:00,1125.9015,1114.1525,-11.749000000000024
no02,533967_00280_11490_1,1215,12:15,1216.5295,1231.451,14.921499999999924
no02,533967_00280_11490_1,1230,12:30,959.8235,948.098,-11.725500000000011
no02,533967_00280_11490_1,1245,12:45,913.1745,925.1955,12.021000000000072
no02,533967_00280_11490_1,1300,13:00,1043.9985,1053.9735,9.975000000000136
no02,533967_00280_11490_1,1315,13:15,905.6775,906.2,0.5225000000000364
no02,533967_00280_11490_1,1330,13:30,916.611,903.5875,-13.023500000000013
no02,533967_00280_11490_1,1345,13:45,618.521,601.7565,-16.764499999999998
no02,533967_00280_11490_1,1400,14:00,811.8265,817.6085,5.782000000000039
no02,533967_00280_11490_1,1415,14:15,1018.06,1030.354,12.294000000000096
no02,533967_00280_11490_1,1430,14:30,1005.8455,1007.2965,1.4510000000000218
no02,533967_00280_11490_1,1445,14:45,882.979,877.482,-5.497000000000071
no02,533967_00280_11490_1,1500,15:00,872.0135,846.3889999999999,-25.624500000000126
no02,533967_00280_11490_1,1515,15:15,861.4675,887.8729999999999,26.40549999999996
no02,533967_00280_11490_1,1530,15:30,876.5854999999999,884.452,7.866500000000087
no02,533967_00280_11490_1,1545,15:45,937.8345,926.414,-11.420500000000061
no02,533967_00280_11490_1,1600,16:00,1195.8065,1205.885,10.078500000000076
no02,533967_00280_11490_1,1615,16:15,1110.4085,1104.4125,-5.996000000000095
no02,533967_00280_11490_1,1630,16:30,1162.0404999999998,1158.4125,-3.627999999999929
no02,533967_00280_11490_1,1645,16:45,1220.307,1236.634,16.326999999999998
no02,533967_00280_11490_1,1700,17:00,1227.7965,1225.324,-2.4724999999998545
no02,533967_00280_11490_1,1715,17:15,1187.916,1190.0875,2.171500000000151
no02,533967_00280_11490_1,1730,17:30,964.482,956.292,-8.18999999999994
no02,533967_00280_11490_1,1745,17:45,779.158,763.8115,-15.346499999999992
no02,533967_00280_11490_1,1800,18:00,1045.472,1050.8115,5.339500000000044
no02,533967_00280_11490_1,1815,18:15,1100.876,1101.1725,0.2964999999999236
no02,533967_00280_11490_1,1830,18:30,927.881,931.8225,3.941500000000019
no02,533967_00280_11490_1,1845,18:45,815.9485,824.8185,8.870000000000005
no02,533967_00280_13214_0,630,06:30,764.6335,764.6335,0.0
no02,533967_00280_13214_0,645,06:45,745.967,745.967,0.0
no02,533967_00280_13214_0,700,07:00,844.9465,844.8805,-0.06600000000003092
no02,533967_00280_13214_0,715,07:15,1279.1385,1282.864,3.725500000000011
