route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag
332.0,25.0,27.5,2.0,882.0,1.0,2,234.5454545454543,263.9999999999994,29.45454545454507,0.1,0,1,0
332.0,27.5,37.5,5.0,235.0,1.0,5,179.9999999999998,234.5454545454543,54.545454545454504,0.1,0,1,0
332.0,40.0,50.0,5.0,189.0,1.0,5,143.9999999999997,167.9999999999998,24.000000000000114,0.1,0,1,0
333.0,20.0,20.0,1.0,23125.0,1.0,1,377.9999999999989,377.9999999999989,0.0,0.1,1,1,1
333.0,22.5,25.0,2.0,2471.0,1.0,2,300.0,313.333333333333,13.333333333332973,0.1,0,1,0
333.0,27.5,27.5,1.0,1215.0,1.0,1,293.4545454545449,293.4545454545449,0.0,0.1,1,1,1
333.0,30.0,32.5,2.0,18.0,1.0,2,240.0,267.9999999999995,27.99999999999949,0.1,0,1,0
333.0,35.0,45.0,5.0,3.0,1.0,5,179.9999999999997,214.2857142857139,34.28571428571422,0.1,0,1,0
333.0,47.5,50.0,2.0,341.0,1.0,2,155.9999999999999,170.5263157894736,14.526315789473728,0.1,0,1,0
334.0,20.0,20.0,1.0,23125.0,1.0,1,317.9999999999992,317.9999999999992,0.0,0.1,1,1,1
334.0,22.5,25.0,2.0,3271.0,1.0,2,239.9999999999998,266.6666666666661,26.666666666666316,0.1,0,1,0
334.0,27.5,40.0,6.0,1.0,1.0,6,179.9999999999996,234.545454545454,54.54545454545439,0.1,0,1,0
334.0,42.5,45.0,2.0,20255.0,1.0,2,174.6666666666664,178.5882352941171,3.9215686274507107,0.1,0,1,0
334.0,45.0,50.0,3.0,11935.0,1.0,3,155.9999999999997,174.6666666666664,18.666666666666714,0.1,0,1,0
