route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag,interval_type
313,25,25,1,2101,1,1,300,300,0,0,1,1,1,both
313,27.5,27.5,1,32407,1,1,299.9999999999998,299.9999999999998,0,0,1,1,1,both
313,30,30,1,98399,1,1,287.9999999999994,287.9999999999994,0,0,1,1,1,both
313,32.5,32.5,1,2520,1,1,251.0769231,251.0769231,0,0,1,1,1,both
313,35,35,1,11385,1,1,231.4285714,231.4285714,0,0,1,1,1,both
313,37.5,37.5,1,2101,1,1,203.9999999999995,203.9999999999995,0,0,1,1,1,both
313,40,40,1,63,1,1,182.9999999999998,182.9999999999998,0,0,1,1,1,both
313,42.5,42.5,1,1275,1,1,180,180,0,0,1,1,1,both
313,45,45,1,7689,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,both
313,47.5,47.5,1,18675,1,1,180,180,0,0,1,1,1,both
313,50,50,1,451,1,1,167.9999999999999,167.9999999999999,0,0,1,1,1,both
313,20,20,1,3075,1,1,384,384,0,0,1,1,1,common_optimal
313,22.5,27.5,3,1331,1,3,299.9999999999998,339.9999999999998,40,0,0,1,0,common_optimal
313,30,32.5,2,2520,1,2,251.0769231,287.9999999999994,36.923076923076366,0,0,1,0,common_optimal
313,35,47.5,6,63,1,6,179.9999999999998,231.4285714,51.42857142857119,0,0,1,0,common_optimal
313,50,50,1,451,1,1,167.9999999999999,167.9999999999999,0,0,1,1,1,common_optimal
313,20,20,1,3075,1,1,384,384,0,0,1,1,1,ttt_constant
313,22.5,22.5,1,7623,1,1,339.9999999999998,339.9999999999998,0,0,1,1,1,ttt_constant
313,25,25,1,2101,1,1,300,300,0,0,1,1,1,ttt_constant
313,27.5,27.5,1,32407,1,1,299.9999999999998,299.9999999999998,0,0,1,1,1,ttt_constant
313,30,30,1,98399,1,1,287.9999999999994,287.9999999999994,0,0,1,1,1,ttt_constant
313,32.5,32.5,1,2520,1,1,251.0769231,251.0769231,0,0,1,1,1,ttt_constant
313,35,35,1,11385,1,1,231.4285714,231.4285714,0,0,1,1,1,ttt_constant
313,37.5,37.5,1,2101,1,1,203.9999999999995,203.9999999999995,0,0,1,1,1,ttt_constant
313,40,40,1,63,1,1,182.9999999999998,182.9999999999998,0,0,1,1,1,ttt_constant
