x,y,n,pearson_r,spearman_r,partial_r_control_speed
S(Λ),dopt_sec_per_km,156,0.5440310670781519,0.5468759386578189,0.5051926426747635
S(Λclose),dopt_sec_per_km,156,0.7332660534854109,0.7561658469932964,0.7031966064670159
S(Λfar),dopt_sec_per_km,156,0.37864851140699596,0.418301438721712,0.35993559496235206
