路線番号,系統速度,"link(0,1)","link(1,2)","link(2,3)","link(0,2)","link(1,3)","link(0,3)","Λ(0,1)","Λ(1,2)","Λ(2,3)","Λ(0,2)","Λ(1,3)","Λ(0,3)",d01,d12,d23,d02,d13,d03,S(Λ),S(Λclose),S(Λfar),x0opt,x1opt,x2opt,x3opt,d0opt(s/veh),d1opt(s/veh),d2opt(s/veh),d3opt(s/veh),dopt(s/veh),FTT(s/veh),TTT(s/veh),Nveh_total_eval,d0_F(s/veh),d1_F(s/veh),d2_F(s/veh),d3_F(s/veh),d0_B(s/veh),d1_B(s/veh),d2_B(s/veh),d3_B(s/veh),dist_km,dopt_sec_per_km,dopt_min_per_km
311,50.0,416.666666666667,500.0,416.6666666666667,916.666666666667,916.6666666666667,1333.333333333333,0.2500000000000002,0.3,0.25,0.5500000000000002,0.55,0.8000000000000003,0.1999999999999998,0.04999999999999999,0.15,0.0,0.0,0.19999999999999973,0.2828427124746187,0.2549509756796391,0.19999999999999973,0,116.4,58.8,86.39999999999999,12.67199999999983,14.68799999999998,19.43999999999986,1.199999999999919,47.99999999999945,96.00000000000003,143.9999999999995,180,0,17.28000000000005,18.71999999999995,2.399999999999838,25.34399999999967,12.09599999999991,20.15999999999977,0,1.333333333333333,35.999999999999595,0.5999999999999932
311,47.5,416.6666666666667,500.0,416.6666666666667,916.6666666666667,916.6666666666667,1333.333333333333,0.2631578947368421,0.3157894736842106,0.2631578947368421,0.5789473684210527,0.5789473684210527,0.8421052631578948,0.18684210526315792,0.03421052631578936,0.13684210526315793,0.0,0.02894736842105261,0.1578947368421052,0.2446236297286234,0.2341070143819392,0.16052631578947363,0,2.4,56.4,82.8,16.98947368421019,15.71999999999999,13.96421052631575,2.589473684210478,49.26315789473612,101.0526315789474,150.3157894736835,180,0,13.74315789473686,7.541052631578916,5.178947368420955,33.97894736842039,17.69684210526312,20.38736842105257,0,1.333333333333333,36.9473684210521,0.6157894736842017
311,45.0,416.666666666666,500.0,416.666666666667,916.6666666666661,916.666666666667,1333.33333333333,0.2777777777777773,0.3333333333333333,0.277777777777778,0.6111111111111107,0.6111111111111113,0.8888888888888887,0.17222222222222272,0.016666666666666663,0.12222222222222201,0.011111111111110739,0.06111111111111123,0.11111111111111127,0.20495407495218626,0.21184084405486273,0.12729376930432904,0,115.2,40.8,37.2,14.26666666666663,16.8,2.93955555555557,16.66044444444427,50.6666666666661,106.6666666666667,157.3333333333327,180,0,20.90666666666665,2.439111111111075,33.32088888888854,28.53333333333325,12.69333333333335,3.440000000000065,0,1.3333333333333302,37.999999999999666,0.6333333333333278
311,42.5,416.666666666666,500.0,416.666666666667,916.6666666666661,916.666666666667,1333.33333333333,0.294117647058823,0.3529411764705882,0.2941176470588238,0.6470588235294114,0.6470588235294119,0.9411764705882351,0.15588235294117703,0.0,0.1058823529411762,0.047058823529411375,0.09705882352941186,0.05882352941176494,0.1666118710384541,0.1884419821134279,0.1228623445541496,0,4.8,61.2,88.8,19.56286505190288,14.28419377162625,14.54117647058823,3.847058823529288,52.23529411764669,112.9411764705882,165.1764705882349,180,0,14.79529411764694,5.745882352941165,7.694117647058576,39.12573010380576,13.77309342560556,23.33647058823529,0,1.3333333333333302,39.17647058823511,0.6529411764705852
311,40.0,416.666666666666,500.0,416.666666666667,916.6666666666661,916.666666666667,1333.33333333333,0.3124999999999995,0.375,0.3125000000000003,0.6874999999999996,0.6875000000000002,0.9999999999999998,0.1375000000000005,0.0,0.08749999999999974,0.08749999999999958,0.13750000000000018,2.220446049250313e-16,0.1375000000000005,0.16298006013006652,0.16298006013006613,0,28.8,87.6,82.8,23.51550000000001,1.174499999999979,5.159999999999975,21.15000000000008,50.9999999999995,120.0,170.9999999999995,180,0,0.0,5.099999999999919,42.30000000000016,47.03100000000001,2.348999999999958,5.220000000000033,0,1.3333333333333302,38.249999999999716,0.6374999999999953
311,37.5,416.666666666665,500.0,416.666666666667,916.6666666666649,916.666666666667,1333.33333333333,0.333333333333332,0.4,0.3333333333333336,0.733333333333332,0.7333333333333336,1.066666666666666,0.11666666666666803,0.0,0.06666666666666643,0.13333333333333197,0.18333333333333357,0.06666666666666599,0.13437096247164335,0.13437096247164357,0.23629078131262965,0,31.2,91.2,82.8,19.15999999999973,0.7599999999999757,3.880000000000089,24.2,47.99999999999979,127.9999999999999,175.9999999999997,180,0,0.0,3.200000000000162,48.4,38.31999999999947,1.519999999999951,4.560000000000016,0,1.3333333333333302,35.99999999999993,0.5999999999999989
311,35.0,416.666666666665,500.0,416.666666666667,916.6666666666649,916.666666666667,1333.33333333333,0.3571428571428557,0.4285714285714285,0.3571428571428574,0.7857142857142841,0.7857142857142859,1.142857142857142,0.0928571428571443,0.0,0.04285714285714265,0.11428571428571588,0.16428571428571404,0.1428571428571419,0.1703837205982366,0.10227015045197517,0.24588449254369296,0,56.4,0.0,93.6,4.628571428571579,6.771428571428664,6.085714285714292,25.3714285714285,42.85714285714295,137.142857142857,180.0,180,0,13.54285714285733,12.17142857142858,50.74285714285701,9.257142857143158,0.0,0.0,0,1.3333333333333302,32.14285714285729,0.5357142857142881
311,32.5,416.666666666665,500.0,416.666666666667,916.6666666666649,916.666666666667,1333.33333333333,0.3846153846153831,0.4615384615384616,0.384615384615385,0.8461538461538446,0.8461538461538465,1.23076923076923,0.06538461538461693,0.0,0.015384615384614997,0.05384615384615543,0.10384615384615348,0.23076923076922995,0.23985325888721293,0.0671701892175898,0.2587235393668016,0,34.8,78.0,28.8,19.52307692307727,10.70769230769232,1.52307692307687,0.5538461538463404,32.30769230769243,147.6923076923076,180.0,180,0,0.0,0.0,1.107692307692681,39.04615384615455,21.41538461538464,3.04615384615374,0,1.3333333333333302,24.23076923076938,0.4038461538461563
311,30.0,416.666666666664,500.0,416.666666666667,916.666666666664,916.666666666667,1333.33333333333,0.416666666666664,0.5,0.416666666666667,0.916666666666664,0.916666666666667,1.333333333333331,0.03333333333333599,0.0,0.0,0.0,0.03333333333333299,0.16666666666666896,0.16996731711976226,0.03333333333333599,0.16996731711976168,0,38.4,86.39999999999999,40.8,15.80000000000016,3.8,0.0,0.4000000000001617,20.00000000000028,159.9999999999997,180.0,180,0,0.0,0.0,0.8000000000003233,31.60000000000032,7.6,0.0,0,1.3333333333333302,15.000000000000247,0.2500000000000041
311,27.5,416.666666666664,500.0,416.666666666667,916.666666666664,916.666666666667,1333.33333333333,0.4545454545454516,0.5454545454545455,0.454545454545455,0.9999999999999971,1.0000000000000004,1.454545454545452,0.0,0.0,0.0,0.0,0.0,0.04545454545454808,0.04545454545454808,0.0,0.04545454545454808,0,58.8,0.0,58.8,-2.587007151709663e-12,2.127272727272874,3.327272727272713,-4.850638409455617e-13,5.454545454542426,174.5454545454542,179.9999999999967,180,0,4.254545454545749,0.0,-9.701276818911234e-13,-5.174014303419325e-12,0.0,6.654545454545425,0,1.3333333333333302,4.0909090909068295,0.0681818181817805
