路線番号,系統速度,"link(0,1)","link(1,2)","link(2,3)","link(0,2)","link(1,3)","link(0,3)","Λ(0,1)","Λ(1,2)","Λ(2,3)","Λ(0,2)","Λ(1,3)","Λ(0,3)",d01,d12,d23,d02,d13,d03,S(Λ),S(Λclose),S(Λfar),x0opt,x1opt,x2opt,x3opt,d0opt(s/veh),d1opt(s/veh),d2opt(s/veh),d3opt(s/veh),dopt(s/veh),FTT(s/veh),TTT(s/veh),d0_stop(s/veh),d1_stop(s/veh),d2_stop(s/veh),d3_stop(s/veh),d_stop_total(s/veh),Nveh_total_eval,d0_F(s/veh),d1_F(s/veh),d2_F(s/veh),d3_F(s/veh),d0_B(s/veh),d1_B(s/veh),d2_B(s/veh),d3_B(s/veh),d_total_F_stop(s/veh),d_total_B_stop(s/veh),d_total_bi_stop(s/veh),d_total_F_TT(s/veh),d_total_B_TT(s/veh),d_total_bi_TT(s/veh),d0_bi(s/veh),d1_bi(s/veh),d2_bi(s/veh),d3_bi(s/veh),dist_km,dopt_sec_per_km,base_50_sec_per_km,norm_delay_by50
311,50.0,208.3333333333335,250,208.3333333333333,458.3333333333335,458.33333333333326,666.6666666666669,0.1250000000000001,0.15,0.125,0.27500000000000013,0.275,0.4000000000000001,0.07500000000000011,0.0,0.024999999999999994,0.12499999999999989,0.175,0.09999999999999992,0.125,0.07905694150420958,0.23717082451262836,0,115.2,31.2,50.4,0,0,0,0,29.99999999999959,48.00000000000001,77.9999999999996,7.904999999999973,27.19500000000002,10.52999999999999,3.238999999999983,48.86899999999997,180,0,6.239999999999903,7.559999999999936,4.199999999999758,9.485999999999896,26.39400000000015,6.119999999999951,0,17.99999999999959,42.0,29.9999999999998,17.99999999999974,41.99999999999959,29.99999999999967,4.742999999999948,16.31700000000003,6.839999999999943,2.099999999999879,0.6666666666666669,44.999999999999375,44.999999999999375,1.0
311,47.5,208.3333333333333,250,208.3333333333333,458.33333333333326,458.33333333333326,666.6666666666667,0.1315789473684211,0.1578947368421053,0.1315789473684211,0.28947368421052644,0.28947368421052644,0.4210526315789474,0.0815789473684211,0.007894736842105315,0.031578947368421095,0.11052631578947358,0.16052631578947357,0.0789473684210526,0.11352449794801577,0.08783325930672974,0.2102794605365575,0,1.2,27.6,52.8,0,0,0,0,29.05263157894691,50.52631578947368,79.57894736842059,13.60648199445984,21.83562326869805,8.762770083102483,3.803224376731288,48.00809972299167,180,0,2.07157894736835,0.3216398891966997,5.0594127423822,16.3277783933512,24.13116897506924,10.19368421052608,0,7.452631578947249,50.65263157894653,29.05263157894689,7.452631578947205,50.65263157894664,29.05263157894692,8.1638891966756,13.10137396121879,5.257662049861392,2.5297063711911,0.6666666666666667,43.578947368420366,44.999999999999375,0.9684210526315772
311,45.0,208.333333333333,250,208.3333333333335,458.33333333333303,458.3333333333335,666.6666666666665,0.1388888888888887,0.1666666666666667,0.138888888888889,0.3055555555555554,0.3055555555555557,0.4444444444444444,0.0888888888888887,0.01666666666666672,0.038888888888889,0.09444444444444461,0.14444444444444432,0.05555555555555558,0.10482201257840656,0.09844469525927405,0.18130187635645245,0,1.2,25.2,50.4,0,0,0,0,27.99999999999916,53.33333333333333,81.33333333333249,14.42567901234566,22.28543209876542,9.125925925925921,0.7458765432098551,46.58291358024685,180,0,2.773333333333236,0.2311111111110626,0.9955555555555394,17.31081481481419,23.96918518518513,10.71999999999987,0,3.999999999999838,51.99999999999919,27.99999999999951,3.99999999999968,51.99999999999864,27.99999999999916,8.655407407407095,13.37125925925919,5.475555555555466,0.4977777777777697,0.6666666666666665,41.99999999999875,44.999999999999375,0.9333333333333185
311,42.5,208.333333333333,250,208.3333333333335,458.33333333333303,458.3333333333335,666.6666666666665,0.1470588235294115,0.1764705882352941,0.1470588235294119,0.3235294117647056,0.323529411764706,0.4705882352941175,0.09705882352941149,0.026470588235294107,0.0470588235294119,0.0764705882352944,0.126470588235294,0.029411764705882526,0.1014172920562743,0.11106592699117161,0.1506904524405824,0,1.2,31.2,56.4,0,0,0,0,26.82352941176406,56.47058823529411,83.29411764705817,13.08207612456746,17.81204152249134,9.968512110726639,3.167903114186828,44.03053287197227,180,0,3.557647058823528,0.6539792387543356,4.611903114186781,15.69849134948042,17.81680276816599,11.30823529411743,0,8.823529411764644,44.82352941176384,26.82352941176424,8.823529411764461,44.82352941176367,26.82352941176406,7.849245674740208,10.68722491349476,5.981107266435881,2.30595155709339,0.6666666666666665,40.2352941176461,44.999999999999375,0.8941176470588146
311,40.0,208.333333333333,250,208.3333333333335,458.33333333333303,458.3333333333335,666.6666666666665,0.1562499999999998,0.1875,0.1562500000000001,0.3437499999999998,0.3437500000000001,0.4999999999999999,0.1062499999999998,0.037500000000000006,0.056250000000000105,0.056250000000000244,0.1062499999999999,1.1102230246251565e-16,0.1062499999999998,0.12593401049756167,0.12022115038544592,0,116.4,30.0,50.4,0,0,0,0,25.49999999999981,59.99999999999999,85.4999999999998,10.25781249999999,22.3171875,9.170625000000005,0.6509374999999968,42.39656249999999,180,0,8.280000000000049,1.914750000000074,0.9052500000001197,12.30937500000016,18.50062499999985,9.089999999999902,0,11.10000000000024,39.89999999999991,25.50000000000008,11.10000000000001,39.90000000000002,25.50000000000001,6.15468750000008,13.39031249999995,5.502374999999988,0.4526250000000598,0.6666666666666665,38.24999999999972,44.999999999999375,0.8500000000000056
311,37.5,208.3333333333325,250,208.3333333333335,458.33333333333246,458.3333333333335,666.666666666666,0.166666666666666,0.2,0.1666666666666668,0.36666666666666603,0.3666666666666668,0.5333333333333329,0.11666666666666599,0.05000000000000002,0.06666666666666679,0.03333333333333399,0.0833333333333332,0.03333333333333288,0.12133516482134118,0.14337208778404328,0.09574271077563377,0,4.8,30.0,57.59999999999999,0,0,0,0,27.99999999999957,63.99999999999994,91.99999999999952,16.68266666666659,14.71911111111107,11.85333333333335,3.14666666666665,46.40177777777765,180,0,2.559999999999854,0.06400000000002264,3.775999999999961,20.23999999999998,15.2,14.15999999999985,0,6.399999999999839,49.59999999999984,27.99999999999984,6.399999999999494,49.59999999999957,27.99999999999953,10.11999999999999,8.879999999999926,7.111999999999939,1.887999999999981,0.666666666666666,41.999999999999396,44.999999999999375,0.9333333333333329
311,35.0,208.3333333333325,250,208.3333333333335,458.33333333333246,458.3333333333335,666.666666666666,0.1785714285714278,0.2142857142857143,0.1785714285714287,0.3928571428571421,0.392857142857143,0.5714285714285708,0.12857142857142778,0.06428571428571431,0.07857142857142868,0.007142857142857895,0.057142857142856995,0.07142857142857084,0.14708043058552758,0.16381921344542394,0.09175166127617901,0,90.0,69.6,51.6,0,0,0,0,32.57142857142809,68.57142857142851,101.1428571428566,0.1428571428570725,26.28571428571422,7.54040816326528,19.8090612244898,53.77804081632638,180,0,31.54285714285708,9.154285714285653,24.27428571428528,0.171428571428583,0.0,0.0,0,64.97142857142802,0.171428571428583,32.5714285714283,64.97142857142784,0.1714285714283363,32.57142857142809,0.08571428571429149,15.77142857142854,4.577142857142826,12.13714285714264,0.666666666666666,48.85714285714219,44.999999999999375,1.085714285714286
311,32.5,208.3333333333325,250,208.3333333333335,458.33333333333246,458.3333333333335,666.666666666666,0.1923076923076915,0.2307692307692308,0.1923076923076925,0.42307692307692235,0.42307692307692335,0.6153846153846149,0.14230769230769152,0.08076923076923082,0.09230769230769251,0.0,0.02692307692307666,0.11538461538461486,0.18320777482791528,0.1878719191049197,0.1184840138519176,0,0.0,73.2,85.2,0,0,0,0,37.84615384615353,73.84615384615378,111.6923076923073,24.06035502958575,10.32426035502952,22.41751479289941,5.758556213017769,62.56068639053245,180,0,8.861538461538375,20.51076923076923,7.273846153845726,28.87242603550274,3.5275739644971,6.646153846153822,0,36.64615384615333,39.04615384615366,37.8461538461535,36.64615384615337,39.0461538461537,37.84615384615353,14.43621301775137,6.194556213017737,13.57846153846153,3.636923076922863,0.666666666666666,56.76923076923035,44.999999999999375,1.2615384615384697
311,30.0,208.333333333332,250,208.3333333333335,458.333333333332,458.3333333333335,666.6666666666655,0.208333333333332,0.25,0.2083333333333335,0.45833333333333204,0.4583333333333335,0.6666666666666655,0.158333333333332,0.09999999999999998,0.1083333333333335,0.0,0.0,0.16666666666666552,0.2298852370688936,0.21634591642911857,0.16666666666666552,0,97.2,15.6,16.8,0,0,0,0,42.19999999999917,79.99999999999986,122.199999999999,1.509444444444445,44.25722222222208,5.276666666666648,19.29000000000027,70.33333333333344,180,0,28.6399999999999,5.011999999999938,23.14800000000016,1.811333333332085,24.46866666666659,1.320000000000032,0,56.8,27.59999999999871,42.19999999999936,56.79999999999998,27.59999999999836,42.19999999999917,0.9056666666660426,26.55433333333325,3.165999999999985,11.57400000000008,0.6666666666666655,63.29999999999887,44.999999999999375,1.406666666666661
311,27.5,208.333333333332,250,208.3333333333335,458.333333333332,458.3333333333335,666.6666666666655,0.2272727272727258,0.2727272727272728,0.2272727272727275,0.4999999999999986,0.5000000000000003,0.7272727272727261,0.1772727272727258,0.07727272727272716,0.12727272727272748,0.0,0.0,0.22727272727272607,0.2882334338634107,0.23150602869539613,0.22727272727272607,0,99.6,12.0,15.6,0,0,0,0,39.59999999999927,87.27272727272712,126.8727272727264,4.581818181818198,41.49090909090895,3.436363636363653,16.49090909090938,66.00000000000017,180,0,28.53818181818157,0.0,19.78909090909106,5.498181818180213,21.25090909090916,4.123636363636454,0,48.32727272727263,30.87272727272583,39.59999999999923,48.32727272727278,30.87272727272575,39.59999999999927,2.749090909090107,24.89454545454537,2.061818181818227,9.894545454545531,0.6666666666666655,59.399999999999004,44.999999999999375,1.3199999999999963
