route_id,x,y,n,pearson_r,spearman_r
311,S(Λ),dopt_sec_per_km,13,0.5634153466199842,0.3736263736263736
311,S(Λclose),dopt_sec_per_km,13,0.8667512504682456,0.8225592375816906
311,S(Λfar),dopt_sec_per_km,13,0.31887841772391157,0.15934065934065936
312,S(Λ),dopt_sec_per_km,13,0.5313062812452594,0.39560439560439564
312,S(Λclose),dopt_sec_per_km,13,0.7189129494558055,0.8011171991592532
312,S(Λfar),dopt_sec_per_km,13,0.5904651407386226,0.3736263736263736
313,S(Λ),dopt_sec_per_km,13,0.7547149693296217,0.8055180076274824
313,S(Λclose),dopt_sec_per_km,13,0.8355018295053522,0.8005509636664615
313,S(Λfar),dopt_sec_per_km,13,0.6611385400694323,0.6225895316804407
314,S(Λ),dopt_sec_per_km,13,0.563415346619947,0.3736263736263736
314,S(Λclose),dopt_sec_per_km,13,0.8667512504682673,0.8225592375816906
314,S(Λfar),dopt_sec_per_km,13,0.3188784177238591,0.15934065934065936
321,S(Λ),dopt_sec_per_km,13,0.6748166792952012,0.5934065934065934
321,S(Λclose),dopt_sec_per_km,13,0.8136375759167148,0.8170571691028833
321,S(Λfar),dopt_sec_per_km,13,0.6139068514213215,0.5164835164835164
322,S(Λ),dopt_sec_per_km,13,0.832033381680521,0.8516483516483516
322,S(Λclose),dopt_sec_per_km,13,0.8902326581124745,0.8846153846153846
322,S(Λfar),dopt_sec_per_km,13,0.6976422078079659,0.6868131868131868
323,S(Λ),dopt_sec_per_km,13,0.7201164622009024,0.7582417582417583
323,S(Λclose),dopt_sec_per_km,13,0.825309473637682,0.8477959578812856
323,S(Λfar),dopt_sec_per_km,13,0.6425399545253584,0.7857142857142857
324,S(Λ),dopt_sec_per_km,13,0.6748166792952012,0.5934065934065934
324,S(Λclose),dopt_sec_per_km,13,0.8136375759167148,0.8170571691028833
324,S(Λfar),dopt_sec_per_km,13,0.6139068514213215,0.5164835164835164
331,S(Λ),dopt_sec_per_km,13,0.6004671480844089,0.45604395604395603
331,S(Λclose),dopt_sec_per_km,13,0.8231778450150442,0.8940861278061853
331,S(Λfar),dopt_sec_per_km,13,0.35855660191857325,-0.14285714285714285
332,S(Λ),dopt_sec_per_km,13,0.609324027054196,0.5549450549450549
332,S(Λclose),dopt_sec_per_km,13,0.7989514977597812,0.7400282103995811
332,S(Λfar),dopt_sec_per_km,13,0.43931169842189766,0.3626373626373627
333,S(Λ),dopt_sec_per_km,13,0.6747510610908751,0.6483516483516483
333,S(Λclose),dopt_sec_per_km,13,0.7501472577228643,0.7252747252747254
333,S(Λfar),dopt_sec_per_km,13,0.6555794515008406,0.6923076923076923
334,S(Λ),dopt_sec_per_km,13,0.5176941743927987,0.5494505494505494
334,S(Λclose),dopt_sec_per_km,13,0.8953212529937249,0.7747252747252747
334,S(Λfar),dopt_sec_per_km,13,0.2927648143781863,0.45604395604395603
