x,y,degree,n_used,r2,coef_deg_1,coef_deg_0
S(Λ),dopt_min_per_km,1,156,0.1348661180044919,1.2590001906600605,0.45906525003381227
S(Λclose),dopt_min_per_km,1,156,0.38123439470816156,2.336779076332435,0.31555676165976615
S(Λfar),dopt_min_per_km,1,156,0.037287896759579,0.7533535711661954,0.5629210970604762
