LinkID,Length[m],LaneNum,Time,Speed[km/hour],Ave.Trvt[sec.],PCU,Count(total),Count(type0),Count(type1),Count(type2),Count(type3),Count(type4),Count(type5),Count(type6),Count(type7),Count(type8),Count(type9),Count(type10)
533967_00280_11490_0,117.2,1,2022/10/18 06:30:00,52.29,8.07,154.0,138,0,122,11,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 06:45:00,52.54,8.03,131.0,119,0,107,4,8,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 07:00:00,52.35,8.06,140.0,127,0,114,7,6,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 07:15:00,52.51,8.04,146.0,131,0,116,10,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 07:30:00,52.65,8.02,136.0,125,0,114,8,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 07:45:00,52.20,8.09,163.0,151,0,139,7,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 08:00:00,52.08,8.10,143.0,124,0,105,16,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 08:15:00,52.11,8.10,155.0,141,0,127,7,7,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 08:30:00,52.47,8.04,152.0,135,0,118,15,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 08:45:00,51.74,8.16,186.0,159,0,132,21,6,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 09:00:00,52.43,8.05,113.0,99,0,85,14,0,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 09:15:00,48.33,8.73,152.0,131,0,110,18,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 09:30:00,52.06,8.11,185.0,158,0,131,23,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 09:45:00,52.10,8.10,133.0,109,0,85,22,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 10:00:00,52.20,8.09,119.0,94,0,69,20,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 10:15:00,52.33,8.07,117.0,91,0,65,25,1,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 10:30:00,52.40,8.05,111.0,92,0,73,15,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 10:45:00,52.35,8.06,121.0,96,0,71,20,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 11:00:00,52.40,8.06,130.0,108,0,86,20,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 11:15:00,52.33,8.07,121.0,106,0,91,15,0,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 11:30:00,52.64,8.02,125.0,107,0,89,16,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 11:45:00,52.32,8.07,119.0,103,0,87,12,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 12:00:00,52.40,8.05,102.0,91,0,80,9,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 12:15:00,52.63,8.02,112.0,99,0,86,10,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 12:30:00,52.41,8.05,129.0,111,0,93,15,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 12:45:00,52.58,8.03,119.0,107,0,95,10,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 13:00:00,52.53,8.03,128.0,116,0,104,7,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 13:15:00,52.41,8.05,136.0,111,0,86,23,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 13:30:00,52.10,8.10,142.0,118,0,94,19,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 13:45:00,52.46,8.05,132.0,110,0,88,18,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 14:00:00,52.51,8.04,147.0,130,0,113,13,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 14:15:00,51.80,8.15,158.0,148,0,138,7,3,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 14:30:00,52.49,8.04,117.0,97,0,77,18,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 14:45:00,52.30,8.07,135.0,115,0,95,13,7,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 15:00:00,52.60,8.02,94.0,84,0,74,9,1,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 15:15:00,52.36,8.06,135.0,115,0,95,15,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 15:30:00,52.47,8.04,132.0,113,0,94,18,1,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 15:45:00,52.63,8.02,115.0,98,0,81,12,5,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 16:00:00,52.63,8.02,116.0,102,0,88,12,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 16:15:00,52.57,8.03,110.0,102,0,94,6,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 16:30:00,52.76,8.00,86.0,75,0,64,9,2,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 16:45:00,52.76,8.00,122.0,109,0,96,7,6,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 17:00:00,52.40,8.06,100.0,90,0,80,6,4,0,0,0,0,0,0,0
533967_00280_11490_0,117.2,1,2022/10/18 17:15:00,52.65,8.02,129.0,118,0,107,9,2,0,0,0,0,0,0,0
